key,value,acc
filter_fraction_sam,3-20um,SRR13827121
size_fraction_lower_threshold_sam_s_dpl49,0.2,ERR2002429
size_fraction_lower_threshold_sam_s_dpl49,20,ERR2098396
size_fraction_upper_threshold_sam,>20,ERR2098396
size_frac_sam,NA,SRR14874073
size_frac_sam,NA,SRR14874103
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR4007613
size_fraction_upper_threshold_sam,2.7,ERR4007613
size_frac_sam,0.22-5.0 micrometer,SRR17470358
size_fraction_lower_threshold_sam_s_dpl49,3,ERR2002432
size_fraction_lower_threshold_sam_s_dpl49,dissolved,ERR2002440
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726923
size_fraction_upper_threshold_sam,2000,ERR1726923
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599160
size_fraction_upper_threshold_sam,3,ERR599160
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726802
size_fraction_upper_threshold_sam,2000,ERR1726802
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691721
size_fraction_upper_threshold_sam,>,ERR4691721
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726785
size_fraction_upper_threshold_sam,180,ERR1726785
size_fraction_lower_threshold_sam_s_dpl49,5,ERR4691745
size_fraction_upper_threshold_sam,20,ERR4691745
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726946
size_fraction_upper_threshold_sam,2000,ERR1726946
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726673
size_fraction_upper_threshold_sam,180,ERR1726673
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599173
size_fraction_upper_threshold_sam,3,ERR599173
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726965
size_fraction_upper_threshold_sam,180,ERR1726965
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR594343
size_fraction_upper_threshold_sam,0.45,ERR594343
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726788
size_fraction_upper_threshold_sam,180,ERR1726788
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599025
size_fraction_upper_threshold_sam,3,ERR599025
size_fraction_lower_threshold_sam_s_dpl49,0.1,ERR594346
size_fraction_upper_threshold_sam,0.22,ERR594346
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598947
size_fraction_upper_threshold_sam,3,ERR598947
size_fraction_lower_threshold_sam_s_dpl49,0.45,ERR594303
size_fraction_upper_threshold_sam,0.8,ERR594303
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3589563
size_fraction_upper_threshold_sam,3,ERR3589563
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3589565
size_fraction_upper_threshold_sam,3,ERR3589565
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762114
size_fraction_upper_threshold_sam,0.22,ERR2762114
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3589587
size_fraction_upper_threshold_sam,3,ERR3589587
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762182
size_fraction_upper_threshold_sam,0.22,ERR2762182
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762108
size_fraction_upper_threshold_sam,0.22,ERR2762108
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691677
size_fraction_upper_threshold_sam,180,ERR4691677
size_frac_sam,0-0.45 micrometer,SRR9161501
sample_size_fraction_lower_threshold_sam,0.22,ERR4674182
sample_size_fraction_upper_threshold_sam,not provided,ERR4674182
size_fraction_sam,0-0.22 micrometer,ERR3256957
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR654518
size_fraction_upper_threshold_sam,5,ERR654518
sample_protocol__size_fraction_lower_threshold_sam,<,ERR5008442
sample_protocol__size_fraction_upper_threshold_sam,>,ERR5008442
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562608
size_fraction_upper_threshold_sam,180,ERR562608
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562517
size_fraction_upper_threshold_sam,5,ERR562517
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879717
size_fraction_upper_threshold_sam,20,ERR1879717
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879807
size_fraction_upper_threshold_sam,20,ERR1879807
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756284
size_fraction_upper_threshold_sam,2000,ERR1756284
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756179
size_fraction_upper_threshold_sam,180,ERR1756179
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879945
size_fraction_upper_threshold_sam,>,ERR1879945
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093612
size_fraction_upper_threshold_sam,3,ERR6093612
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1879699
size_fraction_upper_threshold_sam,2000,ERR1879699
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093642
size_fraction_upper_threshold_sam,3,ERR6093642
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1755900
size_fraction_upper_threshold_sam,20,ERR1755900
size_fraction_lower_threshold_sam_s_dpl49,5,ERR654524
size_fraction_upper_threshold_sam,20,ERR654524
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755997
size_fraction_upper_threshold_sam,2000,ERR1755997
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879671
size_fraction_upper_threshold_sam,>,ERR1879671
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1755916
size_fraction_upper_threshold_sam,180,ERR1755916
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756270
size_fraction_upper_threshold_sam,5,ERR1756270
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1755979
size_fraction_upper_threshold_sam,20,ERR1755979
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093682
size_fraction_upper_threshold_sam,3,ERR6093682
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562593
size_fraction_upper_threshold_sam,2000,ERR562593
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562610
size_fraction_upper_threshold_sam,2000,ERR562610
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1756094
size_fraction_upper_threshold_sam,20,ERR1756094
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879769
size_fraction_upper_threshold_sam,3,ERR1879769
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR3518742
size_fraction_upper_threshold_sam,>,ERR3518742
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4223607
size_fraction_upper_threshold_sam,>,ERR4223607
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4223608
size_fraction_upper_threshold_sam,>,ERR4223608
size_fraction_lower_threshold_sam_s_dpl49,20,ERR3518699
size_fraction_upper_threshold_sam,180,ERR3518699
filter_fraction_sam,0.22-3um,SRR13827124
size_frac_sam,0-0.45 micrometer,SRR9161522
size_frac_sam,0-0.45 micrometer,SRR9161574
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR2098369
size_fraction_upper_threshold_sam,>0.22,ERR2098369
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR2098373
size_fraction_upper_threshold_sam,>0.22,ERR2098373
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR2098381
size_fraction_upper_threshold_sam,3,ERR2098381
filter_fraction__um__sam,0.22 â?? 3,SRR2053282
size_frac_sam,NA,SRR14874075
size_frac_sam,NA,SRR14874037
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3994046
size_fraction_upper_threshold_sam,2.7,ERR3994046
size_fraction_sam,0.2-2.7µm,SRR8062317
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599073
size_fraction_upper_threshold_sam,1.6,ERR599073
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868420
size_fraction_upper_threshold_sam,5,ERR868420
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR594317
size_fraction_upper_threshold_sam,1.6,ERR594317
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868494
size_fraction_upper_threshold_sam,5,ERR868494
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726980
size_fraction_upper_threshold_sam,>,ERR1726980
size_fraction_lower_threshold_sam_s_dpl49,20,ERR599262
size_fraction_upper_threshold_sam,180,ERR599262
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868391
size_fraction_upper_threshold_sam,5,ERR868391
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726686
size_fraction_upper_threshold_sam,2000,ERR1726686
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726805
size_fraction_upper_threshold_sam,20,ERR1726805
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691815
size_fraction_upper_threshold_sam,2000,ERR4691815
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726588
size_fraction_upper_threshold_sam,180,ERR1726588
size_fraction_lower_threshold_sam_s_dpl49,3,ERR4691591
size_fraction_upper_threshold_sam,20,ERR4691591
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3589591
size_fraction_upper_threshold_sam,3,ERR3589591
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691597
size_fraction_upper_threshold_sam,>,ERR4691597
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3589580
size_fraction_upper_threshold_sam,3,ERR3589580
sample_size_fraction_lower_threshold_sam,0.22,ERR4674188
sample_size_fraction_upper_threshold_sam,no size limit,ERR4674188
sample_size_fraction_lower_threshold_sam,extra_value_found,ERR4674702
sample_size_fraction_upper_threshold_sam,extra_value_found,ERR4674702
size_frac_sam,0.2-0.02,SRR11932623
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879743
size_fraction_upper_threshold_sam,20,ERR1879743
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756257
size_fraction_upper_threshold_sam,180,ERR1756257
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1755922
size_fraction_upper_threshold_sam,5,ERR1755922
size_fraction_lower_threshold_sam_s_dpl49,5,ERR562514
size_fraction_upper_threshold_sam,20,ERR562514
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756348
size_fraction_upper_threshold_sam,2000,ERR1756348
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227192
size_fraction_upper_threshold_sam,>,ERR4227192
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1755883
size_fraction_upper_threshold_sam,5,ERR1755883
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1755888
size_fraction_upper_threshold_sam,180,ERR1755888
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090674
size_fraction_upper_threshold_sam,3,ERR6090674
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879718
size_fraction_upper_threshold_sam,>,ERR1879718
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227193
size_fraction_upper_threshold_sam,>,ERR4227193
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227240
size_fraction_upper_threshold_sam,>,ERR4227240
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756056
size_fraction_upper_threshold_sam,2000,ERR1756056
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1755954
size_fraction_upper_threshold_sam,5,ERR1755954
size_fraction_lower_threshold_sam_s_dpl49,180,ERR3518747
size_fraction_upper_threshold_sam,2000,ERR3518747
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR3518773
size_fraction_upper_threshold_sam,>,ERR3518773
size_fraction_lower_threshold_sam_s_dpl49,3,ERR3518688
size_fraction_upper_threshold_sam,20,ERR3518688
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR3518665
size_fraction_upper_threshold_sam,>,ERR3518665
size_fraction_lower_threshold_sam_s_dpl49,180,ERR3518682
size_fraction_upper_threshold_sam,2000,ERR3518682
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090716
size_fraction_upper_threshold_sam,3,ERR6090716
size_fraction_lower_threshold_sam_s_dpl49,20,ERR3518693
size_fraction_upper_threshold_sam,180,ERR3518693
size_frac_sam,0-0.45 micrometer,SRR9161540
