sample,bacterial_archaeal_bases,metagenome_size,read_fraction,average_bacterial_archaeal_genome_size,warning,bioproject,Gbp,library_strategy,library_selection,model,sample_name,taxon_name,lower_bound,upper_bound,size_range,smf
ERR598976,28047816800,39094000000.0,71.74%,1608800,,PRJEB1787,39.095,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001564,marine metagenome,0.22,3.0,0.22-3.0,71.74
ERR599295,713946683,29695000000.0,2.40%,3766932,,PRJEB4352,29.696,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000742,marine metagenome,5.0,20.0,5.0-20.0,2.4
ERR599069,7986370080,9401000000.0,84.95%,1677284,,PRJEB1787,9.402,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000674,marine metagenome,0.22,3.0,0.22-3.0,84.95
ERR599335,3986975985,27303000000.0,14.60%,2103268,,PRJEB4352,27.304,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001028,marine metagenome,0.8,5.0,0.8-5.0,14.6
ERR599269,1253887387,30787000000.0,4.07%,4080602,,PRJEB4352,30.788,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000746,marine metagenome,20.0,180.0,20.0-180.0,4.07
ERR599060,6806908222,8641000000.0,78.77%,2191048,,PRJEB1787,8.641,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100002003,marine metagenome,0.22,3.0,0.22-3.0,78.77
ERR599105,3482944620,6872000000.0,50.68%,1732110,,PRJEB1787,6.873,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000424,marine metagenome,0.22,3.0,0.22-3.0,50.68
ERR599168,6701371314,13735000000.0,48.79%,1670969,,PRJEB1787,13.736,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000902,marine metagenome,0.22,3.0,0.22-3.0,48.79
ERR599032,23206806474,29552000000.0,78.53%,1753797,,PRJEB1787,29.552,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000614,marine metagenome,0.22,3.0,0.22-3.0,78.53
ERR599139,29250609827,34379000000.0,85.08%,1603299,,PRJEB1787,34.38,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000212,marine metagenome,0.22,1.6,0.22-1.6,85.08
ERR599320,503428519,21326000000.0,2.36%,3486106,,PRJEB4352,21.327,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000968,marine metagenome,20.0,180.0,20.0-180.0,2.36
ERR599075,23886381653,32434000000.0,73.65%,1538406,,PRJEB1787,32.434,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000123,marine metagenome,0.22,1.6,0.22-1.6,73.65
ERR598957,29013079248,40647000000.0,71.38%,1754556,,PRJEB1787,40.647,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000945,marine metagenome,0.22,3.0,0.22-3.0,71.38
ERR594298,27934524998,33259000000.0,83.99%,2069920,,PRJEB1788,33.259,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000814,marine metagenome,0.45,0.8,0.45-0.8,83.99
ERR599149,4458909096,5584000000.0,79.85%,2488911,,PRJEB1787,5.584,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000446,marine metagenome,0.22,3.0,0.22-3.0,79.85
ERR599144,5298422423,8310000000.0,63.76%,2014494,,PRJEB1787,8.31,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000497,marine metagenome,0.22,3.0,0.22-3.0,63.76
ERR599271,2713027958,24493000000.0,11.08%,3124205,,PRJEB4352,24.493,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000807,marine metagenome,0.8,5.0,0.8-5.0,11.08
ERR599067,5469858744,6299000000.0,86.84%,2108057,,PRJEB1787,6.3,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000929,marine metagenome,0.22,3.0,0.22-3.0,86.84
ERR599030,25564469151,34045000000.0,75.09%,1653503,,PRJEB1787,34.046,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001989,marine metagenome,0.22,3.0,0.22-3.0,75.09
ERR598989,29221556242,36455000000.0,80.16%,1588663,,PRJEB1787,36.455,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001287,marine metagenome,0.22,3.0,0.22-3.0,80.16
ERR599317,446888499,36893000000.0,1.21%,3299531,,PRJEB4352,36.894,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000837,marine metagenome,5.0,20.0,5.0-20.0,1.21
ERR599127,7964271317,10041000000.0,79.32%,2128887,,PRJEB1787,10.041,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001971,marine metagenome,0.22,3.0,0.22-3.0,79.32
ERR594313,22675237615,35192000000.0,64.43%,1396523,,PRJEB1788,35.193,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000389,marine metagenome,0.22,0.45,0.22-0.45,64.43
ERR599005,12335819186,19407000000.0,63.56%,1851519,,PRJEB1787,19.408,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000508,marine metagenome,0.22,3.0,0.22-3.0,63.56
ERR594309,3060663884,15005000000.0,20.40%,3539035,,PRJEB1788,15.005,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001951,marine metagenome,0.1,0.22,0.1-0.22,20.4
ERR598948,23264973294,30355000000.0,76.64%,1855837,,PRJEB1787,30.355,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000700,marine metagenome,0.22,3.0,0.22-3.0,76.64
ERR599114,6935812589,8179000000.0,84.80%,1590597,,PRJEB1787,8.18,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001121,marine metagenome,0.22,3.0,0.22-3.0,84.8
ERR594345,18247693724,38080000000.0,47.92%,1952573,,PRJEB1788,38.08,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000310,marine metagenome,0.1,0.22,0.1-0.22,47.92
ERR599094,23534655612,32476000000.0,72.47%,1756645,,PRJEB1787,32.477,WGS,RANDOM,Illumina HiSeq 2000,TARA_E500000331,marine metagenome,0.22,1.6,0.22-1.6,72.47
ERR599145,19827645814,33517000000.0,59.16%,1720805,,PRJEB1787,33.517,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000085,marine metagenome,0.22,1.6,0.22-1.6,59.16
ERR599090,24689786306,31916000000.0,77.36%,1768376,,PRJEB1787,31.917,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000787,marine metagenome,0.22,3.0,0.22-3.0,77.36
ERR599088,6831647192,8737000000.0,78.19%,1600525,,PRJEB1787,8.737,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000401,marine metagenome,0.22,3.0,0.22-3.0,78.19
ERR599102,11655896795,17991000000.0,64.79%,1617428,,PRJEB1787,17.992,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000066,marine metagenome,0.22,1.6,0.22-1.6,64.79
ERR599065,16425467041,21195000000.0,77.50%,1661548,,PRJEB1787,21.195,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000927,marine metagenome,0.22,3.0,0.22-3.0,77.5
ERR599305,2715165357,29518000000.0,9.20%,2811400,,PRJEB4352,29.519,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000678,marine metagenome,0.8,5.0,0.8-5.0,9.2
ERR599164,11402298979,15076000000.0,75.63%,1980952,,PRJEB1787,15.076,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000408,marine metagenome,0.22,3.0,0.22-3.0,75.63
ERR599066,6839040598,8133000000.0,84.09%,1582910,,PRJEB1787,8.133,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001121,marine metagenome,0.22,3.0,0.22-3.0,84.09
ERR598995,29007678802,51241000000.0,56.61%,1803518,,PRJEB1787,51.242,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001250,marine metagenome,0.22,3.0,0.22-3.0,56.61
ERR599136,26029359077,31151000000.0,83.56%,1692882,,PRJEB1787,31.152,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100002051,marine metagenome,0.22,3.0,0.22-3.0,83.56
ERR598987,8016384453,9505000000.0,84.34%,2105607,,PRJEB1787,9.505,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001964,marine metagenome,0.22,3.0,0.22-3.0,84.34
ERR599093,13305846326,16288000000.0,81.69%,1543643,,PRJEB1787,16.289,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001027,marine metagenome,0.22,3.0,0.22-3.0,81.69
ERR599306,790590200,29502000000.0,2.68%,3796898,,PRJEB4352,29.503,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001394,marine metagenome,20.0,180.0,20.0-180.0,2.68
ERR599014,30032838093,41708000000.0,72.01%,1716028,,PRJEB1787,41.709,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001113,marine metagenome,0.22,3.0,0.22-3.0,72.01
ERR599000,28150781736,38254000000.0,73.59%,2134035,,PRJEB1787,38.254,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000749,marine metagenome,0.22,3.0,0.22-3.0,73.59
ERR599268,16537093344,23908000000.0,69.17%,3706680,,PRJEB4352,23.908,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000987,marine metagenome,0.8,200.0,0.8-200.0,69.17
ERR599156,29188791079,36522000000.0,79.92%,1938458,,PRJEB1787,36.523,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001123,marine metagenome,0.22,3.0,0.22-3.0,79.92
ERR594334,204086410,4840000000.0,4.22%,1617551,,PRJEB1788,4.84,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000015,marine metagenome,0.1,0.22,0.1-0.22,4.22
ERR594304,27625544804,32413000000.0,85.23%,1627939,,PRJEB1788,32.414,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001970,marine metagenome,0.22,0.45,0.22-0.45,85.23
ERR594302,29994359514,36616000000.0,81.92%,2194832,,PRJEB1788,36.616,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000758,marine metagenome,0.45,0.8,0.45-0.8,81.92
ERR599003,4404081277,5460000000.0,80.66%,1615329,,PRJEB1787,5.461,WGS,RANDOM,Illumina HiSeq 2000,TARA_X000000263,marine metagenome,0.22,1.6,0.22-1.6,80.66
