latitude,longitude,smf
52.32,-121.92,66.62
18.0,-65.0,62.71
39.23550963,-121.2836963,63.37
42.471116,-72.17263,53.23
38.99297339,-123.0674491,72.45
18.0,-65.0,66.01
39.05,-99.1,66.81
46.42,-83.37,61.94
39.05,-99.1,64.16
44.23,-122.22,63.0
35.9076,-79.0506,71.66
43.303333,-89.3325,63.7
42.0,-93.0,100.0
39.6475,-79.9369,78.22
39.23550963,-121.2836963,65.39
31.11,-95.15,66.38
42.550409,-72.180244,67.91
18.0,-65.0,62.42
39.0844,-86.4705,74.18
18.0,-65.0,65.51
38.9365,-106.9428,64.3
47.6684,-121.924,79.93
41.84072517,-88.230263,65.68
42.3261,-71.1493,71.16
23.14,113.34,74.35
8.5,76.7,34.4
39.74,-123.63,81.49
70.469927,-157.407467,70.97
70.998542,-156.521316,83.52
70.998467,-156.521424,78.55
38.543092,-121.874896,73.24
24.094878,121.034072,74.11
-35.10537036,139.27284046,85.28
67.15655998,-50.06389101,93.75
-25.025508,152.379908,79.12
59.273691,24.550779,60.0
58.58016,26.43521,63.21
58.30223,22.0958,62.37
57.694204,27.377655,74.78
59.376641,24.039891,64.62
-37.8136,144.9631,67.51
-37.8136,144.9631,68.41
-1.94187532,102.5807841,60.91
28.68,121.43,72.56
31.29,121.5,9.1
45.19,8.25,63.29
28.54111111,121.37083333,57.82
44.2566,-86.083683,19.78
50.88,-120.35,62.22
65.225,-19.71194444,52.51
-9.44475,147.34958,43.12
58.92812,23.86384,60.88
-41.0832,-71.5514,68.54
9.17,-79.75,24.35
9.14,-79.88,25.63
-21.708519,-47.582469,65.26
31.99,34.82,47.23
45.68,-72.0,67.43
39.53,-107.78,70.9
39.53,-107.78,71.26
39.23550963,-121.2836963,70.49
46.42,-83.37,59.15
39.7291,-123.6419,69.06
37.83,-122.29,97.13
39.5673,-123.4758,56.54
57.1863,-2.2145,65.94
39.6475,-79.9369,78.43
38.9206,-106.9489,77.37
38.9206,-106.9489,83.41
39.070856,-96.582821,61.36
45.54,-73.72,68.73
26.6591,-80.6279,79.33
42.5315,-72.1899,70.56
42.481016,-72.178343,70.21
30.68,91.1,86.65
37.816,119.111,78.65
23.14,113.34,74.41
45.683333,126.633333,80.92
29.64,-82.34,90.76
46.70875,10.38853,82.02
26.4984,107.421,70.75
8.5,76.7,32.33
39.74,-123.63,79.9
39.74,-123.63,78.78
39.74,-123.63,81.5
-37.908647,145.139591,75.28
1.42,103.7,73.29
37.3,116.65,78.35
38.886306,-120.647694,76.57
58.58855,23.57538,63.36
59.18587,23.83031,62.97
58.5312,23.1117,60.4
58.787946,23.532754,64.91
59.51083,24.81622,67.43
4.991,52.454,70.33
22.48,113.57,81.99
39.5673,-123.4758,62.64
-2.06353604,102.8007258,56.72
37.3,118.62,77.34
28.68,121.43,71.87
35.06,-93.56,65.72
45.36,132.32,78.16
43.0,-92.5,81.17
50.88,-120.35,64.19
49.08,-89.38,66.64
1.42,103.7,68.94
51.82,11.7,66.3
42.532967,-72.180244,60.2
51.62,-128.09,67.31
37.4971,-122.133,98.73
42.0,-93.0,99.13
43.073,-89.4011,90.51
57.1863,-2.2145,71.81
41.8725,-89.3578,77.77
38.99297339,-123.0674491,74.93
44.23,-122.22,59.62
42.550409,-72.180244,61.11
38.8926,-106.9111,65.58
44.37,83.33,79.82
44.38,83.33,69.51
41.840719,-88.22980687,66.24
23.14,113.34,77.25
39.74,-123.63,79.9
30.40555556,34.95055556,72.8
71.296,-156.554483,64.13
43.93333,-71.75,61.41
42.67255,-77.040283,60.89
67.904114,18.611643,80.06
78.89878498,12.068203,87.41
57.84444,27.20142,48.91
59.5836,25.6283,62.91
58.30027,22.5766,61.49
58.142284,25.921816,59.91
59.06406,24.67274,60.99
58.669963,23.699157,59.68
58.30027,22.5766,59.88
43.577,4.368,76.02
