acc,bioproject,organism,bacterial_archaeal_bases,metagenome_size,read_fraction,average_bacterial_archaeal_genome_size,warning,smf,bioproject_right,Gbp,library_strategy,library_selection,model,sample_name,taxon_name,id,run_id,collection_year,collection_month,latitude,longitude,depth,temperature,host_or_not_prediction,host_or_not_recorded,host_or_not_mature,tropical,Fungi to Bacteria Ratio
ERR1742263,PRJEB8420,soil metagenome,9148348379,13732000000.0,66.62%,4659110,,66.62,PRJEB8420,13.733,WGS,RANDOM,HiSeq X Ten,SL-WGS-OM3-Bt-3,soil metagenome,500,500,2007,7,52.32,-121.92,,,ecological,ecological,ecological,false,0.05958715196824703
SRR7471734,PRJNA464500,soil metagenome,4915017568,7838000000.0,62.71%,4794578,,62.71,PRJNA464500,7.839,WGS,RANDOM,Illumina HiSeq 2000,HBTX,soil metagenome,503,503,2011,8,18.0,-65.0,,,ecological,ecological,ecological,true,0.07071743614013272
SRR6201806,PRJNA366404,soil metagenome,1743189653,2751000000.0,63.37%,4415710,,63.37,PRJNA366404,2.752,WGS,RANDOM,Illumina HiSeq 2000,HOWZ,soil metagenome,505,505,2011,6,39.23550963,-121.2836963,,,ecological,ecological,ecological,false,0.06874231220470832
SRR4022101,PRJNA336406,soil metagenome,2055102531,3861000000.0,53.23%,5028512,,53.23,PRJNA336406,3.862,WGS,RANDOM,Illumina HiSeq 2000,PZGH,soil metagenome,508,508,,,42.471116,-72.17263,,,ecological,ecological,ecological,false,0.10449170799380306
SRR3954465,PRJNA330069,soil metagenome,26259984254,36248000000.0,72.45%,4599752,,72.45,PRJNA330069,36.248,WGS,RANDOM,Illumina HiSeq 2000,BXHC,soil metagenome,510,510,2008,12,38.99297339,-123.0674491,,,ecological,ecological,ecological,false,0.04522245525689839
SRR7471037,PRJNA464558,soil metagenome,3744545389,5673000000.0,66.01%,4940750,,66.01,PRJNA464558,5.674,WGS,RANDOM,Illumina HiSeq 2000,GNYT,soil metagenome,512,512,2009,12,18.0,-65.0,,,ecological,ecological,ecological,true,0.06123678140692218
SRR6201929,PRJNA366497,soil metagenome,2588265281,3874000000.0,66.81%,4640963,,66.81,PRJNA366497,3.874,WGS,RANDOM,Illumina HiSeq 2000,HOUX,soil metagenome,514,514,2011,9,39.05,-99.1,,,ecological,ecological,ecological,false,0.05907948556273396
SRR6202047,PRJNA366725,soil metagenome,9666128182,15605000000.0,61.94%,5045031,,61.94,PRJNA366725,15.606,WGS,RANDOM,Illumina HiSeq 2000,NBGB,soil metagenome,518,518,2011,7,46.42,-83.37,,,ecological,ecological,ecological,false,0.07307494670550492
SRR3984670,PRJNA330102,soil metagenome,1869606311,2914000000.0,64.16%,4624419,,64.16,PRJNA330102,2.915,WGS,RANDOM,Illumina HiSeq 2000,HOTC,soil metagenome,520,520,2011,9,39.05,-99.1,,,ecological,ecological,ecological,false,0.06643157821174404
SRR8536941,PRJNA518426,soil metagenome,6929498678,10999000000.0,63.00%,4483952,,63.0,PRJNA518426,11.0,WGS,RANDOM,Illumina HiSeq 2500,CNWPO,soil metagenome,526,526,2017,7,44.23,-122.22,,,ecological,ecological,ecological,false,0.06984448171255996
SRR6436018,PRJNA406175,soil metagenome,2224437956,3104000000.0,71.66%,4339859,,71.66,PRJNA406175,3.105,WGS,RANDOM,Illumina HiSeq 2500,BGYNO,soil metagenome,527,527,2010,6,35.9076,-79.0506,,,ecological,ecological,ecological,false,0.047032056233730905
SRR4026209,PRJNA337737,soil metagenome,7213729795,11324000000.0,63.70%,4347820,,63.7,PRJNA337737,11.325,WGS,RANDOM,Illumina Genome Analyzer IIx,GUOF,soil metagenome,528,528,2009,6,43.303333,-89.3325,,,ecological,ecological,ecological,false,0.06777009853131376
SRR7500797,PRJNA466814,soil metagenome,9247528747,9173000000.0,100.00%,5322931,,100.0,PRJNA466814,9.173,WGS,RANDOM,Illumina HiSeq 2500,CCZZU,soil metagenome,537,537,2016,10,42.0,-93.0,,,ecological,ecological,ecological,false,
SRR9032510,PRJNA539718,soil metagenome,26408940882,33762000000.0,78.22%,4604719,,78.22,PRJNA539718,33.762,WGS,RANDOM,Illumina NovaSeq 6000,CXZOX,soil metagenome,550,550,2018,3,39.6475,-79.9369,,,ecological,ecological,ecological,false,0.03311394995994389
SRR3982070,PRJNA330144,soil metagenome,1083582205,1657000000.0,65.39%,4375105,,65.39,PRJNA330144,1.657,WGS,RANDOM,Illumina HiSeq 2000,HOTB,soil metagenome,555,555,2011,6,39.23550963,-121.2836963,,,ecological,ecological,ecological,false,0.06294499252324601
SRR6201993,PRJNA366717,soil metagenome,10955511700,16503000000.0,66.38%,4831729,,66.38,PRJNA366717,16.503,WGS,RANDOM,Illumina HiSeq 2000,NGPH,soil metagenome,556,556,2012,12,31.11,-95.15,,,ecological,ecological,ecological,false,0.06023256880373639
SRR4022152,PRJNA336421,soil metagenome,2960180648,4359000000.0,67.91%,5198863,,67.91,PRJNA336421,4.36,WGS,RANDOM,Illumina HiSeq 2000,PZBX,soil metagenome,566,566,,,42.550409,-72.180244,,,ecological,ecological,ecological,false,0.0561961950211652
SRR7472063,PRJNA464533,soil metagenome,13981840827,22400000000.0,62.42%,4859074,,62.42,PRJNA464533,22.401,WGS,RANDOM,Illumina HiSeq 2000,HBSY,soil metagenome,574,574,2011,8,18.0,-65.0,,,ecological,ecological,ecological,true,0.07159850196738494
SRR8558721,PRJNA518286,soil metagenome,61906776102,83451000000.0,74.18%,4646435,,74.18,PRJNA518286,83.452,WGS,RANDOM,Illumina NovaSeq 6000,CWANA,soil metagenome,577,577,2017,8,39.0844,-86.4705,,,ecological,ecological,ecological,false,0.04139428002832875
SRR7471687,PRJNA464490,soil metagenome,2451253745,3742000000.0,65.51%,4783307,,65.51,PRJNA464490,3.743,WGS,RANDOM,Illumina HiSeq 2000,HBPW,soil metagenome,586,586,2011,8,18.0,-65.0,,,ecological,ecological,ecological,true,0.06261184757382621
SRR7015891,PRJNA443175,soil metagenome,6823858592,10613000000.0,64.30%,4434071,,64.3,PRJNA443175,10.614,WGS,RANDOM,Illumina HiSeq 2500,BWTOU,soil metagenome,590,590,2016,8,38.9365,-106.9428,,,ecological,ecological,ecological,false,0.06602800379123139
SRR8863203,PRJNA518309,soil metagenome,26961295866,33732000000.0,79.93%,4640187,,79.93,PRJNA518309,33.732,WGS,RANDOM,Illumina NovaSeq 6000,CWATT,soil metagenome,591,591,2017,8,47.6684,-121.924,,,ecological,ecological,ecological,false,0.02986128440837688
SRR10908111,PRJNA601929,soil metagenome,4399484484,6698000000.0,65.68%,4399396,,65.68,PRJNA601929,6.699,WGS,RANDOM,Illumina HiSeq 2000,KA3FB03.shotgun.raw,soil metagenome,659,659,2010,11,41.84072517,-88.230263,,,ecological,ecological,ecological,false,0.06214197607549652
SRR3591648,PRJNA295070,soil metagenome,844718526,1187000000.0,71.16%,6124255,,71.16,PRJNA295070,1.187,WGS,RANDOM,Illumina HiSeq 2500,CD18,soil metagenome,857,857,2016,1,42.3261,-71.1493,,,host,ecological,ecological,false,0.0481981358010059
SRR8936454,PRJNA528368,soil metagenome,8926126890,12005000000.0,74.35%,4827543,,74.35,PRJNA528368,12.005,WGS,RANDOM,HiSeq X Ten,Metagenome of Mikania micrantha_lib14,soil metagenome,865,865,2018,9,23.14,113.34,,,ecological,ecological,ecological,true,0.04102771414362722
