sampleID	hyenaID	matriline	DOB	age_yrs	reproductive_state	social_rank	standardized_social_rank	sample_date	sample_year	prey_abundance	alpha-diversity?	beta-diversity?	metagenomes?
P1	D2	2	28-Jun-03	2.5	nulliparous	12	-0.38	21-Jan-06	2006	37.75	Yes	Yes	No
P10	M2	2	23-Jul-94	6.67	lactating	7	0.29	2-Apr-01	2001	199.00	Yes	Yes	No
P101	M4	4	1-Mar-87	6.67	lactating	9	0.20	23-Nov-93	1993	26.25	Yes	Yes	No
P102	D1	1	25-Jun-96	4	lactating	1	1.00	21-Jul-00	2000	65.75	Yes	Yes	Yes
P103	G4	4	4-Mar-03	7	lactating	25	-0.71	7-Mar-10	2010	125.67	Yes	Yes	No
P104	M4	4	1-Mar-87	8.33	lactating	17	-0.10	19-Jul-95	1995	353.25	Yes	Yes	No
P105	D4	4	4-Jan-92	3.75	lactating	18	-0.17	15-Oct-95	1995	54.25	Yes	Yes	No
P106	M2	2	23-Jul-94	10.42	lactating	10	-0.20	28-Dec-04	2004	50.50	Yes	Yes	No
P107	D1	1	25-Jun-96	3.92	lactating	1	1.00	5-Jun-00	2000	158.25	Yes	Yes	Yes
P108	D2	2	28-Jun-03	7.92	pregnant	29	-0.43	2-Jun-11	2011	109.00	Yes	Yes	No
P109	M4	4	1-Mar-87	7.08	lactating	11	0.13	4-Apr-94	1994	118.25	Yes	Yes	No
P11	G1	1	20-Mar-01	3.58	lactating	2	0.87	26-Oct-04	2004	27.50	Yes	Yes	No
P110	M3	3	1-Feb-85	9.58	lactating	7	0.47	27-Sep-94	1994	170.25	Yes	Yes	No
P111	G4	4	4-Mar-03	9.5	other	45	-0.72	30-Sep-12	2012	151.75	Yes	Yes	No
P112	D3	3	7-Nov-92	2.42	nulliparous	13	0.17	13-Apr-95	1995	171.25	Yes	Yes	No
P113	G4	4	4-Mar-03	8.08	lactating	34	-0.69	9-Apr-11	2011	138.00	Yes	Yes	No
P114	G1	1	20-Mar-01	3.92	lactating	4	0.66	2-Mar-05	2005	34.00	Yes	Yes	No
P115	G2	2	20-Jul-08	7.83	pregnant	NA	NA	4-Jun-16	2016	222.29	Yes	Yes	No
P116	D4	4	4-Jan-92	11.92	lactating	17	-1.00	11-Dec-03	2003	12.00	Yes	Yes	No
P117	D3	3	7-Nov-92	16.17	lactating	17	-0.52	9-Jan-09	2009	62.00	Yes	Yes	No
P118	G4	4	4-Mar-03	3	nulliparous	17	-1.00	13-Mar-06	2006	42.33	Yes	Yes	No
P119	D4	4	4-Jan-92	2.92	lactating	12	0.04	10-Dec-94	1994	161.75	Yes	Yes	No
