Genome	KRGM_100_5gb_M Relative Abundance (%)	KRGM_91_5gb_M Relative Abundance (%)	KRGM_92_5gb_M Relative Abundance (%)	KRGM_93_5gb_M Relative Abundance (%)	KRGM_94_5gb_M Relative Abundance (%)	KRGM_95_5gb_M Relative Abundance (%)	KRGM_96_5gb_M Relative Abundance (%)	KRGM_97_5gb_M Relative Abundance (%)	KRGM_98_5gb_M Relative Abundance (%)	KRGM_99_5gb_M Relative Abundance (%)
unmapped	55.862938	52.5669	51.158627	48.15926	52.344	50.984436	59.551334	58.831787	47.87849	56.34333
5_gb_bin.100	0.00002975864	0.000008997834	0	0	0	0	0	0.29375628	0.000019012183	0.0000061983083
5_gb_bin.101	0.001176875	0.05336832	0.022352677	0.13900606	0.0039648307	0.42790487	0.0002531525	1.0441976	0.043938737	0.34468493
5_gb_bin.102	0.00011160558	0.2318816	0.000049538758	0.000047708727	0.009201671	0.000018987006	0.00013816313	0.000012638269	0.000100615805	0.00008148573
5_gb_bin.103	0.0016368835	0.0038712076	0.025043193	0.41268605	0.084076636	0.0022824157	0.0038426002	0.004499408	0.0017676399	0.0035513085
5_gb_bin.104	0.008066948	0.09140785	0.002854679	0.0011680967	0.0005379421	0.0009980517	0.016997367	0.0054937727	0.24089524	0.043075487
5_gb_bin.105	0.000022141825	0.28654864	0.000032588054	0.000006454261	0.000014413484	0.0000014064916	0.000009548236	0.0047328607	0.008427654	0.0029282973
5_gb_bin.106	0.00096783903	0.0016538786	0.00001400978	0.79903173	0.0012851149	0.06440254	0.025951048	0.009586394	0.015486593	0.022104746
5_gb_bin.107	0.020667477	0.17100182	0.5330867	0.2909589	0.24641494	0.0002748172	0.087782405	0.21338929	0.15505406	0.086272225
5_gb_bin.108	0.0045435885	0.27518848	0.84344864	0.0816553	0.0012910059	0.12440278	0.06747985	0.86934465	0.030429171	0.13112156
5_gb_bin.109	0.068562604	0.3322572	0.00028731916	0.0015446612	0.002718464	0.14798473	0.0013029926	0.0013221165	0.016209109	0.0023018478
5_gb_bin.10	0.0020856822	0.00001840409	0.0025453384	0.0013987807	0.008850836	0.886391	0.000014320322	0.0011255486	0.14370397	0.020294994
5_gb_bin.110	0.30398142	0.00017994535	0.00011036422	1.5555167	0.15330346	1.1623379	1.0994775	0.6841989	0.19923557	0.101846725
5_gb_bin.111	0.027462933	0.21413599	0.31883398	0.19075331	0.17516504	0.18763568	0.23581767	0.6308599	0.06566874	0.24502115
5_gb_bin.112	0.000100494035	0.13011888	0.00020671819	0.06389891	0.091979235	0.0000045741526	0.06432863	0.008300916	0.014023026	0.062021144
5_gb_bin.113	0.003928135	0.0049897637	0.013622505	0.015204308	0.032818917	0.73143184	0.020246143	0.003297338	0.006693707	0.0014260432
5_gb_bin.114	0.057049766	0.36734572	0	0.000009034742	0.0000045122565	0.000005914627	0.082809426	0.0011137854	0.000016101498	0.0005390381
5_gb_bin.115	0.024967434	0.004023637	0.0034123235	0.0038987643	0.005708796	0.23310731	0.0022326768	0.023625191	0.03626627	0.014774766
5_gb_bin.116	0.087700486	0.55414045	2.2794752	0.6445347	0.42644772	0.23737653	2.2918236	3.2872405	0.13326572	0.4454141
5_gb_bin.117	1.0112832	0.002602144	1.1149752	0.0010839086	0.0008038807	0.0008094563	0.0015365162	0.017140852	0.44333526	0.87286335
5_gb_bin.118	0.032773107	0.19476178	0.0023796961	0.0013917824	0.0007633509	0.0021938544	0.002003068	0.007507693	0.018354168	0.020304637
5_gb_bin.119	0.35373345	0.018037753	0.25905648	0.008686652	0.47435603	0.38475066	1.5247486	1.6006072	1.2726055	1.5294623
5_gb_bin.11	0.13137509	0.8939337	0.56378657	0.07925708	0.29725516	0.6716159	0.6177363	0.18111774	0.4026059	0.09910722
5_gb_bin.120	0.0029740043	0.07545824	0.027390856	0.8581729	1.1731186	0.03528983	0.015385042	0.14390332	0.0110198315	0.019042712
5_gb_bin.121	0.55707836	0.53748333	0.4103385	0.112759516	0.060845014	0.121738695	0.26662493	0.47693247	0.15639427	0.33200806
5_gb_bin.122	0.249773	0.17880274	0.10755359	0.06429147	0.15449171	0.0072539174	0.1164485	0.007581981	0.0062812148	0.0144618
5_gb_bin.123	2.3242922	0.014666464	0.01841133	0.00033683254	0.024701104	0.00017605865	0.0018087084	0.0703014	0.043778505	0.000020848416
5_gb_bin.124	0.00009009279	0.0003387104	0.00010240298	0.00011878092	0.008658237	0.000118300435	0.00032221648	0.5451106	0.0007632755	0.0013077634
5_gb_bin.125	0.0008093825	0.0006981421	1.3140507	2.764371	0.24526845	0.0069369655	0.00018343542	0.019007938	0.023088519	0.0030949903
5_gb_bin.126	0.0030903714	0.024692414	0.0008347007	0.0010218498	0.0020247279	0.00032556494	0.0005505619	0.1611949	1.5254731	0.016591117
5_gb_bin.127	0.047912925	0.1476399	0.07641828	0.24331431	0.51541704	0.038142554	0.55724454	0.49589834	0.010835863	0.005778079
5_gb_bin.128	0.0042515034	0.24165346	0.00018583673	1.8665321	0.00718409	0.15244345	0.1833431	0.36648712	1.3067346	9.631564
5_gb_bin.129	0.03994975	0.00025946193	0.00008266506	0.00032526534	0.000060286184	0.00012059911	0.00015947438	0.07806575	0.27475306	0.0007991632
5_gb_bin.12	0.1407837	0.11053286	0.04301345	0.01032592	0.0066865454	0.0075384295	0.009775161	0.09606011	0.00997947	0.015340705
5_gb_bin.130	0.01133984	0.005748351	0.01092869	0.009571415	0.009851206	1.8592626	0.006595885	0.05668635	0.031589404	0.08357576
5_gb_bin.131	0.0072487663	0.051291935	0.015550905	0.030297058	0.6598647	0.0016262562	0.0062108277	0.32507887	2.0413299	0.0011495323
5_gb_bin.132	0.101818174	0.0085066985	0.0064093056	0.0102427965	0.0017845815	0.34583414	0.004568421	0.004665991	0.023644261	0.014870992
5_gb_bin.133	0.106633924	0.20602238	0.02470672	0.11894417	0.038604278	0.122910134	0.07690602	0.119814985	0.20944288	0.11032575
5_gb_bin.134	0.054980334	0.10568192	0.76348406	0.039973184	0.089862175	0.010282197	0.08465858	0.061395433	0.21732217	0.016694285
5_gb_bin.135	0.16218331	0.018975696	0.0000512916	12.431336	0.3630021	0.059444275	10.727411	0.19101839	0.2527227	2.032512
5_gb_bin.136	0.00079200923	0.0028901796	0.00034957257	0.00071521127	0.050251283	0.0002619463	0.00065263716	0.0050771544	1.3377737	0.011182789
5_gb_bin.137	0.005103242	0.19184408	0.0010670876	0.0011761166	0.0014519675	0.00063815695	0.0004492093	0.07279453	0.030975467	0.15489744
5_gb_bin.138	0.043419167	0.19518639	0.032757174	0.11006535	0.06604632	0.08969018	0.007318342	0.52043533	0.5640357	1.518274
5_gb_bin.139	0.08388691	0.13978964	0.02596374	0.027633741	0.04211369	0.0098392675	0.035810784	0.09910223	0.0779655	0.05046908
5_gb_bin.13	0.010177685	0.041115765	0.008009107	0.30306932	0.0345051	0.0022708364	0.0424125	0.004534891	0.009288712	0.0021961203
