sample	taxonomy	base_contribution
KRGM_92_5gb_M_1	d__Archaea	2863272.3726568455
KRGM_92_5gb_M_1	d__Bacteria	9627760.52964497
KRGM_92_5gb_M_1	p__Actinomycetota	766134.1519310396
KRGM_92_5gb_M_1	c__Clostridia	5233673.83523509
KRGM_92_5gb_M_1	c__Bacilli	3874259.0779806366
KRGM_92_5gb_M_1	c__Gammaproteobacteria	669166.1347287755
KRGM_92_5gb_M_1	o__Coriobacteriales	3191794.873309331
KRGM_92_5gb_M_1	o__Actinomycetales	946893.772246632
KRGM_92_5gb_M_1	o__Oscillospirales	2287028.7983700936
KRGM_92_5gb_M_1	o__Christensenellales	1098441.190362365
KRGM_92_5gb_M_1	o__Lactobacillales	383773.5201099052
KRGM_92_5gb_M_1	o__Bacteroidales	2839343.408302624
KRGM_92_5gb_M_1	o__Veillonellales	727719.7738766148
KRGM_92_5gb_M_1	f__Eggerthellaceae	2368831.983750252
KRGM_92_5gb_M_1	f__Ruminococcaceae	10080896.159731485
KRGM_92_5gb_M_1	f__Acutalibacteraceae	3593657.0137443454
KRGM_92_5gb_M_1	f__Oscillospiraceae	4431427.557695023
KRGM_92_5gb_M_1	f__CAG-74	1901152.05710706
KRGM_92_5gb_M_1	f__Lachnospiraceae	28115698.87397667
KRGM_92_5gb_M_1	f__Anaerotignaceae	149944.37692433395
KRGM_92_5gb_M_1	f__UBA1381	126191.26738039174
KRGM_92_5gb_M_1	f__Peptostreptococcaceae	861984.0087810274
KRGM_92_5gb_M_1	f__Streptococcaceae	474441.613958116
KRGM_92_5gb_M_1	f__Lactobacillaceae	1234881.4498875672
KRGM_92_5gb_M_1	f__Erysipelotrichaceae	521916.78638566344
KRGM_92_5gb_M_1	f__Coprobacillaceae	156270.8251836276
KRGM_92_5gb_M_1	f__Enterobacteriaceae	2320708.8032953683
KRGM_92_5gb_M_1	f__Bacteroidaceae	4956561.774819798
KRGM_92_5gb_M_1	g__Senegalimassilia	5753811.940517508
KRGM_92_5gb_M_1	g__Collinsella	707773.547532509
KRGM_92_5gb_M_1	g__Faecalibacterium	34108774.689335346
KRGM_92_5gb_M_1	g__Faecousia	401238.6030787794
KRGM_92_5gb_M_1	g__Dysosmobacter	904356.6894895992
KRGM_92_5gb_M_1	g__CAG-103	1448662.6453013385
KRGM_92_5gb_M_1	g__ER4	674998.4118194625
KRGM_92_5gb_M_1	g__Roseburia	1788526.8727220544
KRGM_92_5gb_M_1	g__Lachnospira	4613526.997738306
KRGM_92_5gb_M_1	g__Ventrimonas	110021.72051480235
KRGM_92_5gb_M_1	g__CAG-56	1510481.0479485064
KRGM_92_5gb_M_1	g__Acetatifactor	589583.7829011964
KRGM_92_5gb_M_1	g__Marvinbryantia	244262.56665106997
KRGM_92_5gb_M_1	g__Copromonas	62690.522422736045
KRGM_92_5gb_M_1	g__Enterocloster	4311092.777875763
KRGM_92_5gb_M_1	g__Eisenbergiella	247869.42168853912
KRGM_92_5gb_M_1	g__Lachnoclostridium_B	32772.10417889217
KRGM_92_5gb_M_1	g__HGM11808	39298.86487568783
KRGM_92_5gb_M_1	g__Clostridium	628963.4126726931
KRGM_92_5gb_M_1	g__Streptococcus	7330883.742755952
KRGM_92_5gb_M_1	g__Latilactobacillus	78667.79153232068
KRGM_92_5gb_M_1	g__Escherichia	139855.31060749912
KRGM_92_5gb_M_1	g__Veillonella	568988.8518927898
KRGM_92_5gb_M_1	g__Campylobacter_B	614504.3826509994
KRGM_92_5gb_M_1	s__Senegalimassilia sp900550055	2284603.7643340863
KRGM_92_5gb_M_1	s__Senegalimassilia sp905215325	2180721.7502666293
KRGM_92_5gb_M_1	s__Senegalimassilia sp934630535	2224360.747272745
KRGM_92_5gb_M_1	s__Senegalimassilia anaerobia	6350175.17804216
KRGM_92_5gb_M_1	s__Senegalimassilia sp934661765	4239803.88734711
KRGM_92_5gb_M_1	s__Eggerthella lenta	27686786.79038212
KRGM_92_5gb_M_1	s__Collinsella sp905214105	6269146.289521715
KRGM_92_5gb_M_1	s__Faecalibacterium sp900539945	77857654.94239157
KRGM_92_5gb_M_1	s__Faecalibacterium prausnitzii_I	8116093.477826607
KRGM_92_5gb_M_1	s__Faecalibacterium duncaniae	43250920.06727266
KRGM_92_5gb_M_1	s__Faecalibacterium prausnitzii_D	153293772.0426512
KRGM_92_5gb_M_1	s__Faecalibacterium sp900758465	48674335.48584824
KRGM_92_5gb_M_1	s__Faecalibacterium longum	33988586.10662293
KRGM_92_5gb_M_1	s__Gemmiger formicilis	125781510.7657915
KRGM_92_5gb_M_1	s__Gemmiger qucibialis	8971447.947394794
KRGM_92_5gb_M_1	s__Ruthenibacterium lactatiformans	4579309.1878163135
KRGM_92_5gb_M_1	s__Ruminococcus_D sp000434695	131616104.71503222
KRGM_92_5gb_M_1	s__Ruminococcus_C sp000980705	81150623.74952531
KRGM_92_5gb_M_1	s__Eubacterium_R sp014465955	48959027.555801645
KRGM_92_5gb_M_1	s__Ruminococcus_E bromii	6645630.190517136
KRGM_92_5gb_M_1	s__Ruminococcus_E bromii_B	89343912.58258554
KRGM_92_5gb_M_1	s__Fimenecus sp000432435	11151195.9646781
KRGM_92_5gb_M_1	s__UMGS1071 sp900542375	913481.8764691659
KRGM_92_5gb_M_1	s__Faecousia sp003525905	9447768.040648894
KRGM_92_5gb_M_1	s__Faecousia sp900540635	3834952.526220332
KRGM_92_5gb_M_1	s__Dysosmobacter welbionis	5543500.275823633
KRGM_92_5gb_M_1	s__Dysosmobacter sp944387035	936409.7986298526
KRGM_92_5gb_M_1	s__Dysosmobacter sp900542115	1350510.6045512115
KRGM_92_5gb_M_1	s__CAG-103 sp000432375	19492051.008118916
KRGM_92_5gb_M_1	s__CAG-103 sp934591895	912610.8512486032
KRGM_92_5gb_M_1	s__ER4 sp900317525	2004049.3889556422
KRGM_92_5gb_M_1	s__Vescimonas coprocola	13390880.461829403
KRGM_92_5gb_M_1	s__Lawsonibacter sp900066825	7865489.41407711
KRGM_92_5gb_M_1	s__Flavonifractor plautii	1579037.3475679068
KRGM_92_5gb_M_1	s__Pseudoscilispira sp018369915	1137490.3688367014
KRGM_92_5gb_M_1	s__Agathobaculum sp003481705	14424540.02183928
KRGM_92_5gb_M_1	s__Agathobaculum butyriciproducens	7007598.96850961
KRGM_92_5gb_M_1	s__Egerieenecus sp900553315	1001763.2294943166
KRGM_92_5gb_M_1	s__UBA11524 sp000437595	30150533.951576103
KRGM_92_5gb_M_1	s__Ventricola sp900542445	4930886.067918398
KRGM_92_5gb_M_1	s__Roseburia sp019411365	5973852.6358661195
KRGM_92_5gb_M_1	s__Roseburia intestinalis	50351876.63625546
KRGM_92_5gb_M_1	s__Roseburia hominis	10519238.069414318
KRGM_92_5gb_M_1	s__Lachnospira sp000436475	13655955.515641749
KRGM_92_5gb_M_1	s__Lachnospira sp019424245	10756894.567086877
KRGM_92_5gb_M_1	s__Ventrimonas sp003478505	4913268.520802515
KRGM_92_5gb_M_1	s__Ventrimonas sp003480315	4936202.309125961
KRGM_92_5gb_M_1	s__Acetatifactor intestinalis	20761970.016162217
KRGM_92_5gb_M_1	s__Copromonas sp900066055	2897485.4854854858
KRGM_92_5gb_M_1	s__Copromonas sp900066785	7193053.130656243
KRGM_92_5gb_M_1	s__Enterocloster sp900543885	4135514.6385789895
KRGM_92_5gb_M_1	s__Enterocloster sp900541315	2373414.6054324084
KRGM_92_5gb_M_1	s__Enterocloster sp001517625	1849024.072936734
KRGM_92_5gb_M_1	s__Lachnoclostridium_B sp900066555	1299549.064410412
KRGM_92_5gb_M_1	s__Fusicatenibacter saccharivorans	212340643.4908732
KRGM_92_5gb_M_1	s__Anaerostipes hadrus	204716827.98805755
KRGM_92_5gb_M_1	s__Agathobacter faecis	84119692.40019254
KRGM_92_5gb_M_1	s__Agathobacter rectalis	288167643.6490877
KRGM_92_5gb_M_1	s__Agathobacter sp900317585	53222802.663051374
KRGM_92_5gb_M_1	s__Agathobacter sp934365945	73848349.17099284
KRGM_92_5gb_M_1	s__Mediterraneibacter lactaris	68407641.81785972
KRGM_92_5gb_M_1	s__Mediterraneibacter torques	2068789.9902686523
KRGM_92_5gb_M_1	s__Mediterraneibacter faecis	18229879.15352355
KRGM_92_5gb_M_1	s__KLE1615 sp900066985	63076431.16561124
KRGM_92_5gb_M_1	s__KLE1615 sp934292725	10809435.970350578
KRGM_92_5gb_M_1	s__Blautia stercoris	54293975.15527951
KRGM_92_5gb_M_1	s__Blautia_A wexlerae	292986550.5214281
KRGM_92_5gb_M_1	s__Blautia_A sp003474435	44311296.427106805
KRGM_92_5gb_M_1	s__Blautia_A sp900066335	38618337.20353279
KRGM_92_5gb_M_1	s__Blautia_A faecis	32790787.20177283
KRGM_92_5gb_M_1	s__Blautia_A sp900120195	33908745.859417535
KRGM_92_5gb_M_1	s__Blautia_A obeum	9154982.719992895
KRGM_92_5gb_M_1	s__Blautia_A sp900066145	5881091.400948833
KRGM_92_5gb_M_1	s__Anaerobutyricum hallii	19524810.10812946
KRGM_92_5gb_M_1	s__Anaerobutyricum soehngenii	28432591.40408688
KRGM_92_5gb_M_1	s__CAG-317 sp000433215	1367989.4693335416
KRGM_92_5gb_M_1	s__Wujia chipingensis	123709715.26191182
KRGM_92_5gb_M_1	s__CAG-45 sp000438375	3837071.194666787
KRGM_92_5gb_M_1	s__Eubacterium_I ramulus_A	8982231.356347285
KRGM_92_5gb_M_1	s__Eubacterium_I ramulus	7468321.413660419
KRGM_92_5gb_M_1	s__Dorea_A longicatena_B	41486923.13175278
KRGM_92_5gb_M_1	s__Eubacterium_F sp934322085	2468310.215110719
KRGM_92_5gb_M_1	s__Eubacterium_F sp003491505	27688978.279956102
KRGM_92_5gb_M_1	s__Dorea formicigenerans	16228765.69996043
KRGM_92_5gb_M_1	s__Clostridium_Q symbiosum	2443744.222482567
KRGM_92_5gb_M_1	s__Clostridium_Q fessum	16837169.8017472
KRGM_92_5gb_M_1	s__Faecalimonas phoceensis	1432055.3327698577
KRGM_92_5gb_M_1	s__Pararoseburia lenta	13514690.259211905
KRGM_92_5gb_M_1	s__Coprococcus_A catus_A	13989694.323762046
KRGM_92_5gb_M_1	s__Choladocola sp003480725	3062282.810849416
KRGM_92_5gb_M_1	s__Choladocola sp003481535	1586945.9838283483
KRGM_92_5gb_M_1	s__Eubacterium_G ventriosum	3822955.614465446
KRGM_92_5gb_M_1	s__Eubacterium_G sp000435815	9227699.114434263
KRGM_92_5gb_M_1	s__Oliverpabstia faecicola	33140282.919287816
KRGM_92_5gb_M_1	s__Butyribacter hominis	25605107.49841347
KRGM_92_5gb_M_1	s__Limivivens sp905214955	1815070.5938636193
KRGM_92_5gb_M_1	s__Limivivens sp900543575	5683213.798641234
KRGM_92_5gb_M_1	s__Schaedlerella sp900066545	5056925.608462989
KRGM_92_5gb_M_1	s__HGM11808 sp900757025	879062.9537613204
KRGM_92_5gb_M_1	s__CAG-274 sp900545305	64825192.30483434
KRGM_92_5gb_M_1	s__CAG-41 sp900066215	13451295.369798986
KRGM_92_5gb_M_1	s__Intestinibacter bartlettii	3236196.829375445
KRGM_92_5gb_M_1	s__Romboutsia timonensis	3836843.7428664537
KRGM_92_5gb_M_1	s__Clostridium sp001916075	24038386.749567475
