sample	coverage	taxonomy
KRGM_92_5gb_M_1	1.41	Root; d__Archaea
KRGM_92_5gb_M_1	2.77	Root; d__Bacteria
KRGM_92_5gb_M_1	0.17	Root; d__Bacteria; p__Actinomycetota
KRGM_92_5gb_M_1	1.98	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
KRGM_92_5gb_M_1	1.36	Root; d__Bacteria; p__Bacillota; c__Bacilli
KRGM_92_5gb_M_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
KRGM_92_5gb_M_1	0.94	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
KRGM_92_5gb_M_1	0.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
KRGM_92_5gb_M_1	0.91	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
KRGM_92_5gb_M_1	0.17	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
KRGM_92_5gb_M_1	1.39	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
KRGM_92_5gb_M_1	0.28	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
KRGM_92_5gb_M_1	0.34	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
KRGM_92_5gb_M_1	3.85	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
KRGM_92_5gb_M_1	1.6	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
KRGM_92_5gb_M_1	1.76	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
KRGM_92_5gb_M_1	8.52	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
KRGM_92_5gb_M_1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
KRGM_92_5gb_M_1	0.59	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__CAG-74
KRGM_92_5gb_M_1	0.05	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381; f__UBA1381
