sample	taxonomy	base_contribution
KRGM_93_05gb_M_1	d__Archaea	643588.493741589
KRGM_93_05gb_M_1	d__Bacteria	8946122.208401468
KRGM_93_05gb_M_1	p__Actinomycetota	2508463.657155665
KRGM_93_05gb_M_1	c__Bacilli	460871.32063127693
KRGM_93_05gb_M_1	o__Actinomycetales	563952.4800526617
KRGM_93_05gb_M_1	o__Coriobacteriales	256825.83992141875
KRGM_93_05gb_M_1	o__Erysipelotrichales	256182.88121756096
KRGM_93_05gb_M_1	o__Lactobacillales	1027871.6634742762
KRGM_93_05gb_M_1	o__Lachnospirales	2102500.788759796
KRGM_93_05gb_M_1	o__Oscillospirales	931344.9478694637
KRGM_93_05gb_M_1	o__Peptostreptococcales	454794.40555918694
KRGM_93_05gb_M_1	o__Bacteroidales	828739.2730510999
KRGM_93_05gb_M_1	o__Veillonellales	334714.92457519996
KRGM_93_05gb_M_1	f__Bifidobacteriaceae	110922.00249972144
KRGM_93_05gb_M_1	f__Coriobacteriaceae	1007793.9573665814
KRGM_93_05gb_M_1	f__Eggerthellaceae	855387.57371867
KRGM_93_05gb_M_1	f__Coprobacillaceae	151927.52677088094
KRGM_93_05gb_M_1	f__Lachnospiraceae	15838828.860530082
KRGM_93_05gb_M_1	f__Ruminococcaceae	2140264.5345373997
KRGM_93_05gb_M_1	f__Oscillospiraceae	2187282.3887310806
KRGM_93_05gb_M_1	f__Peptostreptococcaceae	1006603.4350418965
KRGM_93_05gb_M_1	f__Bacteroidaceae	1361640.4257495452
KRGM_93_05gb_M_1	f__Enterobacteriaceae	237027.48970517656
KRGM_93_05gb_M_1	g__Bifidobacterium	19400702.993947893
KRGM_93_05gb_M_1	g__Collinsella	10130008.899059035
KRGM_93_05gb_M_1	g__Eggerthella	39218.630460233864
KRGM_93_05gb_M_1	g__Anaerotardibacter	129124.05527220594
KRGM_93_05gb_M_1	g__Streptococcus	2068210.2179283553
KRGM_93_05gb_M_1	g__Blautia_A	1547947.701854579
KRGM_93_05gb_M_1	g__Agathobacter	777487.1363011333
KRGM_93_05gb_M_1	g__Enterocloster	417202.52689120284
KRGM_93_05gb_M_1	g__Faecalibacterium	11544105.631616954
KRGM_93_05gb_M_1	g__HGM13006	800882.2765121779
KRGM_93_05gb_M_1	g__Lawsonibacter	27128.174507977794
KRGM_93_05gb_M_1	g__Flavonifractor	156133.9743843815
KRGM_93_05gb_M_1	g__Agathobaculum	24763.382844878302
KRGM_93_05gb_M_1	g__Clostridium	924946.1951069016
KRGM_93_05gb_M_1	g__Phocaeicola	500963.13971373625
KRGM_93_05gb_M_1	g__Bacteroides	7600431.9143966045
KRGM_93_05gb_M_1	g__Parabacteroides	1270912.9721569465
KRGM_93_05gb_M_1	g__Veillonella	2865265.289888691
KRGM_93_05gb_M_1	s__Bifidobacterium adolescentis	12260143.105001912
KRGM_93_05gb_M_1	s__Bifidobacterium kashiwanohense_A	10795406.42156869
KRGM_93_05gb_M_1	s__Bifidobacterium pseudocatenulatum	42316070.34359837
KRGM_93_05gb_M_1	s__Bifidobacterium bifidum	4152606.693060577
KRGM_93_05gb_M_1	s__Eggerthella lenta	1775723.2365559216
KRGM_93_05gb_M_1	s__Anaerotardibacter sp000436075	1653512.8762021468
KRGM_93_05gb_M_1	s__Faecalibacillus intestinalis	11722141.909945574
KRGM_93_05gb_M_1	s__Streptococcus vestibularis	1012309.7297297298
KRGM_93_05gb_M_1	s__Streptococcus sp001556435	2975686.7012779545
KRGM_93_05gb_M_1	s__Streptococcus salivarius	3961950.6696195067
KRGM_93_05gb_M_1	s__Ligilactobacillus ruminis	2872807.1291770968
KRGM_93_05gb_M_1	s__Blautia_A wexlerae	27653394.28303454
KRGM_93_05gb_M_1	s__Blautia_A massiliensis	8182135.098155861
KRGM_93_05gb_M_1	s__Agathobacter rectalis	1995430.1971880477
KRGM_93_05gb_M_1	s__Agathobacter faecis	2346757.6268815994
KRGM_93_05gb_M_1	s__Enterocloster sp000431375	7807464.727001151
KRGM_93_05gb_M_1	s__Enterocloster sp001517625	3314288.432622447
KRGM_93_05gb_M_1	s__Anaerostipes hadrus	28161957.95030989
KRGM_93_05gb_M_1	s__Ruminococcus_B gnavus	23469506.347150255
KRGM_93_05gb_M_1	s__Fusicatenibacter saccharivorans	13666016.880693067
KRGM_93_05gb_M_1	s__Oliverpabstia intestinalis	2926307.066662063
KRGM_93_05gb_M_1	s__Anaerobutyricum hallii	7524511.536687765
KRGM_93_05gb_M_1	s__Dorea formicigenerans	3547099.6597592426
KRGM_93_05gb_M_1	s__Clostridium_Q fessum	3341228.2485957476
KRGM_93_05gb_M_1	s__Bariatricus comes	3017653.4791252483
KRGM_93_05gb_M_1	s__Dorea_A longicatena	11364555.737034248
KRGM_93_05gb_M_1	s__Blautia stercoris	5071415.261756877
KRGM_93_05gb_M_1	s__Coprococcus_A catus_A	1388555.2678672005
KRGM_93_05gb_M_1	s__CAG-274 sp900545305	15022981.073818753
KRGM_93_05gb_M_1	s__Faecalibacterium prausnitzii	24153952.837242324
KRGM_93_05gb_M_1	s__Faecalibacterium longum	6262602.803382944
KRGM_93_05gb_M_1	s__Lawsonibacter asaccharolyticus	1690990.2576419644
KRGM_93_05gb_M_1	s__Agathobaculum butyriciproducens	1395936.0495039064
KRGM_93_05gb_M_1	s__Intestinibacter bartlettii	4344893.891291106
KRGM_93_05gb_M_1	s__Intestinibacter sp900540355	1203230.3465121272
KRGM_93_05gb_M_1	s__Clostridium sp900540255	1836419.5065672703
KRGM_93_05gb_M_1	s__Phocaeicola vulgatus	13270599.342498505
KRGM_93_05gb_M_1	s__Phocaeicola plebeius_A	24266674.386948254
KRGM_93_05gb_M_1	s__Bacteroides uniformis	22170135.91848372
KRGM_93_05gb_M_1	s__Bacteroides rodentium	3581429.9947682125
KRGM_93_05gb_M_1	s__Bacteroides stercoris	6207331.219789461
KRGM_93_05gb_M_1	s__Parabacteroides merdae	2877321.798690145
KRGM_93_05gb_M_1	s__Alistipes putredinis	1288860.5880599949
KRGM_93_05gb_M_1	s__Escherichia fergusonii	5693729.096889952
KRGM_93_05gb_M_1	s__Escherichia coli	11784077.207189415
