Genome	D1_P102_M Relative Abundance (%)	D1_P107_M Relative Abundance (%)	D1_P167_M Relative Abundance (%)	D1_P225_M Relative Abundance (%)	D1_P295_M Relative Abundance (%)	D1_P304_M Relative Abundance (%)	D1_P46_M Relative Abundance (%)	D1_P47_M Relative Abundance (%)	D3_P186_M Relative Abundance (%)	D3_P190_M Relative Abundance (%)	D3_P191_M Relative Abundance (%)	D3_P265_M Relative Abundance (%)	D3_P266_M Relative Abundance (%)	D3_P41_M Relative Abundance (%)	D3_P75_M Relative Abundance (%)	D3_P9_M Relative Abundance (%)	G1_P178_M Relative Abundance (%)	G1_P196_M Relative Abundance (%)	G1_P276_M Relative Abundance (%)	G1_P291_M Relative Abundance (%)	G1_P294_M Relative Abundance (%)	G1_P43_M Relative Abundance (%)	G1_P74_M Relative Abundance (%)	G1_P82_M Relative Abundance (%)	G3_P143_M Relative Abundance (%)	G3_P149_M Relative Abundance (%)	G3_P14_M Relative Abundance (%)	G3_P179_M Relative Abundance (%)	G3_P212_M Relative Abundance (%)	G3_P261_M Relative Abundance (%)	G3_P301_M Relative Abundance (%)	G3_P84_M Relative Abundance (%)
unmapped	36.232716	35.562366	59.07544	75.24007	36.667355	39.692528	82.664795	40.84286	53.791023	59.704853	48.903465	44.507504	85.607	51.18785	43.94689	49.282856	24.591679	41.728176	37.70221	33.981277	35.700554	31.287252	34.807484	30.50713	41.812958	45.01849	40.470608	37.17133	71.11009	38.35358	47.992386	72.56065
D1_bin.101	0.0006626882	0.0024852452	0.00034013926	0.09880567	0.059542544	0.07632993	0.080851465	0.00056202913	0.0003419212	0.004725117	0.0005103873	0.0012628199	0.0063819974	0.0016933543	0.0015959662	0.0002482763	0.00029614527	0.00054077	0.0007354626	0.0009522143	0.00017240229	0.0010068268	0.00009340876	0.00096904824	0.16126516	0.0006281029	0.0016708609	0.00087386294	0.0016271385	0.0020110335	0.00043359722	0.0067812526
D1_bin.102	0.0751135	0.0024578052	0.0009767395	0.06231023	0.9357742	0.009146733	0.047485698	0.0121187745	0.0022904177	0.0058932663	0.014867099	0.00091879955	0.002811018	0.042932134	0.00314935	0.009451004	0.0042420756	0.0061625317	0.015969817	0.034170892	0.092624985	0.011438269	0.019042607	0.014656168	0.015641164	0.98553616	0.73601574	0.17589551	0.0044006347	0.014819397	0.25150833	2.511548
D1_bin.104	0.2339536	0.0064926352	0.016923772	0.0030803203	0.14168553	0.0020971466	0.0012223368	0.0018482514	0.0008751209	0.005064229	0.046311606	0.001930768	0.048016865	0.10996551	0.0026348084	0.004442553	0.0143429525	0.005681114	0.007857834	0.1046329	0.02239467	0.07928775	0.007352341	0.0011515706	0.14623058	0.52982986	0.015932811	0.4651755	0.003749928	0.16022463	0.35238558	0.006319633
D1_bin.106	0.0011570145	0.017354298	0.00045974366	0.002305654	0.42044228	0.024088042	0.00086975127	0.00048206645	0.0018226827	0.055698436	0.028880859	0.0004237178	0.00030825532	0.008398716	0.0017017666	0.0035732721	0.0054046465	0.0019518957	0.0023259989	0.0034063244	0.0136294905	0.008785358	0.00044464204	0.013551357	0.079793945	0.0033257422	0.01601972	0.03963105	0.013726286	0.08970349	0.00058706873	0.0008557168
D1_bin.108	0.5861178	0.034161776	0.10600048	0.21054173	0.9705763	0.5430371	0.16887885	0.3515082	0.26826543	0.06395005	0.093590505	0.06685758	0.064871326	0.35196844	0.06458627	0.21500902	0.1545656	0.743472	1.2199795	0.5832442	1.551674	1.4320034	0.06263738	1.3217087	0.14912403	1.0448822	0.121854685	1.4479175	0.12710488	0.6365219	0.29852042	0.094412506
D1_bin.109	0.0035308045	0.0029546432	0.0031270718	0.0048800134	0.32304803	0.01188481	0.00915422	0.00070429774	0.066190675	0.0012221286	0.002565609	0.0003659759	0.0022605902	0.0068202005	0.006872629	0.004722848	0.0005019535	0.010187507	0.00091550325	0.04123147	0.001960555	0.006036074	0.0048837326	0.03858846	0.0078993365	0.028056161	0.15604001	0.04953336	0.0070617404	0.027108971	0.8664005	0.065534875
D1_bin.10	0.0036410214	0.008548772	0.0013901825	0.13196461	0.20452027	0.051754188	0.08074878	0.0012578048	0.025188876	0.018498579	0.064504564	0.0022643914	0.15343778	0.009836894	0.0023832237	0.017429976	0.035488836	0.20414601	0.019401431	0.0060924874	0.010405946	0.047907982	0.012963914	0.037082348	0.06833891	0.069329955	0.07707694	0.0007316383	0.0227161	0.0079959035	0.0025583305	0.0083163
D1_bin.110	0.003555554	0.0034193818	0.0021328551	0.0019221484	0.029045055	0.12823753	0.0070222975	0.0014922927	0.00046119854	0.0020491814	0.00056630134	0.0011710677	0.0017653577	0.0009916474	0.0004995275	0.0005068825	0.00057271286	0.006546796	0.0037164374	0.020592328	0.014154584	0.002969089	0.00030085404	0.05344829	0.009339827	0.061024003	0.031048799	0.026930116	0.0024943545	0.051954933	0.0025451102	0.00047570784
D1_bin.112	0.002537077	0.029487077	0.007474936	0.0023747839	2.3826396	0.0016356034	0.00809182	0.0009642844	0.0013643339	0.0044662277	0.02438312	0.0010000449	0.0009504787	0.009626452	0.005873914	0.03329684	0.000803977	0.006932916	0.006513668	0.016866501	0.04881933	0.005215004	0.0007154086	0.067589305	0.016571324	0.09150689	0.013297326	0.011313957	0.0047487654	0.25398877	0.003983262	0.0018495582
