rank	genome_size	min_genome_size	max_genome_size
g__RUG099	1791498.1575000002	1535233.713	2047762.6020000002
f__Anaeroplasmataceae	1621328.7455	1561465.686	1681191.805
g__Onthovivens	1384099.7766	1309503.195	1501003.6228
g__Evtepia	2368660.0652	2368660.0652	2368660.0652
g__Parabacteroides	2596317.9731750004	2286450.666	2723695.9116
f__Lachnospiraceae	2149260.3414	2130160.2048	2169108.676
s__Providencia alcalifaciens	3669710.4812999996	3669710.4812999996	3669710.4812999996
g__CAG-238	1945739.7234	1945739.7234	1945739.7234
g__UMGS124	2688290.456	2688290.456	2688290.456
s__Macrococcus_B caseolyticus	1969014.5405000001	1969014.5405000001	1969014.5405000001
s__Faecalimonas umbilicata	2407939.3041000003	2407939.3041000003	2407939.3041000003
s__Pseudarthrobacter chlorophenolicus_A	4311553.5345	4311553.5345	4311553.5345
g__Campylobacter_D	1494760.7194	1494760.7194	1494760.7194
s__Clostridium_H haemolyticum	2040102.4032	2040102.4032	2040102.4032
f__Erysipelotrichaceae	1487203.5456	1275679.2268	1619865.4936
f__UBA1709	1279723.8181333332	1219959.0422	1309670.021
s__Oliverpabstia sp000432335	2825898.4944	2825898.4944	2825898.4944
s__Blautia_A caecimuris	3146885.9032	3146885.9032	3146885.9032
g__Mailhella	2228727.4513	2101856.7444	2355598.1582
f__CAG-465	1639754.4973499998	1472083.3610999999	1807425.6336
g__Holdemanella	1456615.508	1456615.508	1456615.508
g__Cryptobacteroides	2342659.3095714287	2243246.2416	2463806.5002
g__Merdisoma	2042494.8537	2042494.8537	2042494.8537
g__Blautia_A	2505223.56736	2190798.7298999997	2711998.0924
g__Amedibacillus	1690405.2436000002	1657414.47	1723396.0172000001
s__UBA636 sp900546285	1840878.9944999998	1840878.9944999998	1840878.9944999998
g__Streptococcus	1948958.3564	1948958.3564	1948958.3564
g__Microbacterium	2592632.0772	2592632.0772	2592632.0772
g__RGIG4373	1274185.9806	1274185.9806	1274185.9806
g__Limivicinus	2062825.5147000002	2062825.5147000002	2062825.5147000002
g__Jeotgalibaca	2260842.147	2260842.147	2260842.147
g__Anaerobiospirillum_A	2451862.1379	2451862.1379	2451862.1379
g__Peribacillus	3737395.4425333333	3389172.5700000003	4054218.0587999998
g__Bariatricus	2001703.7607	2001703.7607	2001703.7607
g__Clostridium_J	2468769.4464000002	2468769.4464000002	2468769.4464000002
s__Lactococcus petauri	1802858.2416	1802858.2416	1802858.2416
s__Savagea sp009740415	2269501.5766000003	2269501.5766000003	2269501.5766000003
g__Roseburia	2690926.6774500003	2682545.0895000002	2699308.2654
g__Eubacterium_M	1617538.3065	1594611.1967999998	1640465.4161999999
