sample	coverage	taxonomy
D1_P304_M_1	6.1	Root; d__Archaea
D1_P304_M_1	27.82	Root; d__Bacteria
D1_P304_M_1	0.08	Root; d__Archaea; p__Methanobacteriota
D1_P304_M_1	1.13	Root; d__Archaea; p__Thermoproteota
D1_P304_M_1	1.52	Root; d__Bacteria; p__Actinomycetota
D1_P304_M_1	0.06	Root; d__Bacteria; p__Bacillota_A
D1_P304_M_1	0.22	Root; d__Bacteria; p__Bacteroidota
D1_P304_M_1	0.51	Root; d__Bacteria; p__Pseudomonadota
D1_P304_M_1	0.34	Root; d__Bacteria; p__Chloroflexota
D1_P304_M_1	0.77	Root; d__Bacteria; p__Bacillota_B
D1_P304_M_1	0.84	Root; d__Bacteria; p__Spirochaetota
D1_P304_M_1	0.11	Root; d__Bacteria; p__Desulfobacterota
D1_P304_M_1	2.25	Root; d__Bacteria; p__Patescibacteria
D1_P304_M_1	0.4	Root; d__Bacteria; p__Verrucomicrobiota
D1_P304_M_1	0.17	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
D1_P304_M_1	0.37	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
D1_P304_M_1	8.93	Root; d__Bacteria; p__Bacillota; c__Bacilli
D1_P304_M_1	0.74	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D1_P304_M_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
D1_P304_M_1	58.6	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D1_P304_M_1	1.46	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D1_P304_M_1	1.15	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D1_P304_M_1	0.46	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
D1_P304_M_1	1.1	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
D1_P304_M_1	0.17	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
D1_P304_M_1	0.11	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
D1_P304_M_1	0.21	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
D1_P304_M_1	12.05	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
D1_P304_M_1	0.86	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
D1_P304_M_1	2.98	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D1_P304_M_1	1.27	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
D1_P304_M_1	0.69	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
D1_P304_M_1	2.3	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
D1_P304_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_D
D1_P304_M_1	0.34	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
D1_P304_M_1	4.79	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
D1_P304_M_1	1.33	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
D1_P304_M_1	0.46	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
D1_P304_M_1	0.12	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
D1_P304_M_1	0.28	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
D1_P304_M_1	30.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
D1_P304_M_1	0.63	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
D1_P304_M_1	4.34	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
D1_P304_M_1	4.93	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
D1_P304_M_1	2.03	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
D1_P304_M_1	3.09	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
D1_P304_M_1	7.98	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
D1_P304_M_1	0.2	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
D1_P304_M_1	0.36	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
D1_P304_M_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A
D1_P304_M_1	0.06	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales
D1_P304_M_1	0.34	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
D1_P304_M_1	1.89	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20; f__CAG-826
D1_P304_M_1	3.34	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20; f__UBA1709
D1_P304_M_1	0.3	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20; f__DUOF01
D1_P304_M_1	40.43	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales; f__Anaeroplasmataceae
D1_P304_M_1	2.31	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Planococcaceae
D1_P304_M_1	0.5	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__DSM-1321
D1_P304_M_1	0.37	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__DSM-18226
D1_P304_M_1	26.55	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae
D1_P304_M_1	6.32	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae
D1_P304_M_1	0.66	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmoidaceae
D1_P304_M_1	0.12	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Metamycoplasmataceae
D1_P304_M_1	3.44	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
D1_P304_M_1	0.31	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
D1_P304_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae
D1_P304_M_1	0.43	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_D; f__Amphibacillaceae
D1_P304_M_1	0.43	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae
D1_P304_M_1	2.57	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660
D1_P304_M_1	21.37	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae
D1_P304_M_1	2.22	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
D1_P304_M_1	1.01	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae
D1_P304_M_1	0.51	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae
D1_P304_M_1	1.63	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae
D1_P304_M_1	0.54	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae
D1_P304_M_1	0.4	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae
D1_P304_M_1	24.88	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-465
D1_P304_M_1	18.74	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-508
D1_P304_M_1	83.95	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
D1_P304_M_1	0.12	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__CAG-274
D1_P304_M_1	0.5	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
D1_P304_M_1	2.76	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
D1_P304_M_1	0.24	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__JAAYXM01
D1_P304_M_1	4.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
D1_P304_M_1	3.62	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
D1_P304_M_1	17.27	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
D1_P304_M_1	10.93	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
D1_P304_M_1	3.25	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
