sample	coverage	taxonomy
G1_P291_M_1	5.29	Root; d__Archaea
G1_P291_M_1	32.42	Root; d__Bacteria
G1_P291_M_1	0.11	Root; d__Archaea; p__Methanobacteriota
G1_P291_M_1	1.55	Root; d__Archaea; p__Thermoproteota
G1_P291_M_1	0.27	Root; d__Archaea; p__Halobacteriota
G1_P291_M_1	0.07	Root; d__Bacteria; p__Bacillota_A
G1_P291_M_1	0.16	Root; d__Bacteria; p__Bacteroidota
G1_P291_M_1	0.43	Root; d__Bacteria; p__Pseudomonadota
G1_P291_M_1	0.17	Root; d__Bacteria; p__Spirochaetota
G1_P291_M_1	0.52	Root; d__Bacteria; p__Actinomycetota
G1_P291_M_1	1.17	Root; d__Bacteria; p__Bacillota_B
G1_P291_M_1	0.11	Root; d__Bacteria; p__Desulfobacterota
G1_P291_M_1	2.29	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
G1_P291_M_1	25.42	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
G1_P291_M_1	4.0	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
G1_P291_M_1	17.29	Root; d__Bacteria; p__Bacillota; c__Bacilli
G1_P291_M_1	0.34	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
G1_P291_M_1	0.85	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
G1_P291_M_1	0.35	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
G1_P291_M_1	0.41	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
G1_P291_M_1	0.11	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
G1_P291_M_1	0.44	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
G1_P291_M_1	6.26	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
G1_P291_M_1	4.63	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
G1_P291_M_1	2.75	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
G1_P291_M_1	2.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
G1_P291_M_1	10.53	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
G1_P291_M_1	1.64	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
G1_P291_M_1	63.46	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
G1_P291_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
G1_P291_M_1	0.38	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
G1_P291_M_1	4.42	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
G1_P291_M_1	0.28	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
G1_P291_M_1	1.08	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
G1_P291_M_1	0.21	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__ML615J-28
G1_P291_M_1	0.11	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales
G1_P291_M_1	0.18	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A
G1_P291_M_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
G1_P291_M_1	1.86	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
G1_P291_M_1	0.23	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
G1_P291_M_1	0.17	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
