sample	taxonomy	base_contribution
G3_P149_M_1	d__Archaea	12894879.125085793
G3_P149_M_1	d__Bacteria	121824190.09532714
G3_P149_M_1	p__Methanobacteriota	942679.5927115649
G3_P149_M_1	p__Thermoproteota	2726818.7420115964
G3_P149_M_1	p__Halobacteriota	841106.8634620134
G3_P149_M_1	p__Bacillota_B	2518634.422059939
G3_P149_M_1	p__Bacteroidota	1897433.431146865
G3_P149_M_1	p__Actinomycetota	6399473.504365154
G3_P149_M_1	p__Pseudomonadota	2677891.167818113
G3_P149_M_1	p__Patescibacteria	517866.3657998659
G3_P149_M_1	p__Spirochaetota	572289.4384449066
G3_P149_M_1	p__Chloroflexota	2772837.3712147353
G3_P149_M_1	c__Nitrososphaeria	371957.42406228837
G3_P149_M_1	c__Nanoarchaeia	3488861.015801695
G3_P149_M_1	c__Bacteroidia	1829956.0133832067
G3_P149_M_1	c__Actinomycetia	17055470.675414294
G3_P149_M_1	c__Coriobacteriia	797186.494701221
G3_P149_M_1	c__Thermoleophilia	288032.2042991049
G3_P149_M_1	c__Gammaproteobacteria	7833180.047707429
G3_P149_M_1	c__Alphaproteobacteria	4466449.144690152
G3_P149_M_1	c__Chloroflexia	285704.1251688623
G3_P149_M_1	c__Clostridia	29075965.751306057
G3_P149_M_1	c__Bacilli	21878168.910949476
G3_P149_M_1	c__Negativicutes	977551.0290088508
G3_P149_M_1	o__Methanobacteriales	115288.7632870589
G3_P149_M_1	o__Bacteroidales	19064162.884317618
G3_P149_M_1	o__Actinomycetales	7101703.29184974
G3_P149_M_1	o__Propionibacteriales	3330592.6341477567
G3_P149_M_1	o__Mycobacteriales	11681004.510890756
G3_P149_M_1	o__Coriobacteriales	7807268.035432897
G3_P149_M_1	o__Gaiellales	313702.6973905681
G3_P149_M_1	o__Solirubrobacterales	3371288.1190550877
G3_P149_M_1	o__Acidimicrobiales	1560166.5728149281
G3_P149_M_1	o__Burkholderiales	3831610.594809072
G3_P149_M_1	o__Pseudomonadales	1008817.4163401556
G3_P149_M_1	o__Rhizobiales	3010450.0842784243
G3_P149_M_1	o__Saccharimonadales	538623.0177447835
G3_P149_M_1	o__Peptostreptococcales	1425910.6357132164
G3_P149_M_1	o__Lachnospirales	18067850.391628508
G3_P149_M_1	o__Tissierellales	869213.7377896991
G3_P149_M_1	o__Oscillospirales	19366754.505346753
G3_P149_M_1	o__Christensenellales	3876851.260102465
G3_P149_M_1	o__Eubacteriales	465686.4796357536
G3_P149_M_1	o__TANB77	1450467.0809522492
G3_P149_M_1	o__Lactobacillales	2234916.3818165064
G3_P149_M_1	o__Erysipelotrichales	6456684.120906852
G3_P149_M_1	o__RFN20	669693.2863784978
G3_P149_M_1	o__Mycoplasmatales	56670.10870311722
G3_P149_M_1	o__Bacillales	2259596.7708742656
G3_P149_M_1	o__Fusobacteriales	280882.26273877453
G3_P149_M_1	f__Methanobacteriaceae	1386298.5820766548
G3_P149_M_1	f__Bacteroidaceae	94640390.93531762
G3_P149_M_1	f__Tannerellaceae	9408445.062174426
G3_P149_M_1	f__UBA932	562628.2473659765
G3_P149_M_1	f__Muribaculaceae	16473168.303700522
G3_P149_M_1	f__Paludibacteraceae	3821683.7277226974
G3_P149_M_1	f__Micrococcaceae	4846861.391679006
G3_P149_M_1	f__Actinomycetaceae	1926133.906413845
G3_P149_M_1	f__Dermatophilaceae	2432537.6148685934
G3_P149_M_1	f__Microbacteriaceae	2197052.752754237
G3_P149_M_1	f__Nocardioidaceae	3145146.910648538
G3_P149_M_1	f__Propionibacteriaceae	2579591.395000608
G3_P149_M_1	f__Pseudonocardiaceae	4046191.9767887616
G3_P149_M_1	f__Geodermatophilaceae	3446679.2090428867
G3_P149_M_1	f__Micromonosporaceae	8909856.06175469
G3_P149_M_1	f__Mycobacteriaceae	3220606.5797053976
G3_P149_M_1	f__Eggerthellaceae	17790915.211290956
G3_P149_M_1	f__Coriobacteriaceae	2368370.9731091885
G3_P149_M_1	f__Atopobiaceae	4442967.0253153
G3_P149_M_1	f__UMGS124	1490903.8094024602
G3_P149_M_1	f__Gaiellaceae	6287795.432896572
G3_P149_M_1	f__70-9	3497017.894520457
G3_P149_M_1	f__Solirubrobacteraceae	11414335.652263982
G3_P149_M_1	f__Thermoleophilaceae	1958155.315200342
G3_P149_M_1	f__Rubrobacteraceae	1249225.2958463412
G3_P149_M_1	f__Burkholderiaceae_A	2273738.5126834344
G3_P149_M_1	f__Succinivibrionaceae	311228.2103586261
G3_P149_M_1	f__Enterobacteriaceae	875021.3520621881
G3_P149_M_1	f__Wohlfahrtiimonadaceae	147421.57521931635
G3_P149_M_1	f__Beijerinckiaceae	2127228.4588450347
G3_P149_M_1	f__Nanosyncoccaceae	47413.11993046849
G3_P149_M_1	f__Anaerovoracaceae	192852391.94430235
G3_P149_M_1	f__Peptostreptococcaceae	5469139.917783071
G3_P149_M_1	f__Lachnospiraceae	558750015.6504377
G3_P149_M_1	f__Anaerotignaceae	449833.1307730018
G3_P149_M_1	f__Peptoniphilaceae	754869.4550237441
G3_P149_M_1	f__Ruminococcaceae	16234170.439048106
G3_P149_M_1	f__Oscillospiraceae	32581063.975325905
G3_P149_M_1	f__JAAYXM01	789144.5389412763
G3_P149_M_1	f__Acutalibacteraceae	10017318.925812362
G3_P149_M_1	f__Butyricicoccaceae	1021181.9300778741
G3_P149_M_1	f__CAG-74	14822541.462190637
G3_P149_M_1	f__CAG-508	1174169.3204148605
G3_P149_M_1	f__CAG-465	406270.2803068181
G3_P149_M_1	f__Clostridiaceae	18499695.28880131
