sample	taxonomy	base_contribution
G3_P179_M_1	d__Archaea	15148944.609943312
G3_P179_M_1	d__Bacteria	69375487.42661141
G3_P179_M_1	p__Methanobacteriota	241150.5934843538
G3_P179_M_1	p__Thermoplasmatota	315472.9299128068
G3_P179_M_1	p__Halobacteriota	1370692.6663825403
G3_P179_M_1	p__Thermoproteota	3503330.039405627
G3_P179_M_1	p__Bacillota_A	977921.2908524314
G3_P179_M_1	p__Bacteroidota	1933234.061923221
G3_P179_M_1	p__Actinomycetota	7976808.523046706
G3_P179_M_1	p__Bacillota_B	497869.59505836
G3_P179_M_1	p__Desulfobacterota	556606.644049619
G3_P179_M_1	p__Patescibacteria	99939.12322453553
G3_P179_M_1	p__Pseudomonadota	1508671.0804609088
G3_P179_M_1	c__Nanoarchaeia	1636469.010669199
G3_P179_M_1	c__Clostridia	68698577.26149495
G3_P179_M_1	c__Bacteroidia	1004681.732837839
G3_P179_M_1	c__Actinomycetia	5339554.649141861
G3_P179_M_1	c__Coriobacteriia	387204.8688548788
G3_P179_M_1	c__Thermoleophilia	544060.8303427538
G3_P179_M_1	c__Gammaproteobacteria	1298969.5556499758
G3_P179_M_1	c__Alphaproteobacteria	1000484.6084105942
G3_P179_M_1	c__Bacilli	25239658.405079734
G3_P179_M_1	c__Negativicutes	1234801.2998006535
G3_P179_M_1	o__Peptostreptococcales	1324059.8760194152
G3_P179_M_1	o__Oscillospirales	3625183.9463525955
G3_P179_M_1	o__Lachnospirales	2706916.213908242
G3_P179_M_1	o__Clostridiales	411739.98311336664
G3_P179_M_1	o__Tissierellales	1010167.3168907313
G3_P179_M_1	o__TANB77	7583420.281935127
G3_P179_M_1	o__Christensenellales	4544531.199342334
G3_P179_M_1	o__Bacteroidales	61841523.464349456
G3_P179_M_1	o__Actinomycetales	1961422.8139394517
G3_P179_M_1	o__Mycobacteriales	5539445.438154379
G3_P179_M_1	o__Coriobacteriales	8702807.60420314
G3_P179_M_1	o__Solirubrobacterales	824889.6461517768
G3_P179_M_1	o__Saccharimonadales	51297.43026140796
G3_P179_M_1	o__Burkholderiales	463161.72025164607
G3_P179_M_1	o__Erysipelotrichales	2485126.622075659
G3_P179_M_1	o__Lactobacillales	2370365.8595023556
G3_P179_M_1	o__Acholeplasmatales	94120.5535506338
G3_P179_M_1	f__Methanobacteriaceae	892870.2732019133
G3_P179_M_1	f__Peptostreptococcaceae	8500945.741771512
G3_P179_M_1	f__Anaerovoracaceae	45422988.80121599
G3_P179_M_1	f__Ruminococcaceae	9531029.096473403
G3_P179_M_1	f__Oscillospiraceae	15535175.017601302
G3_P179_M_1	f__Butyricicoccaceae	1385889.7622485433
G3_P179_M_1	f__Acutalibacteraceae	2374806.3622919996
