sample	taxonomy	base_contribution
D1_P102_M_1	d__Archaea	10123473.06371905
D1_P102_M_1	d__Bacteria	64497594.30395322
D1_P102_M_1	p__Methanobacteriota	426877.41517271
D1_P102_M_1	p__Thermoproteota	1534803.6820037737
D1_P102_M_1	p__Actinomycetota	3910252.1714485367
D1_P102_M_1	p__Bacteroidota	599117.1642200599
D1_P102_M_1	p__Bacillota_B	305040.1278771603
D1_P102_M_1	p__Pseudomonadota	1239554.8667577747
D1_P102_M_1	p__Chloroflexota	1549492.8119578531
D1_P102_M_1	p__Spirochaetota	888992.1224984378
D1_P102_M_1	p__Desulfobacterota	418573.4937992064
D1_P102_M_1	p__Patescibacteria	393943.49799956236
D1_P102_M_1	c__Nanoarchaeia	1961361.5281955863
D1_P102_M_1	c__Actinomycetia	5732874.269767137
D1_P102_M_1	c__Acidimicrobiia	1155666.5609818427
D1_P102_M_1	c__Thermoleophilia	2477529.5715448256
D1_P102_M_1	c__Bacteroidia	3096409.7163662836
D1_P102_M_1	c__Alphaproteobacteria	376699.1276884721
D1_P102_M_1	c__Gammaproteobacteria	3391665.738679603
D1_P102_M_1	c__Bacilli	16238936.532831464
D1_P102_M_1	c__Clostridia	30052627.88562401
D1_P102_M_1	o__Actinomycetales	5075572.320473955
D1_P102_M_1	o__Propionibacteriales	1284372.4444257533
D1_P102_M_1	o__Mycobacteriales	4546376.682337031
D1_P102_M_1	o__Solirubrobacterales	2138251.1608915897
D1_P102_M_1	o__Gaiellales	177140.321924848
D1_P102_M_1	o__Coriobacteriales	23277760.218332227
D1_P102_M_1	o__Bacteroidales	10117525.291832179
D1_P102_M_1	o__Rhizobiales	1037069.0000316973
D1_P102_M_1	o__Burkholderiales	989613.7171200842
D1_P102_M_1	o__Enterobacterales_A	253162.97458051445
D1_P102_M_1	o__Saccharimonadales	154319.43253606986
D1_P102_M_1	o__Bacillales	7909338.317693342
D1_P102_M_1	o__Lactobacillales	2375525.6222516606
D1_P102_M_1	o__Erysipelotrichales	1327493.1117637248
D1_P102_M_1	o__RFN20	527850.5347815874
D1_P102_M_1	o__Mycoplasmatales	160007.06897642446
D1_P102_M_1	o__Peptostreptococcales	1310877.992494127
D1_P102_M_1	o__Lachnospirales	2999155.5369073558
D1_P102_M_1	o__TANB77	2537361.708644881
D1_P102_M_1	o__Tissierellales	267887.4467729858
D1_P102_M_1	o__Oscillospirales	2700900.3488214444
D1_P102_M_1	o__Eubacteriales	432606.4936465445
D1_P102_M_1	o__Christensenellales	1381339.4928022989
D1_P102_M_1	o__Campylobacterales	128090.0497994201
D1_P102_M_1	f__Methanobacteriaceae	847400.8123046148
D1_P102_M_1	f__Micrococcaceae	66718628.68229961
D1_P102_M_1	f__Actinomycetaceae	2304345.4638716443
D1_P102_M_1	f__Microbacteriaceae	1546089.7229833188
D1_P102_M_1	f__Propionibacteriaceae	2200353.9931669305
D1_P102_M_1	f__Solirubrobacteraceae	2105241.8515077075
D1_P102_M_1	f__70-9	1307009.1580968485
D1_P102_M_1	f__Eggerthellaceae	38687957.97704728
D1_P102_M_1	f__Coriobacteriaceae	15475236.100895729
D1_P102_M_1	f__Atopobiaceae	2568563.365013412
D1_P102_M_1	f__Bacteroidaceae	29139105.111040268
D1_P102_M_1	f__UBA932	244217.6943665802
D1_P102_M_1	f__Tannerellaceae	238209.60172081797
D1_P102_M_1	f__Paludibacteraceae	1596771.0311294985
D1_P102_M_1	f__Muribaculaceae	794089.9211358879
D1_P102_M_1	f__Burkholderiaceae_A	1027446.7051023064
D1_P102_M_1	f__Succinivibrionaceae	647809.9117688299
D1_P102_M_1	f__Desulfovibrionaceae	210334.13111891027
D1_P102_M_1	f__DSM-1321	6759574.176054953
D1_P102_M_1	f__Planococcaceae	4080052.3324992363
D1_P102_M_1	f__Enterococcaceae	923287.9559414254
D1_P102_M_1	f__Streptococcaceae	840539.6783083902
D1_P102_M_1	f__Erysipelotrichaceae	43693385.951615
D1_P102_M_1	f__Coprobacillaceae	1443311.504323369
D1_P102_M_1	f__CAG-826	809487.2791967471
D1_P102_M_1	f__Anaeroplasmataceae	2096611.8258107994
D1_P102_M_1	f__UBA660	5729036.4126761835
D1_P102_M_1	f__Anaerovoracaceae	16337115.8217889
D1_P102_M_1	f__Peptostreptococcaceae	5092229.141976653
D1_P102_M_1	f__Lachnospiraceae	211534238.45659754
D1_P102_M_1	f__CAG-465	1754759.9418569594
D1_P102_M_1	f__CAG-508	1651177.6506283428
D1_P102_M_1	f__Peptoniphilaceae	1065044.5716107027
D1_P102_M_1	f__Ruminococcaceae	1905070.6296431802
D1_P102_M_1	f__Butyricicoccaceae	271689.5722422414
D1_P102_M_1	f__Oscillospiraceae	3677518.7414929154
D1_P102_M_1	f__Eubacteriaceae	1273010.8650026429
D1_P102_M_1	f__Clostridiaceae	7482706.450235481
D1_P102_M_1	f__Helicobacteraceae	2141419.756904515
D1_P102_M_1	f__Acidaminococcaceae	221203.6857025833
D1_P102_M_1	g__Methanobrevibacter	1773559.6321843923
D1_P102_M_1	g__Methanobrevibacter_A	4162810.9711590735
D1_P102_M_1	g__Arthrobacter_B	138221938.23479274
D1_P102_M_1	g__Arthrobacter	1726682.5860358085
D1_P102_M_1	g__Arthrobacter_F	4002498.6525753764
D1_P102_M_1	g__Pauljensenia	2913740.3985508424
D1_P102_M_1	g__Leucobacter	1557730.3240745342
D1_P102_M_1	g__UBA9715	1789514.8883126988
D1_P102_M_1	g__Slackia_A	288194324.24422437
D1_P102_M_1	g__CAAEEV01	957440.6008932424
D1_P102_M_1	g__Collinsella	94996480.83287895
D1_P102_M_1	g__Phocaeicola	64087498.80195011
D1_P102_M_1	g__Bacteroides	51111629.384063065
D1_P102_M_1	g__UBA4372	4885501.619150782
D1_P102_M_1	g__Paraprevotella	1859679.1501751065
D1_P102_M_1	g__Prevotella	2396355.8651856594
D1_P102_M_1	g__Alloprevotella	19519576.792279843
D1_P102_M_1	g__Mediterranea	5139778.808851496
D1_P102_M_1	g__Cryptobacteroides	8431020.19411576
D1_P102_M_1	g__Parabacteroides	12285492.064183816
D1_P102_M_1	g__Aphodosoma	2174523.466676733
D1_P102_M_1	g__Limisoma	760972.4117218853
D1_P102_M_1	g__Odoribacter	2851566.990089838
D1_P102_M_1	g__UMGS1590	1004920.921847542
D1_P102_M_1	g__Sutterella	3941689.156025697
D1_P102_M_1	g__Anaerobiospirillum	2232504.685758306
D1_P102_M_1	g__Anaerobiospirillum_A	1111182.7094692197
D1_P102_M_1	g__Peribacillus	121537935.77561553
D1_P102_M_1	g__Psychrobacillus	37649875.133863226
D1_P102_M_1	g__Solibacillus	482166.99953426886
D1_P102_M_1	g__Streptococcus	4771217.631458484
D1_P102_M_1	g__Faecalitalea	50794305.37250477
D1_P102_M_1	g__UBA636	992721.9757822452
D1_P102_M_1	g__JALEVB01	2811243.43771855
D1_P102_M_1	g__Holdemanella	5988112.0236027455
D1_P102_M_1	g__Faecalicoccus	6538170.462397612
D1_P102_M_1	g__Floccifex	3986715.178061524
D1_P102_M_1	g__JAHHTG01	7597841.674109153
D1_P102_M_1	g__Allobaculum	3582346.343850928
D1_P102_M_1	g__Longicatena	1485527.1792411997
D1_P102_M_1	g__Dubosiella	1093199.7383952427
D1_P102_M_1	g__Amedibacillus	2768857.243549616
D1_P102_M_1	g__Fimiplasma	1268457.7445659544
D1_P102_M_1	g__Onthovivens	7720354.378366227
D1_P102_M_1	g__Enteromonas	2911787.28730735
D1_P102_M_1	g__CALUXS01	8075857.735491577
D1_P102_M_1	g__Anaeroplasma	1556638.4464366427
