sample	taxonomy	base_contribution
D3_P265_M_1	d__Archaea	5548776.473069375
D3_P265_M_1	d__Bacteria	14241437.192050865
D3_P265_M_1	p__Halobacteriota	640455.7302264574
D3_P265_M_1	p__Actinomycetota	3393803.7714458997
D3_P265_M_1	p__Patescibacteria	290767.81995205797
D3_P265_M_1	p__Pseudomonadota	585345.353746727
D3_P265_M_1	c__Actinomycetia	12997432.504739236
D3_P265_M_1	c__Coriobacteriia	384405.4888589958
D3_P265_M_1	c__Gammaproteobacteria	1972703.5418850754
D3_P265_M_1	c__Alphaproteobacteria	1369815.0097762623
D3_P265_M_1	c__Bacilli	9705407.810941009
D3_P265_M_1	c__Clostridia	14755453.348134706
D3_P265_M_1	c__Bacteroidia	830744.0702446126
D3_P265_M_1	c__Negativicutes	1401103.140460199
D3_P265_M_1	c__Peptococcia	148713.74133398267
D3_P265_M_1	o__Actinomycetales	25941814.08242244
D3_P265_M_1	o__Propionibacteriales	1095494.143774907
D3_P265_M_1	o__Mycobacteriales	3686251.3640570524
D3_P265_M_1	o__Coriobacteriales	1867824.290337591
D3_P265_M_1	o__Burkholderiales	1065737.8492062446
D3_P265_M_1	o__Pseudomonadales	430117.3537122768
D3_P265_M_1	o__Bacillales	6667033.869888106
D3_P265_M_1	o__Lactobacillales	2466891.992338263
D3_P265_M_1	o__RFN20	485051.8427722695
D3_P265_M_1	o__Erysipelotrichales	349340.29256940127
D3_P265_M_1	o__Acholeplasmatales	176421.20337293544
D3_P265_M_1	o__Peptostreptococcales	615310.0781094882
D3_P265_M_1	o__Lachnospirales	1576875.591569847
D3_P265_M_1	o__Clostridiales	397726.0494651271
D3_P265_M_1	o__TANB77	1770252.3548685214
D3_P265_M_1	o__Tissierellales	267887.4467729858
D3_P265_M_1	o__Oscillospirales	1839406.2720421907
D3_P265_M_1	o__Bacteroidales	3453080.304379583
D3_P265_M_1	o__Campylobacterales	128090.0497994201
D3_P265_M_1	o__Fusobacteriales	423089.5339324391
D3_P265_M_1	f__Micrococcaceae	296555152.66371256
D3_P265_M_1	f__Microbacteriaceae	2334292.3268571678
D3_P265_M_1	f__Cellulomonadaceae	2153458.955702298
D3_P265_M_1	f__Dermatophilaceae	1324007.2102229446
D3_P265_M_1	f__Nocardioidaceae	1251525.9149580493
D3_P265_M_1	f__Mycobacteriaceae	1921323.1764858766
D3_P265_M_1	f__Atopobiaceae	2363987.5217822557
D3_P265_M_1	f__Eggerthellaceae	1441939.0528400438
D3_P265_M_1	f__Pasteurellaceae	1527331.5017097504
D3_P265_M_1	f__DSM-1321	2019093.5850553755
D3_P265_M_1	f__Planococcaceae	4789626.651194756
D3_P265_M_1	f__Streptococcaceae	136303.7316175768
D3_P265_M_1	f__CAG-826	315562.83765296923
D3_P265_M_1	f__Erysipelotrichaceae	6749750.661938464
D3_P265_M_1	f__Anaeroplasmataceae	1172681.1907077355
D3_P265_M_1	f__Anaerovoracaceae	4334781.398047987
D3_P265_M_1	f__Peptostreptococcaceae	2042812.853467378
D3_P265_M_1	f__Lachnospiraceae	72610534.71604452
D3_P265_M_1	f__CAG-274	155176.27901582434
D3_P265_M_1	f__Clostridiaceae	39396449.46048981
D3_P265_M_1	f__CAG-508	884559.455693755
D3_P265_M_1	f__CAG-465	1063909.5710471328
D3_P265_M_1	f__Peptoniphilaceae	1401374.436329872
D3_P265_M_1	f__Acutalibacteraceae	2553201.513866678
D3_P265_M_1	f__Porphyromonadaceae	597048.9021203541
D3_P265_M_1	f__Bacteroidaceae	5991217.873297999
D3_P265_M_1	f__Selenomonadaceae	1016351.0097428425
D3_P265_M_1	f__Helicobacteraceae	308509.6259947183
D3_P265_M_1	f__Fusobacteriaceae	561106.8559946681
D3_P265_M_1	g__Arthrobacter_B	951117331.9829872
D3_P265_M_1	g__Kocuria	41563049.20269912
D3_P265_M_1	g__Arthrobacter	16721557.675294146
D3_P265_M_1	g__Arthrobacter_F	6185679.73579831
D3_P265_M_1	g__Arthrobacter_D	1726760.7658484513
D3_P265_M_1	g__Specibacter	3122968.736556726
D3_P265_M_1	g__Microbacterium	4082664.3743350473
D3_P265_M_1	g__Cellulomonas	2068956.8405231026
D3_P265_M_1	g__Aeromicrobium	1303836.1342608682
D3_P265_M_1	g__Rhodococcus	1113972.0018132841
D3_P265_M_1	g__Slackia_A	3259368.6892069303
D3_P265_M_1	g__Peribacillus	30681400.725114673
D3_P265_M_1	g__Sporosarcina	22643085.205172986
D3_P265_M_1	g__Psychrobacillus	50146768.14869732
D3_P265_M_1	g__Solibacillus	2089390.3313151654
D3_P265_M_1	g__Lysinibacillus	1815853.6071184594
D3_P265_M_1	g__Streptococcus	1412935.693436203
D3_P265_M_1	g__Faecalitalea	1442678.4957871176
D3_P265_M_1	g__JALEVB01	810935.6070341972
D3_P265_M_1	g__Amedibacillus	1151844.6133166403
D3_P265_M_1	g__CALUXS01	3832331.6748870416
D3_P265_M_1	g__Lentihominibacter	11133551.066415008
