sample	taxonomy	base_contribution
G3_P179_M_1	d__Archaea	12976135.576519607
G3_P179_M_1	d__Bacteria	65648749.735181354
G3_P179_M_1	p__Methanobacteriota	223602.45556665765
G3_P179_M_1	p__Thermoplasmatota	327709.04255691776
G3_P179_M_1	p__Halobacteriota	1280911.4604529147
G3_P179_M_1	p__Thermoproteota	3462231.5617294433
G3_P179_M_1	p__Bacillota_A	954219.7657816747
G3_P179_M_1	p__Bacteroidota	2022020.4292427022
G3_P179_M_1	p__Actinomycetota	6529383.3428904805
G3_P179_M_1	p__Bacillota_B	471425.6521737933
G3_P179_M_1	p__Desulfobacterota	570782.0369989178
G3_P179_M_1	p__Patescibacteria	103175.67804750444
G3_P179_M_1	p__Pseudomonadota	1377283.1852864167
G3_P179_M_1	c__Nanoarchaeia	1661388.5885892024
G3_P179_M_1	c__Clostridia	67044446.24440926
G3_P179_M_1	c__Bacteroidia	1057310.6348567798
G3_P179_M_1	c__Actinomycetia	4507527.097603169
G3_P179_M_1	c__Coriobacteriia	384405.4888589958
G3_P179_M_1	c__Thermoleophilia	526475.0339532755
G3_P179_M_1	c__Gammaproteobacteria	1142091.5242492543
G3_P179_M_1	c__Alphaproteobacteria	958870.5068433837
G3_P179_M_1	c__Bacilli	24019528.828194782
G3_P179_M_1	c__Negativicutes	1318685.3086684225
G3_P179_M_1	o__Peptostreptococcales	1391135.8287692775
G3_P179_M_1	o__Oscillospirales	3469259.930813752
G3_P179_M_1	o__Lachnospirales	2566287.7274568095
G3_P179_M_1	o__Clostridiales	397726.0494651271
G3_P179_M_1	o__Tissierellales	1047196.3828398535
G3_P179_M_1	o__TANB77	7095761.522431323
G3_P179_M_1	o__Christensenellales	4484040.507404385
G3_P179_M_1	o__Bacteroidales	68440051.63280334
G3_P179_M_1	o__Actinomycetales	1924073.1672384928
G3_P179_M_1	o__Mycobacteriales	5652252.091554147
G3_P179_M_1	o__Coriobacteriales	8848817.575474337
G3_P179_M_1	o__Solirubrobacterales	780631.3761985169
G3_P179_M_1	o__Saccharimonadales	54465.68207155407
G3_P179_M_1	o__Burkholderiales	418682.7264738818
G3_P179_M_1	o__Erysipelotrichales	2491960.7536617294
G3_P179_M_1	o__Lactobacillales	2398367.2147733113
G3_P179_M_1	o__Acholeplasmatales	96229.74729432842
G3_P179_M_1	f__Methanobacteriaceae	870303.5369614962
G3_P179_M_1	f__Peptostreptococcaceae	8467311.247705365
G3_P179_M_1	f__Anaerovoracaceae	59968106.47651312
G3_P179_M_1	f__Ruminococcaceae	8561058.138149599
G3_P179_M_1	f__Oscillospiraceae	14830255.317000842
G3_P179_M_1	f__Butyricicoccaceae	1407845.965255251
G3_P179_M_1	f__Acutalibacteraceae	2643580.3285168256
G3_P179_M_1	f__Lachnospiraceae	874443294.5610723
G3_P179_M_1	f__CAG-274	982783.1004335543
G3_P179_M_1	f__Clostridiaceae	39807998.315252766
G3_P179_M_1	f__Peptoniphilaceae	7305832.061399734
G3_P179_M_1	f__CAG-465	3841128.061702635
G3_P179_M_1	f__CAG-508	1267868.5531610488
