sample	taxonomy	base_contribution
D3_P191_M_1	d__Archaea	13237049.83073917
D3_P191_M_1	d__Bacteria	29699810.12568575
D3_P191_M_1	p__Methanobacteriota	1158667.2697544985
D3_P191_M_1	p__Thermoproteota	1481264.0186780607
D3_P191_M_1	p__Thermoplasmatota	225299.96675788096
D3_P191_M_1	p__Bacillota_A	154738.3403970283
D3_P191_M_1	p__Actinomycetota	5717821.571457766
D3_P191_M_1	p__Chloroflexota	4837440.9739172
D3_P191_M_1	p__Patescibacteria	806646.2101895801
D3_P191_M_1	p__Planctomycetota	568831.3926552474
D3_P191_M_1	p__Pseudomonadota	1790468.1408723416
D3_P191_M_1	p__Verrucomicrobiota	2752595.081907387
D3_P191_M_1	p__Bacillota_B	526887.4936060043
D3_P191_M_1	c__Thermoplasmata	662857.1445290226
D3_P191_M_1	c__Nanoarchaeia	646095.5622291344
D3_P191_M_1	c__Clostridia	48780703.289025754
D3_P191_M_1	c__Coriobacteriia	135672.52547964556
D3_P191_M_1	c__Actinomycetia	12428521.317663107
D3_P191_M_1	c__Thermoleophilia	1424579.5036382747
D3_P191_M_1	c__Acidimicrobiia	577833.2804909213
D3_P191_M_1	c__Anaerolineae	1322345.8140584405
D3_P191_M_1	c__Limnocylindria	516922.57557224674
D3_P191_M_1	c__Chloroflexia	291018.5911088534
D3_P191_M_1	c__Saccharimonadia	126506.98436814833
D3_P191_M_1	c__JAEDAM01	76887.95908401819
D3_P191_M_1	c__Planctomycetia	1104599.3019977903
D3_P191_M_1	c__Alphaproteobacteria	5205297.037149796
D3_P191_M_1	c__Gammaproteobacteria	4118451.254110947
D3_P191_M_1	c__Bacilli	22853795.487774495
D3_P191_M_1	c__Negativicutes	879123.5391122816
D3_P191_M_1	c__Bacteroidia	1623727.0463871974
D3_P191_M_1	c__Spirochaetia	826200.4053988575
D3_P191_M_1	o__Methanobacteriales	109199.09034751603
D3_P191_M_1	o__Peptostreptococcales	2809024.2696302724
D3_P191_M_1	o__Lachnospirales	1824228.6255415874
D3_P191_M_1	o__Clostridiales	216941.48152643297
D3_P191_M_1	o__Tissierellales	1631678.0848900042
D3_P191_M_1	o__TANB77	590084.1182895072
D3_P191_M_1	o__Christensenellales	2082634.9276096197
D3_P191_M_1	o__Oscillospirales	3678812.5440843813
D3_P191_M_1	o__Saccharofermentanales	481956.0441037406
