sample	taxonomy	base_contribution
G3_P301_M_1	d__Archaea	4000685.2313666344
G3_P301_M_1	d__Bacteria	83573884.30716224
G3_P301_M_1	p__Thermoproteota	2587750.3940761304
G3_P301_M_1	p__Bacteroidota	374448.22763753746
G3_P301_M_1	p__Pseudomonadota	2685702.2113085124
G3_P301_M_1	p__Actinomycetota	1549345.2000079106
G3_P301_M_1	p__Bacillota_B	2246204.5780045446
G3_P301_M_1	p__Chloroflexota	4308345.867395006
G3_P301_M_1	p__Planctomycetota	310271.66872104397
G3_P301_M_1	p__Verrucomicrobiota	262151.91256260825
G3_P301_M_1	p__Patescibacteria	525257.9973327499
G3_P301_M_1	c__Nitrososphaeria	301286.35856604244
G3_P301_M_1	c__Nanoarchaeia	773007.1905241428
G3_P301_M_1	c__Bacteroidia	11517133.701118493
G3_P301_M_1	c__Gammaproteobacteria	8375337.844494531
G3_P301_M_1	c__Alphaproteobacteria	2739630.0195525247
G3_P301_M_1	c__Thermoleophilia	1765239.819725688
G3_P301_M_1	c__Coriobacteriia	904483.503197637
G3_P301_M_1	c__Actinomycetia	10853074.953452291
G3_P301_M_1	c__Acidimicrobiia	951725.4031615175
G3_P301_M_1	c__Chloroflexia	1115571.2659172714
G3_P301_M_1	c__Limnocylindria	699365.8375389221
G3_P301_M_1	c__Clostridia	45504579.90578605
G3_P301_M_1	c__Bacilli	19817466.787144907
G3_P301_M_1	c__Negativicutes	796705.7073205052
G3_P301_M_1	o__Nitrososphaerales	97887.83656403353
G3_P301_M_1	o__Bacteroidales	257219951.8732351
G3_P301_M_1	o__Burkholderiales	1522482.6417232065
G3_P301_M_1	o__Enterobacterales_A	216996.83535472665
G3_P301_M_1	o__Rhizobiales	5636244.565389659
G3_P301_M_1	o__Solirubrobacterales	2104310.666274263
G3_P301_M_1	o__Coriobacteriales	3151953.489944685
G3_P301_M_1	o__Actinomycetales	6866950.786523586
G3_P301_M_1	o__Mycobacteriales	13762005.092479663
G3_P301_M_1	o__Propionibacteriales	1057718.483644738
G3_P301_M_1	o__Acidimicrobiales	4352478.33812735
G3_P301_M_1	o__Chloroflexales	1325008.4541221547
G3_P301_M_1	o__Peptostreptococcales	829330.9748432232
G3_P301_M_1	o__Lachnospirales	2813640.7614285504
G3_P301_M_1	o__TANB77	9736387.951776868
G3_P301_M_1	o__Oscillospirales	8638224.391489275
G3_P301_M_1	o__Christensenellales	1360088.1159899556
G3_P301_M_1	o__Tissierellales	194827.23401671692
G3_P301_M_1	o__Erysipelotrichales	1723412.1100090465
G3_P301_M_1	o__Lactobacillales	2832357.472684672
G3_P301_M_1	o__Acholeplasmatales	224536.07702009968
G3_P301_M_1	o__Bacillales	2153327.7095290776
G3_P301_M_1	o__RFN20	485051.8427722695
G3_P301_M_1	o__Mycoplasmatales	216480.15214457427
G3_P301_M_1	o__Fusobacteriales	244946.5722766753
G3_P301_M_1	f__Nitrososphaeraceae	1161640.1203397622
G3_P301_M_1	f__Bacteroidaceae	764424935.0157946
G3_P301_M_1	f__UBA932	5483797.318958665
G3_P301_M_1	f__Muribaculaceae	9885050.397588123
G3_P301_M_1	f__Tannerellaceae	13458842.497226216
G3_P301_M_1	f__Paludibacteraceae	8481210.06698291
G3_P301_M_1	f__Dysgonomonadaceae	956497.5807905283
G3_P301_M_1	f__Burkholderiaceae_A	2976052.525123922
G3_P301_M_1	f__Enterobacteriaceae	13036511.93378471
G3_P301_M_1	f__Solirubrobacteraceae	12509994.848382337
G3_P301_M_1	f__70-9	3950072.122248254
G3_P301_M_1	f__Thermoleophilaceae	2345531.0605879882
G3_P301_M_1	f__Gaiellaceae	5022235.297603438
G3_P301_M_1	f__Eggerthellaceae	5001760.4476425
G3_P301_M_1	f__Coriobacteriaceae	627071.7956947618
G3_P301_M_1	f__Micrococcaceae	3481284.014084487
G3_P301_M_1	f__Microbacteriaceae	1546089.7229833188
G3_P301_M_1	f__Kineosporiaceae	1559968.0910168467
G3_P301_M_1	f__Mycobacteriaceae	4371010.226505369
G3_P301_M_1	f__Geodermatophilaceae	2851211.3946019476
G3_P301_M_1	f__Micromonosporaceae	8842663.216153521
G3_P301_M_1	f__Pseudonocardiaceae	6240396.804699429
G3_P301_M_1	f__Propionibacteriaceae	4575339.255632824
G3_P301_M_1	f__Nocardioidaceae	3496910.6447357256
G3_P301_M_1	f__JACDCH01	1110489.1489633294
G3_P301_M_1	f__Rubrobacteraceae	1664516.4112221627
G3_P301_M_1	f__CSP1-4	1972371.5103916114
G3_P301_M_1	f__Peptostreptococcaceae	4381685.540770608
G3_P301_M_1	f__Anaerovoracaceae	37486752.835583985
G3_P301_M_1	f__Lachnospiraceae	152726439.859884
G3_P301_M_1	f__Anaerotignaceae	140474.1199440777
G3_P301_M_1	f__CAG-465	4804480.6772355
G3_P301_M_1	f__CAG-508	3685664.3987239795
G3_P301_M_1	f__Butyricicoccaceae	2000623.213783778
G3_P301_M_1	f__Oscillospiraceae	8749129.554924322
G3_P301_M_1	f__Ruminococcaceae	4445164.802500753
G3_P301_M_1	f__Acutalibacteraceae	751007.140212
G3_P301_M_1	f__Clostridiaceae	4863759.192653063
G3_P301_M_1	f__Erysipelotrichaceae	46594087.083647996
G3_P301_M_1	f__Coprobacillaceae	15218073.931549907
G3_P301_M_1	f__Streptococcaceae	522497.6378673777
G3_P301_M_1	f__Anaeroplasmataceae	972797.2472999999
G3_P301_M_1	f__DSM-1321	263360.03283330984
G3_P301_M_1	f__Planococcaceae	537207.897252
G3_P301_M_1	f__Mycoplasmoidaceae	126288.15858046271
G3_P301_M_1	f__UBA660	1127863.99175728
G3_P301_M_1	f__Acidaminococcaceae	1990833.1713232496
G3_P301_M_1	f__Selenomonadaceae	205214.217984
G3_P301_M_1	f__Fusobacteriaceae	1902884.120329744
G3_P301_M_1	g__Phocaeicola	2734328382.7203884
G3_P301_M_1	g__Bacteroides	960335932.1924075
G3_P301_M_1	g__Prevotella	229783901.2950249
G3_P301_M_1	g__UBA4372	127996407.91590251
G3_P301_M_1	g__Paraprevotella	28907707.041720003
G3_P301_M_1	g__Alloprevotella	1187088517.233835
G3_P301_M_1	g__Mediterranea	203037631.6719553
G3_P301_M_1	g__Bacteroides_H	4807474.845389305
G3_P301_M_1	g__OM05-12	6296404.195120001
G3_P301_M_1	g__Bacteroides_G	2430575.50409549
G3_P301_M_1	g__Phocaeicola_A	11597632.75834261
G3_P301_M_1	g__UBA2918	2087563.1071518403
G3_P301_M_1	g__Bacteroides_I	2184175.759320846
G3_P301_M_1	g__HGM04593	1236540.2354014462
G3_P301_M_1	g__Cryptobacteroides	154709220.80409718
G3_P301_M_1	g__Limisoma	14996825.51048
G3_P301_M_1	g__CAG-485	1519004.0741132472
G3_P301_M_1	g__Parabacteroides	52523512.59733026
G3_P301_M_1	g__RF16	836692.0036134854
G3_P301_M_1	g__Aphodosoma	8758500.408224
G3_P301_M_1	g__Dysgonomonas	2792261.3736448125
G3_P301_M_1	g__Odoribacter	3569279.283975
G3_P301_M_1	g__Sutterella	48293549.18722675
G3_P301_M_1	g__Aphodousia	3666166.938
G3_P301_M_1	g__Klebsiella	841508.9445505195
G3_P301_M_1	g__Citrobacter	754913.785471623
G3_P301_M_1	g__Morganella	3825505.430838912
G3_P301_M_1	g__Providencia	6377683.332266545
G3_P301_M_1	g__Proteus	3735413.4667181037
G3_P301_M_1	g__Baekduia	1889585.5252724849
G3_P301_M_1	g__Solirubrobacter	5762658.534308704
G3_P301_M_1	g__VAYN01	1862040.2801451911
G3_P301_M_1	g__AC-32	1821357.7916713008
G3_P301_M_1	g__Slackia_A	22992714.452543996
G3_P301_M_1	g__Collinsella	3294525.8812440005
G3_P301_M_1	g__Arthrobacter_B	9395380.47728
G3_P301_M_1	g__Mycobacterium	2647461.1955134934
G3_P301_M_1	g__Blastococcus	3787051.444136098
G3_P301_M_1	g__Actinoplanes	14815315.242369527
G3_P301_M_1	g__Pseudonocardia	2812276.0956290537
G3_P301_M_1	g__Friedmanniella	2240059.5808459832
G3_P301_M_1	g__Nocardioides	5730951.429167388
G3_P301_M_1	g__Rubrobacter_D	5455361.866254135
G3_P301_M_1	g__UMGS1590	6991866.7974000005
G3_P301_M_1	g__Peptacetobacter	7366218.38071097
G3_P301_M_1	g__Paraclostridium	3249241.1137762493
G3_P301_M_1	g__Peptostreptococcus	589796.967375
G3_P301_M_1	g__Lentihominibacter	5577542.9907185435
G3_P301_M_1	g__Emergencia	50106601.9092
G3_P301_M_1	g__Gallibacter	4126637.9319276274
G3_P301_M_1	g__Fimisoma	9945406.541983975
G3_P301_M_1	g__RGIG7179	2571873.7421083543
G3_P301_M_1	g__Eubacterium_B	10421417.315994918
G3_P301_M_1	g__Avanaerovorax	1155417.1787333766
G3_P301_M_1	g__CAG-238	1790080.545528
G3_P301_M_1	g__Muricomes	7256690.502682246
G3_P301_M_1	g__Eisenbergiella	454427.2730956551
G3_P301_M_1	g__CAG-317	2599087.897457206
G3_P301_M_1	g__Faecalimonas	113105670.45479639
G3_P301_M_1	g__Mediterraneibacter	6062908.1338176
G3_P301_M_1	g__14-2	2325532.9437825405
G3_P301_M_1	g__Schaedlerella	30354520.8044325
G3_P301_M_1	g__Blautia	66335784.89372999
G3_P301_M_1	g__Clostridium_Q	1259977.7041199272
G3_P301_M_1	g__Ruminococcus_B	2090097.3695975044
G3_P301_M_1	g__Avilachnospira	38022551.655232295
G3_P301_M_1	g__Bariatricus	24520871.068575
G3_P301_M_1	g__Copromonas	2184885.224374
G3_P301_M_1	g__Dorea_A	2375980.5117152054
G3_P301_M_1	g__Blautia_A	29661847.037542403
G3_P301_M_1	g__Oliverpabstia	4047426.00339
G3_P301_M_1	g__Roseburia	5435671.888449001
G3_P301_M_1	g__Scybalocola	1458568.54572
G3_P301_M_1	g__CAG-465	97973557.59438881
G3_P301_M_1	g__RGIG5057	856919.2048446687
G3_P301_M_1	g__CALXJE01	1349609.4739232392
G3_P301_M_1	g__UMGS1649	573651.3944731049
G3_P301_M_1	g__CAG-269	597357.759343026
G3_P301_M_1	g__Agathobaculum	742901.485346349
G3_P301_M_1	g__Butyricicoccus	2315698.0198816685
G3_P301_M_1	g__Faecousia	9549040.575282
G3_P301_M_1	g__Dysosmobacter	5689481.56092
G3_P301_M_1	g__Pelethomonas	1834550.7483
G3_P301_M_1	g__RGIG3102	17424452.77792
G3_P301_M_1	g__Negativibacillus	11367642.089888
G3_P301_M_1	g__UBA866	601570.5149716225
G3_P301_M_1	g__Avimicrobium	244764.16872600003
G3_P301_M_1	g__CAJFTX01	685311.2961203153
G3_P301_M_1	g__Clostridium	2860933.3903845004
G3_P301_M_1	g__Dwaynesavagella	10294789.09821
G3_P301_M_1	g__Longicatena	9533980.404085312
G3_P301_M_1	g__JALEVB01	49413009.65528375
G3_P301_M_1	g__JAHHTG01	28632607.04965209
G3_P301_M_1	g__Faecalicoccus	1188758.265890475
G3_P301_M_1	g__Faecalitalea	9611892.08266
G3_P301_M_1	g__UBA636	3780792.205638764
G3_P301_M_1	g__Holdemanella	1602277.0588
G3_P301_M_1	g__Amedibacillus	38980744.917416
G3_P301_M_1	g__Floccifex	2749458.743490706
G3_P301_M_1	g__CALVGN01	1130576.753646705
G3_P301_M_1	g__Holdemania	1568478.0828308593
