sample	taxonomy	base_contribution
CAMI2_marine0_R1	d__Archaea	747954.1954294143
CAMI2_marine0_R1	d__Bacteria	15261032.002567207
CAMI2_marine0_R1	p__Thermoproteota	3337305.680636113
CAMI2_marine0_R1	p__Halobacteriota	1251799.8363517122
CAMI2_marine0_R1	p__Bacteroidota	2134354.897533963
CAMI2_marine0_R1	p__Actinomycetota	2324017.800011866
CAMI2_marine0_R1	p__Campylobacterota	834700.4317584465
CAMI2_marine0_R1	p__Bacillota_A	154738.3403970283
CAMI2_marine0_R1	p__Desulfobacterota	1560137.567797042
CAMI2_marine0_R1	p__Bdellovibrionota	203750.23619644056
CAMI2_marine0_R1	p__Aquificota	173006.80512404873
CAMI2_marine0_R1	p__Bacillota_E	318313.2293105453
CAMI2_marine0_R1	c__Nitrososphaeria	301286.35856604244
CAMI2_marine0_R1	c__Thermoprotei	97169.11495547171
CAMI2_marine0_R1	c__Methanosarcinia	919184.7244649639
CAMI2_marine0_R1	c__Thermoplasmata	116974.79021100399
CAMI2_marine0_R1	c__Bacteroidia	1925815.7992034203
CAMI2_marine0_R1	c__Actinomycetia	3150892.7284216327
CAMI2_marine0_R1	c__Campylobacteria	358504.8228766557
CAMI2_marine0_R1	c__Clostridia	877072.4018122029
CAMI2_marine0_R1	c__Alphaproteobacteria	1541041.885998295
CAMI2_marine0_R1	c__Bacilli	3090548.8559979745
CAMI2_marine0_R1	c__Thermotogae	741996.2754809146
CAMI2_marine0_R1	c__Cyanobacteriia	5989125.172338577
CAMI2_marine0_R1	o__Sulfolobales	1305537.584794658
CAMI2_marine0_R1	o__Methanosarcinales	124049.56111044285
CAMI2_marine0_R1	o__Halobacteriales	989297.3932062243
CAMI2_marine0_R1	o__Methanomicrobiales	122858.3039695036
CAMI2_marine0_R1	o__Methanococcales	531073.6228125275
CAMI2_marine0_R1	o__Nanosalinales	10011.353686931332
CAMI2_marine0_R1	o__Cytophagales	2839286.9606066938
CAMI2_marine0_R1	o__Chlorobiales	320466.04651809117
CAMI2_marine0_R1	o__Rhodothermales	657581.5362252909
CAMI2_marine0_R1	o__Mycobacteriales	1843125.6820285262
CAMI2_marine0_R1	o__Actinomycetales	3018804.452046601
CAMI2_marine0_R1	o__Campylobacterales	1088765.4232950709
CAMI2_marine0_R1	o__Desulfobacterales	1064283.9158600788
CAMI2_marine0_R1	o__Caulobacterales	1345325.0830254473
CAMI2_marine0_R1	o__Rhizobiales	2840667.2609563884
CAMI2_marine0_R1	o__Rhodospirillales_A	398067.67052038317
CAMI2_marine0_R1	o__Pseudomonadales	8406839.1861945
CAMI2_marine0_R1	o__Chromatiales	669818.837700367
CAMI2_marine0_R1	o__Methylococcales	1740656.3886534814
CAMI2_marine0_R1	o__Nitrosococcales	410951.56187968253
CAMI2_marine0_R1	o__Burkholderiales	1294110.2454647257
CAMI2_marine0_R1	o__Bacillales	1656405.930406983
CAMI2_marine0_R1	o__Lactobacillales	388307.0728680599
CAMI2_marine0_R1	o__Thermotogales	333659.84047970135
CAMI2_marine0_R1	o__Cyanobacteriales	1762736.7902758268
CAMI2_marine0_R1	o__Deinococcales	204467.58420211167
CAMI2_marine0_R1	f__Nitrosopumilaceae	168422.4039179971
CAMI2_marine0_R1	f__Pyrodictiaceae	81193.16699282224
CAMI2_marine0_R1	f__Methanosarcinaceae	682609.7179209087
CAMI2_marine0_R1	f__Haloarculaceae	356164.6292961794
CAMI2_marine0_R1	f__Haloferacaceae	811915.4391546687
CAMI2_marine0_R1	f__Aciduliprofundaceae	237212.4452781573
CAMI2_marine0_R1	f__Methanococcaceae	83407.25640069436
CAMI2_marine0_R1	f__Thermococcaceae	763231.4327931922
CAMI2_marine0_R1	f__Cyclobacteriaceae	569473.5441862956
CAMI2_marine0_R1	f__Flavobacteriaceae	11321600.545758253
CAMI2_marine0_R1	f__Chlorobiaceae	1015287.5327632622
CAMI2_marine0_R1	f__Mycobacteriaceae	1633124.700012995
CAMI2_marine0_R1	f__Micromonosporaceae	810577.4614807394
CAMI2_marine0_R1	f__Dermatophilaceae	1324007.2102229446
CAMI2_marine0_R1	f__Cellulomonadaceae	453359.78014785214
CAMI2_marine0_R1	f__Microbacteriaceae	3759120.1107829716
CAMI2_marine0_R1	f__Micrococcaceae	610121.9406127452
CAMI2_marine0_R1	f__Desulfobacteraceae	289490.949963386
CAMI2_marine0_R1	f__Desulfovibrionaceae	1577505.983391827
CAMI2_marine0_R1	f__Hyphomonadaceae	1435210.1679391386
CAMI2_marine0_R1	f__Hyphomicrobiaceae	992448.3277928425
CAMI2_marine0_R1	f__Rhizobiaceae	1864925.8067008387
CAMI2_marine0_R1	f__Rhodobacteraceae	9090964.281524433
CAMI2_marine0_R1	f__Sphingomonadaceae	3275003.7183357473
CAMI2_marine0_R1	f__DSM-6294	226925.3997674552
CAMI2_marine0_R1	f__Moraxellaceae	972585.9799758316
CAMI2_marine0_R1	f__Oleiphilaceae	262279.79065388354
CAMI2_marine0_R1	f__Pseudomonadaceae	1789834.205907678
CAMI2_marine0_R1	f__Chromatiaceae	486837.36920681724
CAMI2_marine0_R1	f__Sedimenticolaceae	990686.4467641723
CAMI2_marine0_R1	f__Burkholderiaceae_B	1506936.7427900769
CAMI2_marine0_R1	f__Vibrionaceae	4432278.435155853
CAMI2_marine0_R1	f__Alteromonadaceae	8267277.286358724
CAMI2_marine0_R1	f__Psychromonadaceae	260189.4391408896
CAMI2_marine0_R1	f__Enterobacteriaceae	1015832.0987364708
CAMI2_marine0_R1	f__Nostocaceae	1218333.8543394282
CAMI2_marine0_R1	f__Cyanobiaceae	870942.5073410431
