sample	taxonomy	base_contribution
Novel_genomes_no_reference_R1	d__Archaea	1391542.6891710034
Novel_genomes_no_reference_R1	d__Bacteria	19832763.572301783
Novel_genomes_no_reference_R1	p__Actinomycetota	3578249.6285896986
Novel_genomes_no_reference_R1	p__Acidobacteriota	3899211.1735075484
Novel_genomes_no_reference_R1	p__Pseudomonadota	1583875.6630793791
Novel_genomes_no_reference_R1	p__Bacteroidota	224668.93658252244
Novel_genomes_no_reference_R1	p__Myxococcota	405762.61676544143
Novel_genomes_no_reference_R1	p__Cyanobacteriota	803562.3962967381
Novel_genomes_no_reference_R1	p__Desulfobacterota	4071578.530592281
Novel_genomes_no_reference_R1	p__Bacillota_A	722112.2551861323
Novel_genomes_no_reference_R1	p__Patescibacteria	1444459.4926650622
Novel_genomes_no_reference_R1	p__Planctomycetota	879103.0613762914
Novel_genomes_no_reference_R1	p__Bacillota_B	166385.5242966329
Novel_genomes_no_reference_R1	p__Nitrospirota	305525.5717440728
Novel_genomes_no_reference_R1	p__Spirochaetota	213358.10939962504
Novel_genomes_no_reference_R1	c__Actinomycetia	5251487.880702721
Novel_genomes_no_reference_R1	c__Thermoleophilia	185814.71786586192
Novel_genomes_no_reference_R1	c__Alphaproteobacteria	14177585.351184312
Novel_genomes_no_reference_R1	c__Gammaproteobacteria	9378994.032471148
Novel_genomes_no_reference_R1	c__Bacteroidia	1850293.6109993646
Novel_genomes_no_reference_R1	c__Cyanobacteriia	3835141.5577255804
Novel_genomes_no_reference_R1	c__Clostridia	1315608.6027183041
Novel_genomes_no_reference_R1	c__Paceibacteria	45765.9167859437
Novel_genomes_no_reference_R1	c__Planctomycetia	1104599.3019977903
Novel_genomes_no_reference_R1	c__Thermodesulfovibrionia	296616.20818572165
Novel_genomes_no_reference_R1	c__Bacilli	2304356.6031563845
Novel_genomes_no_reference_R1	c__Calditrichia	2407602.347129954
Novel_genomes_no_reference_R1	c__Binatia	282378.3738783139
Novel_genomes_no_reference_R1	o__Acidimicrobiales	3307883.5369767863
