sample	taxonomy	base_contribution
CAMI2_marine0_R1	d__Archaea	873196.539179038
CAMI2_marine0_R1	d__Bacteria	16127367.818611069
CAMI2_marine0_R1	p__Thermoproteota	3376921.2235507853
CAMI2_marine0_R1	p__Halobacteriota	1339540.5603283916
CAMI2_marine0_R1	p__Bacteroidota	2040635.9542522884
CAMI2_marine0_R1	p__Actinomycetota	2839203.033626794
CAMI2_marine0_R1	p__Campylobacterota	832745.061177101
CAMI2_marine0_R1	p__Bacillota_A	158581.83094904292
CAMI2_marine0_R1	p__Desulfobacterota	1521391.4937356254
CAMI2_marine0_R1	p__Bdellovibrionota	208630.92409721765
CAMI2_marine0_R1	p__Aquificota	176358.36085846522
CAMI2_marine0_R1	p__Bacillota_E	328846.2170135013
CAMI2_marine0_R1	c__Nitrososphaeria	283396.13261888636
CAMI2_marine0_R1	c__Thermoprotei	105108.79467600524
CAMI2_marine0_R1	c__Methanosarcinia	1042738.5130682332
CAMI2_marine0_R1	c__Thermoplasmata	116368.5576131866
CAMI2_marine0_R1	c__Bacteroidia	1829956.0133832067
CAMI2_marine0_R1	c__Actinomycetia	3732504.2207593587
CAMI2_marine0_R1	c__Campylobacteria	355669.7448248219
CAMI2_marine0_R1	c__Clostridia	898711.6686767328
CAMI2_marine0_R1	c__Alphaproteobacteria	1607921.6920884547
CAMI2_marine0_R1	c__Bacilli	3247540.6977190627
CAMI2_marine0_R1	c__Thermotogae	749102.1017469842
CAMI2_marine0_R1	c__Cyanobacteriia	4942065.714595333
CAMI2_marine0_R1	o__Sulfolobales	1330560.1258202535
CAMI2_marine0_R1	o__Methanosarcinales	144248.7480301366
CAMI2_marine0_R1	o__Halobacteriales	995025.9016195794
CAMI2_marine0_R1	o__Methanomicrobiales	122218.16812364751
CAMI2_marine0_R1	o__Methanococcales	524616.9020884783
CAMI2_marine0_R1	o__Nanosalinales	9741.929352528148
CAMI2_marine0_R1	o__Cytophagales	2929493.708655607
CAMI2_marine0_R1	o__Chlorobiales	288085.40411971026
CAMI2_marine0_R1	o__Rhodothermales	633509.0696525264
CAMI2_marine0_R1	o__Mycobacteriales	1806340.903745993
CAMI2_marine0_R1	o__Actinomycetales	3077404.759801554
CAMI2_marine0_R1	o__Campylobacterales	1069681.088096323
CAMI2_marine0_R1	o__Desulfobacterales	1044590.8273498253
CAMI2_marine0_R1	o__Caulobacterales	1429230.1086188508
CAMI2_marine0_R1	o__Rhizobiales	3327339.5668340484
CAMI2_marine0_R1	o__Rhodospirillales_A	417787.6228798468
CAMI2_marine0_R1	o__Pseudomonadales	9430249.761440584
CAMI2_marine0_R1	o__Chromatiales	716094.7622435488
CAMI2_marine0_R1	o__Methylococcales	1636796.0251899913
CAMI2_marine0_R1	o__Nitrosococcales	448977.7894244133
CAMI2_marine0_R1	o__Burkholderiales	1431590.771686906
CAMI2_marine0_R1	o__Bacillales	1738151.3622109734
