sample	taxonomy	base_contribution
CAMI2_strain0_R1	c__Gammaproteobacteria	1810684.8351484512
CAMI2_strain0_R1	o__Bacteroidales	530426.7905620286
CAMI2_strain0_R1	f__Enterobacteriaceae	4260973.540476742
CAMI2_strain0_R1	f__Bacteroidaceae	199593.0916034818
CAMI2_strain0_R1	f__Enterococcaceae	731670.3990008316
CAMI2_strain0_R1	f__Streptococcaceae	474441.613958116
CAMI2_strain0_R1	f__Lactobacillaceae	498285.4973230535
CAMI2_strain0_R1	g__Citrobacter	100655.17139621639
CAMI2_strain0_R1	g__Streptococcus	6184153.324894686
CAMI2_strain0_R1	g__Lactobacillus	56266.63441733047
CAMI2_strain0_R1	s__Citrobacter freundii	24070706.073926076
CAMI2_strain0_R1	s__Citrobacter freundii_A	8102813.853375949
CAMI2_strain0_R1	s__Escherichia fergusonii	244552608.2834928
CAMI2_strain0_R1	s__Escherichia coli	670946573.1384555
CAMI2_strain0_R1	s__Escherichia sp005843885	90806864.8223704
CAMI2_strain0_R1	s__Klebsiella pneumoniae	255950778.7631736
CAMI2_strain0_R1	s__Klebsiella africana	30309853.198720515
CAMI2_strain0_R1	s__Phocaeicola sartorii	31805915.396570962
CAMI2_strain0_R1	s__Parabacteroides goldsteinii	16515324.083626201
CAMI2_strain0_R1	s__Enterococcus_B faecium	88033021.66367447
CAMI2_strain0_R1	s__Enterococcus faecalis	2123531.3477113424
CAMI2_strain0_R1	s__Streptococcus pneumoniae	335090959.39490455
CAMI2_strain0_R1	s__Lactobacillus intestinalis	7482877.898346746
CAMI2_strain0_R1	s__Staphylococcus aureus	81217122.80491458
