sample	taxonomy	base_contribution
Novel_genomes_no_reference_R1	d__Archaea	1624551.7007982105
Novel_genomes_no_reference_R1	d__Bacteria	20958626.71254844
Novel_genomes_no_reference_R1	p__Actinomycetota	4371471.337488873
Novel_genomes_no_reference_R1	p__Acidobacteriota	3893014.4706633803
Novel_genomes_no_reference_R1	p__Pseudomonadota	1734971.7425300453
Novel_genomes_no_reference_R1	p__Bacteroidota	214803.78465813564
Novel_genomes_no_reference_R1	p__Myxococcota	433074.97803401796
Novel_genomes_no_reference_R1	p__Cyanobacteriota	644842.2712798533
Novel_genomes_no_reference_R1	p__Desulfobacterota	3970460.727553949
Novel_genomes_no_reference_R1	p__Bacillota_A	740048.5444288672
Novel_genomes_no_reference_R1	p__Patescibacteria	1399147.7251434976
Novel_genomes_no_reference_R1	p__Planctomycetota	871664.7604290769
Novel_genomes_no_reference_R1	p__Bacillota_B	175718.68060883292
Novel_genomes_no_reference_R1	p__Nitrospirota	341785.0915489164
Novel_genomes_no_reference_R1	p__Spirochaetota	190763.1461483022
Novel_genomes_no_reference_R1	c__Actinomycetia	6220840.367932265
Novel_genomes_no_reference_R1	c__Thermoleophilia	192021.4695327366
Novel_genomes_no_reference_R1	c__Alphaproteobacteria	14792879.567213783
Novel_genomes_no_reference_R1	c__Gammaproteobacteria	10667295.44185283
Novel_genomes_no_reference_R1	c__Bacteroidia	1758193.032466218
Novel_genomes_no_reference_R1	c__Cyanobacteriia	3164656.1154864854
Novel_genomes_no_reference_R1	c__Clostridia	1348067.503015099
Novel_genomes_no_reference_R1	c__Paceibacteria	46434.00701634523
Novel_genomes_no_reference_R1	c__Planctomycetia	1076283.6032327465
Novel_genomes_no_reference_R1	c__Thermodesulfovibrionia	308066.5026248028
Novel_genomes_no_reference_R1	c__Bacilli	2421411.923737898
Novel_genomes_no_reference_R1	c__Calditrichia	2449697.8338388996
Novel_genomes_no_reference_R1	c__Binatia	278318.7877175794
Novel_genomes_no_reference_R1	o__Acidimicrobiales	2906192.6356356503
Novel_genomes_no_reference_R1	o__Coriobacteriales	137775.31827234523
Novel_genomes_no_reference_R1	o__Rhizobiales	6020900.168556849
Novel_genomes_no_reference_R1	o__Sphingomonadales	619668.2547624176
Novel_genomes_no_reference_R1	o__Rickettsiales	353683.3126365959
Novel_genomes_no_reference_R1	o__Caulobacterales	214384.51629282758
Novel_genomes_no_reference_R1	o__Pseudomonadales	2500112.7274516895
Novel_genomes_no_reference_R1	o__Burkholderiales	5010567.700904171
Novel_genomes_no_reference_R1	o__Enterobacterales_A	527578.9346709844
Novel_genomes_no_reference_R1	o__Chromatiales	252739.32785066424
Novel_genomes_no_reference_R1	o__Cytophagales	6527117.561390564
Novel_genomes_no_reference_R1	o__Flavobacteriales	1690040.1150766844
Novel_genomes_no_reference_R1	o__Bacteroidales	717636.2460545093
Novel_genomes_no_reference_R1	o__Chitinophagales	1856461.2586358008
Novel_genomes_no_reference_R1	o__Desulfobulbales	613095.1616974539
Novel_genomes_no_reference_R1	o__Desulfobacterales	772088.8723890013
Novel_genomes_no_reference_R1	o__Clostridiales	411739.98311336664
Novel_genomes_no_reference_R1	o__Saccharimonadales	778011.0256313541
Novel_genomes_no_reference_R1	o__Brocadiales	210998.9147534063
Novel_genomes_no_reference_R1	o__Thermodesulfovibrionales	472443.12398585427
Novel_genomes_no_reference_R1	o__Bacillales	1216705.9535476814
Novel_genomes_no_reference_R1	o__Halobacteroidales	824622.2484579134
Novel_genomes_no_reference_R1	f__Microbacteriaceae	193857.5958312562
Novel_genomes_no_reference_R1	f__Micromonosporaceae	3046104.6364973304
Novel_genomes_no_reference_R1	f__UBA8190	243961.87882645128
Novel_genomes_no_reference_R1	f__Palsa-688	1337907.6254694122
Novel_genomes_no_reference_R1	f__Sphingomonadaceae	220057.33806644977
Novel_genomes_no_reference_R1	f__Midichloriaceae	511001.1384481561
Novel_genomes_no_reference_R1	f__Anaplasmataceae	75150.60261984194
Novel_genomes_no_reference_R1	f__Rhodobacteraceae	10768110.683769109
Novel_genomes_no_reference_R1	f__Acetobacteraceae	1689671.1879955549
Novel_genomes_no_reference_R1	f__Cellvibrionaceae	787069.6079832031
Novel_genomes_no_reference_R1	f__Rhodocyclaceae	1573118.3807721846
Novel_genomes_no_reference_R1	f__Burkholderiaceae	328801.57347675133
Novel_genomes_no_reference_R1	f__Neisseriaceae	849628.544136688
Novel_genomes_no_reference_R1	f__Alteromonadaceae	979611.5793503444
Novel_genomes_no_reference_R1	f__Sedimenticolaceae	408789.4578488972
Novel_genomes_no_reference_R1	f__Enterobacteriaceae	15179718.237948393
Novel_genomes_no_reference_R1	f__Cyclobacteriaceae	1958875.1945149319
Novel_genomes_no_reference_R1	f__Thermoflexibacteraceae	277593.9923095303
Novel_genomes_no_reference_R1	f__Hymenobacteraceae	2137229.727057977
Novel_genomes_no_reference_R1	f__Spirosomaceae	367215.5826907684
Novel_genomes_no_reference_R1	f__Flavobacteriaceae	2756646.6867318735
Novel_genomes_no_reference_R1	f__Chitinophagaceae	266091.42272953223
Novel_genomes_no_reference_R1	f__Saprospiraceae	587516.1687540936
Novel_genomes_no_reference_R1	f__Nannocystaceae	11630779.43535199
Novel_genomes_no_reference_R1	f__Leptolyngbyaceae	3551992.2335921503
Novel_genomes_no_reference_R1	f__Phormidesmiaceae	984520.9550344745
Novel_genomes_no_reference_R1	f__Nostocaceae	21758756.711177696
Novel_genomes_no_reference_R1	f__Phormidiaceae_A	3305787.771706112
Novel_genomes_no_reference_R1	f__Microcoleaceae	424868.2793074295
Novel_genomes_no_reference_R1	f__Coleofasciculaceae	5870940.349214107
Novel_genomes_no_reference_R1	f__Elainellaceae	2855120.908156767
Novel_genomes_no_reference_R1	f__Desulfocapsaceae	697997.502521743
Novel_genomes_no_reference_R1	f__Desulfolunaceae	630248.5812354608
Novel_genomes_no_reference_R1	f__Thermosediminibacteraceae	943615.7791670964
Novel_genomes_no_reference_R1	f__Absconditicoccaceae	132325.62681095896
Novel_genomes_no_reference_R1	f__Isosphaeraceae	12566688.50718618
Novel_genomes_no_reference_R1	f__Magnetobacteriaceae	3199706.547456256
Novel_genomes_no_reference_R1	f__Treponemataceae	666231.2543161147
Novel_genomes_no_reference_R1	f__JAJRVZ01	292738.0692152171
Novel_genomes_no_reference_R1	f__B22-G15	605684.0009330537
Novel_genomes_no_reference_R1	f__SKNC01	829797.9717013622
Novel_genomes_no_reference_R1	g__Actinoplanes	6294088.174862871
Novel_genomes_no_reference_R1	g__JAKAQB01	5642491.458414355
Novel_genomes_no_reference_R1	g__Thermohalobaculum	1237152.2796971435
Novel_genomes_no_reference_R1	g__JABDQX01	7950960.325370379
Novel_genomes_no_reference_R1	g__Hymenobacter	2160883.255748554
Novel_genomes_no_reference_R1	g__Aestuariivivens	74985.0730351338
Novel_genomes_no_reference_R1	g__Plesiocystis	9543954.883744515
Novel_genomes_no_reference_R1	g__Enhygromyxa	18387160.89430984
Novel_genomes_no_reference_R1	g__Ga0077550	26332362.088971857
Novel_genomes_no_reference_R1	g__Synechococcus_B	649477.821603011
Novel_genomes_no_reference_R1	g__Magnetomorum	15915152.198642053
Novel_genomes_no_reference_R1	g__Nanoperiomorbus	855395.8396026397
Novel_genomes_no_reference_R1	g__Nanogingivalis	1496878.1154204565
Novel_genomes_no_reference_R1	g__Saccharimonas	1545057.9258002623
Novel_genomes_no_reference_R1	g__JAGLYF01	8943799.295578409
Novel_genomes_no_reference_R1	g__JAAYUH01	2707515.3346512285
Novel_genomes_no_reference_R1	g__B22-G15	614206.1110419034
Novel_genomes_no_reference_R1	g__SKLX01	5454455.916589047
Novel_genomes_no_reference_R1	g__Methylomirabilis	1618398.3830702913
Novel_genomes_no_reference_R1	s__Herbiconiux sp000333435	14784660.601892136
Novel_genomes_no_reference_R1	s__Actinoplanes sp020216025	24339110.5015674
Novel_genomes_no_reference_R1	s__Actinoplanes regularis	10484725.261289688
Novel_genomes_no_reference_R1	s__Salsipaludibacter albus	12543648.578015376
Novel_genomes_no_reference_R1	s__Yinghuangia sp021165735	21983359.927933928
Novel_genomes_no_reference_R1	s__RHKX01 sp020636895	8097744.375401757
Novel_genomes_no_reference_R1	s__Aciditerrimonas ferrireducens	10906125.368836692
Novel_genomes_no_reference_R1	s__Iamia sp019443745	16431509.363366406
Novel_genomes_no_reference_R1	s__Anaerotardibacter muris	5608548.462099886
Novel_genomes_no_reference_R1	s__MFGW01 sp001780385	14245073.451716369
Novel_genomes_no_reference_R1	s__Aridibacter famidurans	10676447.673556017
Novel_genomes_no_reference_R1	s__JAIOSJ01 sp021107705	11509047.796750812
Novel_genomes_no_reference_R1	s__Hansschlegelia methanolivorans	17480648.644463014
Novel_genomes_no_reference_R1	s__Aquisediminimonas profunda	9666797.56195044
Novel_genomes_no_reference_R1	s__Pseudemcibacter aquimaris	10052637.709802363
Novel_genomes_no_reference_R1	s__Bandiella numerosa	3309356.1867467365
Novel_genomes_no_reference_R1	s__Anadelfobacter sociabilis	5201762.339694454
Novel_genomes_no_reference_R1	s__Cyrtobacter zanobii	1780217.8689595012
Novel_genomes_no_reference_R1	s__AB001-6 sp020002265	2592628.5126062366
Novel_genomes_no_reference_R1	s__Oceanicaulis sp024178355	9182218.66160232
Novel_genomes_no_reference_R1	s__Thermohalobaculum sp023487995	14850621.671331467
Novel_genomes_no_reference_R1	s__Carideicomes alvinocaridis	13081977.56686799
Novel_genomes_no_reference_R1	s__Sedimentimonas flavescens	10720878.821656052
Novel_genomes_no_reference_R1	s__Neotabrizicola shimadae	12250055.607810259
Novel_genomes_no_reference_R1	s__Mesobacterium pallidum	15085736.962612309
Novel_genomes_no_reference_R1	s__Gymnodinialimonas ceratoperidinii	8804907.0203784
Novel_genomes_no_reference_R1	s__Gluconacetobacter vanlangensis	10962915.49983356
Novel_genomes_no_reference_R1	s__Roseococcus rosea	11281881.510252617
Novel_genomes_no_reference_R1	s__Gromoviella agglomerans	1457738.2222229177
Novel_genomes_no_reference_R1	s__JAFAZJ01 sp022844045	13831681.403769732
Novel_genomes_no_reference_R1	s__Hydrogenosomobacter endosymbioticus	2292915.23710564
Novel_genomes_no_reference_R1	s__UBA4479 sp021555105	10406963.1644292
Novel_genomes_no_reference_R1	s__Marinibactrum halimedae	16453271.656122738
Novel_genomes_no_reference_R1	s__Sessilibacter corallicola	11523720.991513515
Novel_genomes_no_reference_R1	s__Sansalvadorimonas verongulae	13042560.183540557
Novel_genomes_no_reference_R1	s__Alkalimarinus sediminis	12123259.215540882
Novel_genomes_no_reference_R1	s__Larsenimonas salina	10545679.410373433
Novel_genomes_no_reference_R1	s__Azonexus limneticum_B	11224189.830339322
Novel_genomes_no_reference_R1	s__Azonexus australiensis_A	10603012.00995025
Novel_genomes_no_reference_R1	s__Georgfuchsia toluolica	8640909.784067959
Novel_genomes_no_reference_R1	s__Mycetohabitans cooleyia	3460473.3573357337
Novel_genomes_no_reference_R1	s__Wielerella bovis	4377851.658341658
Novel_genomes_no_reference_R1	s__Methyloradius palustris	8411578.814489571
Novel_genomes_no_reference_R1	s__JAIOJO01 sp019911985	8847587.314809306
Novel_genomes_no_reference_R1	s__Sideroxyarcus emersonii	6985908.919233204
Novel_genomes_no_reference_R1	s__Paraneptunicella aestuarii	14865629.31389918
Novel_genomes_no_reference_R1	s__Planctobacterium marinum	13408010.235905638
Novel_genomes_no_reference_R1	s__Echinimonas agarilytica	15552033.84737837
Novel_genomes_no_reference_R1	s__Vondammii sp022530855	5918073.237675914
Novel_genomes_no_reference_R1	s__JAKITT01 sp021647945	7754547.335477353
Novel_genomes_no_reference_R1	s__Schneideria nysicola	1499698.9756979311
Novel_genomes_no_reference_R1	s__Hartigia pinicola	5547675.387097854
Novel_genomes_no_reference_R1	s__Gillettellia cooleyia	4244421.363001397
Novel_genomes_no_reference_R1	s__Steffania adelgidicola	2273892.8385677133
Novel_genomes_no_reference_R1	s__Ecksteinia adelgidicola	1960916.0
Novel_genomes_no_reference_R1	s__JAHDCO01 sp020629835	11585615.156174947
Novel_genomes_no_reference_R1	s__Methylonatrum kenyense	8368079.122194514
Novel_genomes_no_reference_R1	s__Xanthovirga aplysinae	12322858.75504942
Novel_genomes_no_reference_R1	s__Tunicatimonas sp022458895	22114809.329057667
Novel_genomes_no_reference_R1	s__Ohtaekwangia sp021190955	21924253.96660602
Novel_genomes_no_reference_R1	s__Arthrospiribacter ruber	15828473.775561098
Novel_genomes_no_reference_R1	s__JAJNNC01 sp021730635	25161321.7356924
Novel_genomes_no_reference_R1	s__Rhodoflexus caldus	9670473.152684733
Novel_genomes_no_reference_R1	s__Spirosoma sp022702045	6070785.376000414
Novel_genomes_no_reference_R1	s__JAFIER01 sp020832465	14530121.400977816
Novel_genomes_no_reference_R1	s__Aestuariivivens marinum	6278337.747095423
Novel_genomes_no_reference_R1	s__Halomarinibacterium sedimenti	8578583.775615228
Novel_genomes_no_reference_R1	s__Sabulilitoribacter multivorans	8226658.38797773
Novel_genomes_no_reference_R1	s__Lutimonas saemankumensis	9996051.57842158
Novel_genomes_no_reference_R1	s__Aquaticitalea sp023156585	10031606.57767494
Novel_genomes_no_reference_R1	s__Avibacteroides avistercoris	7487554.6554084895
Novel_genomes_no_reference_R1	s__Sulfidibacterium hydrothermale	9085058.081429394
Novel_genomes_no_reference_R1	s__Parasegetibacter sp023721715	12625787.746707322
Novel_genomes_no_reference_R1	s__Membranicola marinus_A	15168596.60658544
Novel_genomes_no_reference_R1	s__Portibacter lacus	19378671.97
Novel_genomes_no_reference_R1	s__Leptolyngbya sp015206935	17593573.03578597
Novel_genomes_no_reference_R1	s__Leptolyngbya tanganyikae	16983105.069735516
Novel_genomes_no_reference_R1	s__Scytolyngbya sp019359045	16151611.601160116
Novel_genomes_no_reference_R1	s__Leptothermofonsia sichuanensis	18179114.692698475
Novel_genomes_no_reference_R1	s__Kovacikia minuta	17736304.659635667
Novel_genomes_no_reference_R1	s__Leptodesmis sichuanensis	17318065.21602704
Novel_genomes_no_reference_R1	s__Nodosilinea torsiva	19864632.346308462
Novel_genomes_no_reference_R1	s__JAKSDM01 sp022360135	18272494.504342318
Novel_genomes_no_reference_R1	s__Scytonematopsis contorta	34770210.11709712
