sample	taxonomy	base_contribution
Novel_genomes_placement_ani_R1	d__Archaea	1374148.4055563658
Novel_genomes_placement_ani_R1	d__Bacteria	19701202.951589998
Novel_genomes_placement_ani_R1	p__Actinomycetota	1475566.8571503912
Novel_genomes_placement_ani_R1	p__Acidobacteriota	2221069.6557954387
Novel_genomes_placement_ani_R1	p__Cyanobacteriota	803562.3962967381
Novel_genomes_placement_ani_R1	p__Myxococcota	1555423.3642675255
Novel_genomes_placement_ani_R1	p__Bacteroidota	224668.93658252244
Novel_genomes_placement_ani_R1	p__Desulfobacterota	6050289.59218853
Novel_genomes_placement_ani_R1	p__Pseudomonadota	1377283.1852864167
Novel_genomes_placement_ani_R1	p__Bacillota_A	1470014.2337717689
Novel_genomes_placement_ani_R1	p__Patescibacteria	797266.6030943524
Novel_genomes_placement_ani_R1	p__Bacillota_B	166385.5242966329
Novel_genomes_placement_ani_R1	c__Cyanobacteriia	2364128.3575020703
Novel_genomes_placement_ani_R1	c__Bacteroidia	1510443.764081114
Novel_genomes_placement_ani_R1	c__Alphaproteobacteria	7020301.925103343
Novel_genomes_placement_ani_R1	c__Gammaproteobacteria	8271511.342290054
Novel_genomes_placement_ani_R1	c__Gracilibacteria	73859.13463677924
Novel_genomes_placement_ani_R1	c__Bacilli	1707934.8941041438
Novel_genomes_placement_ani_R1	c__Thermodesulfovibrionia	350546.4278558529
Novel_genomes_placement_ani_R1	o__Acidimicrobiales	3934640.4176671244
Novel_genomes_placement_ani_R1	o__Cyanobacteriales	2832969.8415147215
Novel_genomes_placement_ani_R1	o__Flavobacteriales	1385660.5000412727
Novel_genomes_placement_ani_R1	o__Cytophagales	1992482.0776187328
Novel_genomes_placement_ani_R1	o__Bacteroidales	207184.81826277496
Novel_genomes_placement_ani_R1	o__Desulfobacterales	5506512.434232581
Novel_genomes_placement_ani_R1	o__Rickettsiales	462151.103309172
Novel_genomes_placement_ani_R1	o__Rhizobiales	1803598.260924691
Novel_genomes_placement_ani_R1	o__Sphingomonadales	560394.9225043205
Novel_genomes_placement_ani_R1	o__Burkholderiales	2588220.4909294513
Novel_genomes_placement_ani_R1	o__Pseudomonadales	1759570.9924593142
Novel_genomes_placement_ani_R1	o__Saccharimonadales	208785.11460762392
Novel_genomes_placement_ani_R1	o__Thermodesulfovibrionales	1590478.2813598304
Novel_genomes_placement_ani_R1	f__Palsa-688	1500571.2978971559
Novel_genomes_placement_ani_R1	f__Micromonosporaceae	3389687.566192183
Novel_genomes_placement_ani_R1	f__Phormidiaceae_A	893572.1956792731
Novel_genomes_placement_ani_R1	f__Elainellaceae	3612530.510798043
Novel_genomes_placement_ani_R1	f__Nannocystaceae	4841875.659150598
Novel_genomes_placement_ani_R1	f__Flavobacteriaceae	2897790.6158786
Novel_genomes_placement_ani_R1	f__Desulfolunaceae	357053.74372018
Novel_genomes_placement_ani_R1	f__Anaplasmataceae	72331.92014988819
Novel_genomes_placement_ani_R1	f__Midichloriaceae	941885.2822206306
Novel_genomes_placement_ani_R1	f__Sphingomonadaceae	200510.43173484167
Novel_genomes_placement_ani_R1	f__Rhodobacteraceae	8895038.327181235
Novel_genomes_placement_ani_R1	f__Burkholderiaceae	264290.2312077023
Novel_genomes_placement_ani_R1	f__Alteromonadaceae	1237881.0910055845
Novel_genomes_placement_ani_R1	f__Enterobacteriaceae	2912052.016377883
Novel_genomes_placement_ani_R1	f__JABDQX01	185272.01417674706
Novel_genomes_placement_ani_R1	f__Magnetobacteriaceae	2026615.5793528473
Novel_genomes_placement_ani_R1	f__B22-G15	540532.5326751282
Novel_genomes_placement_ani_R1	g__JAKAQB01	4210166.703586095
Novel_genomes_placement_ani_R1	g__Actinoplanes	9295884.073643625
Novel_genomes_placement_ani_R1	g__Enhygromyxa	16402183.29776503
Novel_genomes_placement_ani_R1	g__Plesiocystis	7953295.736453762
Novel_genomes_placement_ani_R1	g__Aestuariivivens	562388.0477635035
Novel_genomes_placement_ani_R1	g__Avibacteroides	401872.18093797856
Novel_genomes_placement_ani_R1	g__Magnetomorum	14450958.196366984
Novel_genomes_placement_ani_R1	g__Hansschlegelia	220013.39780988736
Novel_genomes_placement_ani_R1	g__Thermohalobaculum	1077519.7274781573
Novel_genomes_placement_ani_R1	g__JABDQX01	5433156.2223364245
Novel_genomes_placement_ani_R1	g__Nanogingivalis	1219678.4644166683
Novel_genomes_placement_ani_R1	g__JAAYUH01	2502400.5365715898
Novel_genomes_placement_ani_R1	g__B22-G15	667615.3380890253
Novel_genomes_placement_ani_R1	g__SKLX01	4729611.276510769
Novel_genomes_placement_ani_R1	g__Methylomirabilis	809199.1915351456
Novel_genomes_placement_ani_R1	s__Iamia sp019443745	10592639.683931172
Novel_genomes_placement_ani_R1	s__Actinoplanes sp020216025	31593119.90595612
Novel_genomes_placement_ani_R1	s__Actinoplanes regularis	8902125.221849734
Novel_genomes_placement_ani_R1	s__Herbiconiux sp000333435	15353301.394272603
Novel_genomes_placement_ani_R1	s__Anaerotardibacter muris	5498935.137107705
Novel_genomes_placement_ani_R1	s__MFGW01 sp001780385	14578942.36074097
