sample	taxonomy	base_contribution
Simulated_Zymo_Spiked_Homo_R1	p__Pseudomonadota	414884.54712674994
Simulated_Zymo_Spiked_Homo_R1	c__Gammaproteobacteria	1338332.269457551
Simulated_Zymo_Spiked_Homo_R1	c__Bacilli	2592335.1183546907
Simulated_Zymo_Spiked_Homo_R1	o__Lactobacillales	767547.0402198104
Simulated_Zymo_Spiked_Homo_R1	f__Enterobacteriaceae	1978309.143792773
Simulated_Zymo_Spiked_Homo_R1	f__Lactobacillaceae	238310.45524146035
Simulated_Zymo_Spiked_Homo_R1	g__Escherichia	1957974.3485049875
Simulated_Zymo_Spiked_Homo_R1	g__Pseudomonas	445212.02206946595
Simulated_Zymo_Spiked_Homo_R1	g__Bacillus	6662978.982802371
Simulated_Zymo_Spiked_Homo_R1	s__Escherichia fergusonii	15090696.630781498
Simulated_Zymo_Spiked_Homo_R1	s__Escherichia coli	16507652.459016394
Simulated_Zymo_Spiked_Homo_R1	s__Escherichia sp005843885	12178922.947556973
Simulated_Zymo_Spiked_Homo_R1	s__Salmonella enterica	41640222.156823635
Simulated_Zymo_Spiked_Homo_R1	s__Pseudomonas aeruginosa	34263506.11327539
Simulated_Zymo_Spiked_Homo_R1	s__Limosilactobacillus fermentum	42152086.26663852
Simulated_Zymo_Spiked_Homo_R1	s__Enterococcus faecalis	41035808.476043515
Simulated_Zymo_Spiked_Homo_R1	s__Listeria monocytogenes_B	36343920.510890536
Simulated_Zymo_Spiked_Homo_R1	s__Bacillus spizizenii	22956114.054862842
Simulated_Zymo_Spiked_Homo_R1	s__Bacillus cabrialesii	7957953.6078353
Simulated_Zymo_Spiked_Homo_R1	s__Bacillus sp010093085	1696324.14
Simulated_Zymo_Spiked_Homo_R1	s__Staphylococcus aureus	42192878.99310757
