sample	coverage	taxonomy
CAMI2_marine0_R1	0.43	Root; d__Archaea
CAMI2_marine0_R1	4.64	Root; d__Bacteria
CAMI2_marine0_R1	1.87	Root; d__Archaea; p__Thermoproteota
CAMI2_marine0_R1	0.43	Root; d__Archaea; p__Halobacteriota
CAMI2_marine0_R1	0.57	Root; d__Bacteria; p__Bacteroidota
CAMI2_marine0_R1	0.63	Root; d__Bacteria; p__Actinomycetota
CAMI2_marine0_R1	0.4	Root; d__Bacteria; p__Campylobacterota
CAMI2_marine0_R1	0.06	Root; d__Bacteria; p__Bacillota_A
CAMI2_marine0_R1	0.41	Root; d__Bacteria; p__Desulfobacterota
CAMI2_marine0_R1	0.06	Root; d__Bacteria; p__Bdellovibrionota
CAMI2_marine0_R1	0.11	Root; d__Bacteria; p__Aquificota
CAMI2_marine0_R1	0.11	Root; d__Bacteria; p__Bacillota_E
CAMI2_marine0_R1	0.16	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
CAMI2_marine0_R1	0.05	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
CAMI2_marine0_R1	0.37	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
CAMI2_marine0_R1	0.06	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
CAMI2_marine0_R1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
CAMI2_marine0_R1	1.14	Root; d__Bacteria; p__Bacillota; c__Bacilli
CAMI2_marine0_R1	0.34	Root; d__Bacteria; p__Thermotogota; c__Thermotogae
CAMI2_marine0_R1	0.51	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
CAMI2_marine0_R1	1.14	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
CAMI2_marine0_R1	0.72	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
CAMI2_marine0_R1	0.17	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria
CAMI2_marine0_R1	0.34	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
CAMI2_marine0_R1	0.74	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales
CAMI2_marine0_R1	0.05	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales
CAMI2_marine0_R1	0.27	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
CAMI2_marine0_R1	0.05	Root; d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales
CAMI2_marine0_R1	0.33	Root; d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales
CAMI2_marine0_R1	0.01	Root; d__Archaea; p__Nanohaloarchaeota; c__Nanosalinia; o__Nanosalinales
CAMI2_marine0_R1	2.15	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
CAMI2_marine0_R1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales
CAMI2_marine0_R1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Methylococcales
CAMI2_marine0_R1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nitrosococcales
CAMI2_marine0_R1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
CAMI2_marine0_R1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
CAMI2_marine0_R1	0.63	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
CAMI2_marine0_R1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales_A
CAMI2_marine0_R1	0.4	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
CAMI2_marine0_R1	0.17	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
CAMI2_marine0_R1	0.17	Root; d__Bacteria; p__Thermotogota; c__Thermotogae; o__Thermotogales
CAMI2_marine0_R1	0.11	Root; d__Bacteria; p__Bacteroidota; c__Chlorobia; o__Chlorobiales
CAMI2_marine0_R1	0.57	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
CAMI2_marine0_R1	0.17	Root; d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales
CAMI2_marine0_R1	0.28	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales
CAMI2_marine0_R1	0.3	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
CAMI2_marine0_R1	0.91	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
CAMI2_marine0_R1	0.51	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
CAMI2_marine0_R1	0.23	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales
CAMI2_marine0_R1	0.06	Root; d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales
CAMI2_marine0_R1	0.11	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae
CAMI2_marine0_R1	0.05	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales; f__Pyrodictiaceae
CAMI2_marine0_R1	0.38	Root; d__Archaea; p__Methanobacteriota_B; c__Thermococci; o__Thermococcales; f__Thermococcaceae
