sample	coverage	taxonomy
Novel_genomes_no_reference_R1	0.8	Root; d__Archaea
Novel_genomes_no_reference_R1	6.03	Root; d__Bacteria
Novel_genomes_no_reference_R1	0.97	Root; d__Bacteria; p__Actinomycetota
Novel_genomes_no_reference_R1	0.79	Root; d__Bacteria; p__Acidobacteriota
Novel_genomes_no_reference_R1	0.46	Root; d__Bacteria; p__Pseudomonadota
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Bacteroidota
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Myxococcota
Novel_genomes_no_reference_R1	0.17	Root; d__Bacteria; p__Cyanobacteriota
Novel_genomes_no_reference_R1	1.07	Root; d__Bacteria; p__Desulfobacterota
Novel_genomes_no_reference_R1	0.28	Root; d__Bacteria; p__Bacillota_A
Novel_genomes_no_reference_R1	1.54	Root; d__Bacteria; p__Patescibacteria
Novel_genomes_no_reference_R1	0.17	Root; d__Bacteria; p__Planctomycetota
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Bacillota_B
Novel_genomes_no_reference_R1	0.11	Root; d__Bacteria; p__Nitrospirota
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Spirochaetota
Novel_genomes_no_reference_R1	1.2	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
Novel_genomes_no_reference_R1	0.85	Root; d__Bacteria; p__Bacillota; c__Bacilli
Novel_genomes_no_reference_R1	4.14	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
Novel_genomes_no_reference_R1	2.71	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
Novel_genomes_no_reference_R1	0.49	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
Novel_genomes_no_reference_R1	0.73	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
Novel_genomes_no_reference_R1	0.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria
Novel_genomes_no_reference_R1	0.17	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
Novel_genomes_no_reference_R1	0.56	Root; d__Bacteria; p__Calditrichota; c__Calditrichia
