sample	coverage	taxonomy
Novel_genomes_placement_ani_R1	0.79	Root; d__Archaea
Novel_genomes_placement_ani_R1	5.99	Root; d__Bacteria
Novel_genomes_placement_ani_R1	0.4	Root; d__Bacteria; p__Actinomycetota
Novel_genomes_placement_ani_R1	0.45	Root; d__Bacteria; p__Acidobacteriota
Novel_genomes_placement_ani_R1	0.17	Root; d__Bacteria; p__Cyanobacteriota
Novel_genomes_placement_ani_R1	0.23	Root; d__Bacteria; p__Myxococcota
Novel_genomes_placement_ani_R1	0.06	Root; d__Bacteria; p__Bacteroidota
Novel_genomes_placement_ani_R1	1.59	Root; d__Bacteria; p__Desulfobacterota
Novel_genomes_placement_ani_R1	0.4	Root; d__Bacteria; p__Pseudomonadota
Novel_genomes_placement_ani_R1	0.57	Root; d__Bacteria; p__Bacillota_A
Novel_genomes_placement_ani_R1	0.85	Root; d__Bacteria; p__Patescibacteria
Novel_genomes_placement_ani_R1	0.06	Root; d__Bacteria; p__Bacillota_B
Novel_genomes_placement_ani_R1	0.45	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
Novel_genomes_placement_ani_R1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
Novel_genomes_placement_ani_R1	2.05	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
Novel_genomes_placement_ani_R1	2.39	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
Novel_genomes_placement_ani_R1	0.63	Root; d__Bacteria; p__Bacillota; c__Bacilli
Novel_genomes_placement_ani_R1	0.06	Root; d__Bacteria; p__Patescibacteria; c__Gracilibacteria
Novel_genomes_placement_ani_R1	0.13	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia
Novel_genomes_placement_ani_R1	1.13	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
Novel_genomes_placement_ani_R1	0.45	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales
Novel_genomes_placement_ani_R1	0.45	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
Novel_genomes_placement_ani_R1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
Novel_genomes_placement_ani_R1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
Novel_genomes_placement_ani_R1	1.19	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales
Novel_genomes_placement_ani_R1	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
Novel_genomes_placement_ani_R1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
Novel_genomes_placement_ani_R1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
Novel_genomes_placement_ani_R1	0.68	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
Novel_genomes_placement_ani_R1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
