0Run,Latitude,Longitude,ABS_latit,log2sum_RPKM,salinity,phosphate,density,nitrate,Depth,oxygen_sensor,temperature,O2sat,conductivity,AOU,silicate,Present.Surface.Calcite.Mean.BOv2_2,Present.Surface.Chlorophyll.Mean,Present.Surface.Iron.Mean,Present.Surface.Par.Mean.BOv2_2,Present.Surface.pH.BOv2_2,Present.Surface.Phytoplankton.Mean,Present.Surface.Primary.productivity.Mean,geo_loc_name4,geo_loc_name5,log2_RPKM_16S,sum-RPKM
ERR1701760,18.5839,66.4727,18.5839,11.71416823,36.332317,0.361784577,23.87038994,0.66898495,25,192.95875,26.812225,103.0764847,5.804698944,-3.734582186,2.527582169,0.000143,0.064069,0.001131,45.36800003,8.126999855,0.861865,0.001583,Indian,Indian,9.64679269,3359.82
ERR1726522,-8.8984,-140.3089,8.8984,6.477029653,35.35772,0.453641057,22.92733002,2.707389116,5,189.8109,26.63952,101.7127457,5.673101425,-2.926371574,0.816358089,0.00012,0.201671,1.90E-05,47.80699921,8.180999756,1.585584,0.009844,Pacific,Pacific,10.32577766,89.08
ERR1726523,14.2075,-116.6468,14.2075,11.11350777,34.15169907,0.271009654,22.73415565,1.006769538,40,205.7971802,25.53441048,100.3492203,5.238996983,0.684511662,2.273959637,6.20E-05,0.133957,1.00E-05,44.0019989,8.204999924,1.41831,0.004379,Pacific,Pacific,9.794831718,2215.64
ERR1726524,-34.0614,-73.1066,34.0614,5.307428525,34.295417,0.551522434,25.32974052,4.276550293,5,244.861667,18.014508,96.8755188,4.163738728,5.314378738,3.338075399,0.000367,0.65957,0.000137,38.64699936,8.199000359,3.597974,0.020278,Pacific,Pacific,4.861508794,39.6
ERR1726525,-0.0141,-84.5899,0.0141,7.550900665,34.529983,0.561108768,23.0057373,4.395514965,5,194.110583,25.504283,95.77776337,5.161930084,9.664916039,4.573318958,0.000226,0.224708,2.70E-05,42.42499924,8.12100029,1.670586,0.012456,Pacific,Pacific,7.777971963,187.52
ERR1726527,-12.9723,-96.0122,12.9723,11.71591481,35.544655,0.635758281,24.85055542,4.041356087,50,216.790338,20.649431,103.3529434,5.133258343,-2.600221634,2.40996623,0.000122,0.199239,1.80E-05,45.45500183,8.217000008,1.530415,0.007536,Pacific,Pacific,10.52633295,3363.89
ERR1726528,-1.9778,-84.5992,1.9778,6.316688823,35.0193,0.6536569,23.42367554,5.492343426,5,190.816333,23.8683,94.80148315,5.119395733,11.69071865,5.359415054,0.000308,0.246058,3.90E-05,44.41600037,8.149000168,1.724062,0.013832,Pacific,Pacific,9.268642582,79.71
ERR1726530,-44.5838,-52.1952,44.5838,5.986410935,34.73375,0.680555046,26.46169281,8.272598267,35,257.182417,13.351458,101.6830521,4.023513794,-2.812282324,2.8369627,0.000222,0.360499,8.30E-05,30.59600067,8.097999573,1.665463,0.007541,Atlantic,Atlantic,6.977314273,63.4
ERR1726531,-2.0409,72.1645,2.0409,5.793375711,34.91215,0.20522964,22.09870911,0.167492151,5,187.574167,30.202058,101.5146103,5.740161896,-2.925046682,6.461676121,6.00E-05,0.07616,5.20E-05,46.43199921,8.215999603,0.836449,0.001897,Indian,Indian,5.899035415,55.46
ERR1726532,44.0852,-16.5645,44.0852,4.710393192,35.73488998,0.216682136,26.62136841,2.375272989,25,252.3941803,14.99050045,102.3142471,4.42107296,-4.026683331,1.342984319,0.000149,0.292772,6.30E-05,29.70599937,8.237000465,1.69765,0.0066,Atlantic,Atlantic,3.071647702,26.18
ERR1726533,-9.1504,-140.5216,9.1504,7.401818163,35.396729,0.416282028,22.93325806,2.092002869,5,190.724,26.518986,102.3519516,5.706571579,-3.929368258,0.674449444,0.000102,0.186371,1.30E-05,49.95999908,8.182999611,1.520901,0.00837,Pacific,Pacific,8.130730138,169.11
ERR1726534,31.8103,-64.1348,31.8103,9.169273638,36.596858,0.092169642,24.97843361,0.118783981,5,213.557667,20.490883,102.6262207,5.393187046,-5.062680721,0.801867485,7.70E-05,0.188145,0.00046,38.0909996,8.215000153,1.071128,0.004129,Atlantic,Atlantic,8.198778971,575.74
ERR1726535,-23.2811,-129.3947,23.2811,6.603626345,36.453917,0.160809174,24.22032928,0.090609811,5,202.174583,24.237467,101.5123901,5.455961227,-3.048223495,1.03963697,8.60E-05,0.023497,6.00E-06,41.375,8.206999779,0.380772,0.000138,Pacific,Pacific,5.564244015,97.25
ERR1726536,6.4946,-95.0463,6.4946,6.045049741,33.184517,0.326351762,21.4917984,1.150560141,5,200.196333,26.248692,100.4458084,5.372105122,0.063743912,2.577075005,0.000112,0.188292,1.50E-05,41.40299988,8.213000298,1.57487,0.009263,Pacific,Pacific,5.465494574,66.03
ERR1726537,23.4183,37.245,23.4183,4.593951284,40.18085,0.090285219,27.80267525,1.344262123,80,182.326,26.184,91.58469391,5.913757324,17.34900093,2.943841934,7.30E-05,0.072721,0.001399,46.19499969,8.154999733,0.925525,0.002189,Indian,Indian,3.969574167,24.15
ERR1726538,4.6595,73.4888,4.6595,5.488322191,34.496083,0.220061615,22.11663055,0.186811328,5,190.404333,29.961808,100.1714478,5.746825695,-0.228756249,5.232497692,0.001908,0.09048,0.000396,46.00600052,8.19699955,0.944879,0.003143,Indian,Indian,5.454353586,44.89
ERR1726539,6.8156,-153.1026,6.8156,0.704871964,34.830326,0.419246674,23.48703766,2.114405155,80,172.34331,27.655167,93.56180573,5.315458775,14.2454834,2.875569582,0.000115,0.155615,9.00E-06,40.85599899,8.218999863,1.310314,0.005657,Pacific,Pacific,4.438000024,1.63
ERR1726540,39.8386,17.4155,39.8386,6.934280594,37.759667,,,,5,220.927083,17.041483,,,,,0.000133,0.066336,0.002324,36.07300186,8.258000374,0.718454,0.000643,Atlantic,Atlantic,6.605790618,122.3
ERR1726541,-25.8073,-111.7364,25.8073,9.867633963,36.402683,0.15434365,24.7719593,0.069538303,5,200.538167,25.14875,100.9158325,5.287964344,-1.923746943,0.723947585,0.000131,0.021166,5.00E-06,42.11399841,8.208000183,0.345425,0.000105,Pacific,Pacific,7.955434867,934.23
ERR1726542,36.5533,-6.5669,36.5533,8.844705764,36.6324,0.179321051,26.08970833,2.022510767,5,236.7456055,20.5251,102.162468,4.86169672,-4.836668491,1.062701821,0.001437,0.431111,0.001779,39.58499908,8.093000412,2.560217,0.013609,Atlantic,Atlantic,7.964069344,459.75
