run,Latitude,Longitude,ABS_latit,log2sum_RPKM,SMN30cm_1,haiba,totP,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,annual_solar_radiation,annual_average_temp,geo_continent,geo_loc_me5,geo_loc_me,RPKM_16S,log2_RPKM_16S,sum-RPKM,CN30cm_1,SMC30cm_1,annual_average_prec,labP,orgP,soc_0.30_mean
SRR10028477,-2.07141763,102.7921114,2.07141763,11.883533,8.655670166,64,206.9999847,152.1649068,208.302419,4.563578669,198603,26.29966688,Asia,Asia,Indonesia: Jambi,2622.21,11.35656751,3778.33,5.32595396,46.09970093,2895,14.29995537,54.27410507,662.7907104
SRR10028478,-2.07562384,102.7924752,2.07562384,11.82131161,8.655670166,64,206.9999847,152.1649068,208.302419,4.563578669,198603,26.29966688,Asia,Asia,Indonesia: Jambi,2154.76,11.07331147,3618.84,5.32595396,46.09970093,2895,14.29995537,54.27410507,662.7907104
SRR10028479,-2.14044,102.85119,2.14044,11.78724553,8.655670166,51,206.9999847,151.4102758,202.5426941,4.846432241,198646,26.35799996,Asia,Asia,Indonesia: Jambi,1656.63,10.6940357,3534.39,5.32595396,46.09970093,2917,14.29995537,54.27410507,920.7202555
SRR10028480,-2.01578878,102.7532639,2.01578878,11.62441166,8.655670166,59,206.9999847,122.322202,225.1421305,4.529197057,198579,26.27600002,Asia,Asia,Indonesia: Jambi,3286.63,11.68239334,3157.16,5.32595396,46.09970093,2891,14.29995537,54.27410507,453.1461283
SRR10028481,-2.06353604,102.8007258,2.06353604,11.6318864,8.655670166,64,206.9999847,127.5439606,200.0241445,4.674144491,198603,26.29966688,Asia,Asia,Indonesia: Jambi,2651.64,11.37266921,3173.56,5.32595396,46.09970093,2895,14.29995537,54.27410507,536.0573832
SRR10028482,-2.03026936,102.7709138,2.03026936,11.2712354,8.655670166,59,206.9999847,148.2954712,212.5713043,4.58289655,198579,26.27600002,Asia,Asia,Indonesia: Jambi,1372.22,10.42229608,2471.61,5.32595396,46.09970093,2891,14.29995537,54.27410507,502.1406352
SRR10028483,-1.80505558,103.2644444,1.80505558,11.23463783,16.7159996,47,321.8891602,156.7500966,215.4500732,4.560700607,199087,26.50033331,Asia,Asia,Indonesia: Jambi,1425.69,10.4774446,2409.7,4.22490406,70.62349701,2635,34.7212944,49.01543808,825.8706665
SRR10028484,-1.8596667,103.3005833,1.8596667,11.30861776,16.7159996,57,321.8891602,140.281901,229.5189362,4.691023763,199176,26.45933342,Asia,Asia,Indonesia: Jambi,1343.52,10.39180208,2536.49,4.22490406,70.62349701,2634,34.7212944,49.01543808,625.6811625
SRR10028485,-1.94187532,102.5807841,1.94187532,11.22030577,5.347829819,86,206.9999847,124.6633097,204.4255422,4.575341797,198240,26.10766681,Asia,Asia,Indonesia: Jambi,1875.15,10.87279029,2385.88,16.89335632,90.34279633,2922,14.29995537,54.27410507,535.5607402
SRR10028486,-1.87902781,103.2745556,1.87902781,11.12206439,16.7159996,61,321.8891602,138.859052,211.7064107,4.518871053,198982,26.40566667,Asia,Asia,Indonesia: Jambi,1409.41,10.46087564,2228.82,4.22490406,70.62349701,2656,34.7212944,49.01543808,537.5433044
