genome	novelty_category	taxonomy	sample	bacterial_archaeal_bases	metagenome_size	read_fraction	warning	novelty_category2	has_warning	off_by_10pct	off_by_20pct
GCA_019422935.1_genomic	species	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp019422935	GCA_019422935.1_genomic.1	63714191	67100700	94.95%	""	novel species	FALSE	FALSE	FALSE
GCA_019459085.1_genomic	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Kaistella;s__Kaistella sp019459085	GCA_019459085.1_genomic.1	47184056	51392700	91.81%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCA_019794795.1_genomic	species	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus_C	GCA_019794795.1_genomic.1	41459617	45224100	91.68%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCA_019795105.1_genomic	species	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp019795105	GCA_019795105.1_genomic.1	39981245	38658000	100.00%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCA_020053305.1_genomic	species	d__Bacteria;p__Edwardsbacteria;c__AC1;o__AC1;f__EtOH8;g__UBA2226;s__UBA2226 sp020053305	GCA_020053305.1_genomic.1	46361182	51646500	89.77%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	TRUE	FALSE
GCA_020161365.1_genomic	species	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter sp020161365	GCA_020161365.1_genomic.1	90411524	88728000	100.00%	""	novel species	FALSE	FALSE	FALSE
GCA_020249145.1_genomic	species	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas_B;s__Roseomonas_B sp020249145	GCA_020249145.1_genomic.1	81457687	76002000	100.00%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCA_020845635.1_genomic	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__UBA4408;g__CAIKXD01;s__CAIKXD01 sp020845635	GCA_020845635.1_genomic.1	75712369	60996000	100.00%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	TRUE	TRUE
GCA_020860125.1_genomic	species	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus sp020860125	GCA_020860125.1_genomic.1	68798654	67563600	100.00%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCA_021158465.1_genomic	species	d__Bacteria;p__UBP14;c__UBA6098;o__4484-93;f__4484-93;g__4484-93;s__4484-93 sp021158465	GCA_021158465.1_genomic.1	34637544	40827000	84.84%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	TRUE	FALSE
GCA_022678445.1_genomic	species	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Aramenus;s__Aramenus sp022678445	GCA_022678445.1_genomic.1	34544170	38259900	90.29%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCA_023379805.1_genomic	species	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JACPRH01;g__JACPRH01;s__JACPRH01 sp023379805	GCA_023379805.1_genomic.1	32958749	45965100	71.70%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	TRUE	TRUE
GCF_020148105.1_genomic	species	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_C;s__Methanobrevibacter_C sp020148105	GCF_020148105.1_genomic.1	35190307	37266600	94.43%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCF_021184045.1_genomic	species	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides orientis	GCF_021184045.1_genomic.1	50435047	49587000	100.00%	""	novel species	FALSE	FALSE	FALSE
GCF_024707485.1_genomic	species	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus sp024707485	GCF_024707485.1_genomic.1	31792498	41291700	76.99%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	TRUE	TRUE
GCA_024518575.1_genomic	species	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_B;s__Methanothrix_B sp024518575	GCA_024518575.1_genomic.1	35231911	30156600	100.00%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	TRUE	FALSE
GCF_023702065.1_genomic	species	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp023702065	GCF_023702065.1_genomic.1	47154201	49011900	96.21%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCF_024296685.1_genomic	species	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema sp024296685	GCF_024296685.1_genomic.1	78777949	75318000	100.00%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCA_021654415.1_genomic	species	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera javensis	GCA_021654415.1_genomic.1	45513928	49252500	92.41%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel species	TRUE	FALSE	FALSE
GCF_019704315.1_genomic	species	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Stygiolobus;s__Stygiolobus caldivivus	GCF_019704315.1_genomic.1	47236540	59124600	79.89%	""	novel species	FALSE	TRUE	TRUE
GCA_020854915.1_genomic	genus	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__JAHKLT01;s__JAHKLT01 sp020854915	GCA_020854915.1_genomic.1	31662995	33169500	95.46%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel genus	TRUE	FALSE	FALSE
GCA_025057955.1_genomic	genus	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__JANXER01;s__JANXER01 sp025057955	GCA_025057955.1_genomic.1	21280989	24050700	88.48%	""	novel genus	FALSE	TRUE	FALSE
GCA_021810045.1_genomic	genus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__JAJZOM01;s__JAJZOM01 sp021810045	GCA_021810045.1_genomic.1	39354001	45044700	87.37%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel genus	TRUE	TRUE	FALSE
GCF_024362525.1_genomic	genus	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronobiforma;s__Natronobiforma sp024362525	GCF_024362525.1_genomic.1	80532944	79631100	100.00%	WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.	novel genus	TRUE	FALSE	FALSE
