Genome	D1_P102_M Read Count	D1_P102_M Covered Fraction	D1_P102_M Length	D1_P107_M Read Count	D1_P107_M Covered Fraction	D1_P107_M Length	D1_P167_M Read Count	D1_P167_M Covered Fraction	D1_P167_M Length	D1_P225_M Read Count	D1_P225_M Covered Fraction	D1_P225_M Length	D1_P295_M Read Count	D1_P295_M Covered Fraction	D1_P295_M Length	D1_P304_M Read Count	D1_P304_M Covered Fraction	D1_P304_M Length	D1_P46_M Read Count	D1_P46_M Covered Fraction	D1_P46_M Length	D1_P47_M Read Count	D1_P47_M Covered Fraction	D1_P47_M Length	D3_P186_M Read Count	D3_P186_M Covered Fraction	D3_P186_M Length	D3_P190_M Read Count	D3_P190_M Covered Fraction	D3_P190_M Length	D3_P191_M Read Count	D3_P191_M Covered Fraction	D3_P191_M Length	D3_P265_M Read Count	D3_P265_M Covered Fraction	D3_P265_M Length	D3_P266_M Read Count	D3_P266_M Covered Fraction	D3_P266_M Length	D3_P41_M Read Count	D3_P41_M Covered Fraction	D3_P41_M Length	D3_P75_M Read Count	D3_P75_M Covered Fraction	D3_P75_M Length	D3_P9_M Read Count	D3_P9_M Covered Fraction	D3_P9_M Length	G1_P178_M Read Count	G1_P178_M Covered Fraction	G1_P178_M Length	G1_P196_M Read Count	G1_P196_M Covered Fraction	G1_P196_M Length	G1_P276_M Read Count	G1_P276_M Covered Fraction	G1_P276_M Length	G1_P291_M Read Count	G1_P291_M Covered Fraction	G1_P291_M Length	G1_P294_M Read Count	G1_P294_M Covered Fraction	G1_P294_M Length	G1_P43_M Read Count	G1_P43_M Covered Fraction	G1_P43_M Length	G1_P74_M Read Count	G1_P74_M Covered Fraction	G1_P74_M Length	G1_P82_M Read Count	G1_P82_M Covered Fraction	G1_P82_M Length	G3_P143_M Read Count	G3_P143_M Covered Fraction	G3_P143_M Length	G3_P149_M Read Count	G3_P149_M Covered Fraction	G3_P149_M Length	G3_P14_M Read Count	G3_P14_M Covered Fraction	G3_P14_M Length	G3_P179_M Read Count	G3_P179_M Covered Fraction	G3_P179_M Length	G3_P212_M Read Count	G3_P212_M Covered Fraction	G3_P212_M Length	G3_P261_M Read Count	G3_P261_M Covered Fraction	G3_P261_M Length	G3_P301_M Read Count	G3_P301_M Covered Fraction	G3_P301_M Length	G3_P84_M Read Count	G3_P84_M Covered Fraction	G3_P84_M Length
all_samples_bin.100	32377	0.8183873	1415507	2843	0.14010951	1415507	1267	0.083717	1415507	10605	0.45054173	1415507	11801	0.538441	1415507	24877	0.7482746	1415507	7193	0.30642802	1415507	7824	0.32699168	1415507	554	0.029510275	1415507	227	0.01434539	1415507	297	0.01879044	1415507	1005	0.059026908	1415507	3585	0.19534414	1415507	30114	0.6982947	1415507	6029	0.26333675	1415507	946	0.043558244	1415507	1247	0.064699076	1415507	19224	0.631922	1415507	5309	0.25832227	1415507	17257	0.59957457	1415507	114817	0.9700418	1415507	15910	0.5798205	1415507	637	0.03674302	1415507	1761	0.08328818	1415507	46781	0.87178165	1415507	18261	0.54299694	1415507	324	0.02277629	1415507	585	0.034966975	1415507	16925	0.5368776	1415507	20824	0.708573	1415507	2073	0.11933816	1415507	52892	0.88112456	1415507
all_samples_bin.101	6152	0.20048597	2238386	2835	0.10345981	2238386	29716	0.71911144	2238386	77	0.0023816267	2238386	729	0.030068988	2238386	1221	0.01590923	2238386	482	0.017222231	2238386	3009	0.100378126	2238386	620	0.026014727	2238386	1582	0.06392954	2238386	447	0.01884617	2238386	271	0.010851569	2238386	1595	0.058900476	2238386	2330	0.06573397	2238386	2450	0.09121215	2238386	2454	0.07681561	2238386	318	0.013369008	2238386	1796	0.056978106	2238386	605	0.009877206	2238386	161357	0.94918436	2238386	112035	0.92229533	2238386	7274	0.021879604	2238386	174	0.009437157	2238386	2569	0.023970397	2238386	8206	0.17235902	2238386	3629	0.037011936	2238386	1154	0.030813273	2238386	2804	0.022089131	2238386	12688	0.41048864	2238386	124960	0.8643523	2238386	1939	0.0337654	2238386	547	0.011620874	2238386
all_samples_bin.102	18010	0.36660048	2634039	7423	0.14031835	2634039	3842	0.13884152	2634039	8637	0.19223861	2634039	58617	0.710316	2634039	73166	0.83755255	2634039	16818	0.3144251	2634039	3586	0.08787987	2634039	4489	0.12329961	2634039	1949	0.06578149	2634039	1876	0.07090024	2634039	622	0.018886965	2634039	4247	0.118905604	2634039	12711	0.24601571	2634039	5033	0.12203236	2634039	2999	0.078949474	2634039	9809	0.22088663	2634039	23148	0.45310378	2634039	15139	0.31090543	2634039	418433	0.98804647	2634039	79742	0.86587065	2634039	26372	0.41329494	2634039	3101	0.122180425	2634039	24601	0.38164318	2634039	25059	0.4317677	2634039	107296	0.9119565	2634039	821636	0.9614698	2634039	50424	0.3601955	2634039	22765	0.3973544	2634039	501719	0.99174994	2634039	341978	0.98587114	2634039	19790	0.26171252	2634039
all_samples_bin.103	18454	0.106273204	1940141	3688	0.062383097	1940141	2334	0.09705171	1940141	11868	0.3458821	1940141	36743	0.793548	1940141	26995	0.65258193	1940141	6916	0.21589153	1940141	2023	0.04105784	1940141	1813	0.057267487	1940141	2684	0.110621855	1940141	1080	0.03251671	1940141	797	0.03251207	1940141	1303	0.052897703	1940141	4152	0.111931555	1940141	1969	0.035257746	1940141	2989	0.07785053	1940141	1591	0.04074137	1940141	6916	0.18262951	1940141	16484	0.44321162	1940141	117459	0.96252745	1940141	22612	0.58359575	1940141	28427	0.63715625	1940141	651	0.023758067	1940141	181818	0.9823286	1940141	8029	0.2248852	1940141	128439	0.968642	1940141	2156	0.051272564	1940141	50759	0.8080784	1940141	7373	0.21643324	1940141	134716	0.977965	1940141	69523	0.9454009	1940141	110730	0.8932232	1940141
all_samples_bin.104	18	0.00044021165	3114411	46	0.00018912084	3114411	383	0.014973938	3114411	13	0.00032301454	3114411	64	0.00096230075	3114411	346	0.009225501	3114411	228	0.008149534	3114411	7	0.00031787713	3114411	2769	0.07358149	3114411	25	0.00077992276	3114411	59	0.001422741	3114411	14	0.00036700358	3114411	27	0.00085987366	3114411	24	0.00055612443	3114411	134	0.0045584864	3114411	285	0.009825935	3114411	8	0.00025719148	3114411	759	0.01970806	3114411	14	0.00029796967	3114411	176	0.0016186046	3114411	19	0.00039558043	3114411	99	0.0034385314	3114411	13	0.00019361607	3114411	61	0.00079405063	3114411	190	0.0037888384	3114411	1292	0.026082942	3114411	21	0.00039654368	3114411	36	0.0005609407	3114411	104	0.0038154887	3114411	139811	0.9675929	3114411	44574	0.67525285	3114411	22	0.0004845218	3114411
all_samples_bin.105	5020	0.1715656	1859994	5313	0.2180964	1859994	3262	0.16190213	1859994	1604	0.055853408	1859994	6130	0.2333658	1859994	35622	0.7707735	1859994	3340	0.11847243	1859994	3056	0.07478626	1859994	2148	0.033116773	1859994	3166	0.13594775	1859994	919	0.017097367	1859994	932	0.038240448	1859994	1406	0.060536217	1859994	7256	0.18098177	1859994	1344	0.04035013	1859994	3135	0.0754739	1859994	7970	0.21177272	1859994	9600	0.26419762	1859994	9946	0.24926855	1859994	159086	0.99025375	1859994	32916	0.7044071	1859994	17979	0.4161707	1859994	411	0.013839292	1859994	193882	0.98943436	1859994	760	0.030370528	1859994	81743	0.93885785	1859994	1064	0.03167322	1859994	3890	0.024964059	1859994	4439	0.1648586	1859994	197146	0.9927715	1859994	2230	0.063593216	1859994	442	0.0057661477	1859994
all_samples_bin.106	10543	0.3237285	2617360	1778	0.060846426	2617360	5311	0.19495179	2617360	126	0.005538023	2617360	319	0.013436439	2617360	76	0.0023901947	2617360	132	0.005152902	2617360	6603	0.20960395	2617360	859	0.032326084	2617360	28993	0.6515829	2617360	2628	0.08481714	2617360	1291	0.04839533	2617360	1002	0.03951157	2617360	12086	0.3425192	2617360	9496	0.28655288	2617360	8050	0.24348007	2617360	237	0.0100177275	2617360	82925	0.94514245	2617360	1210	0.041659918	2617360	2153	0.0779396	2617360	66165	0.8938526	2617360	1318	0.04988309	2617360	190	0.0073811016	2617360	1073	0.031070622	2617360	204	0.0078021367	2617360	22172	0.5600475	2617360	2220	0.082564496	2617360	337	0.010549179	2617360	502	0.01484664	2617360	4407	0.15210211	2617360	158	0.007051762	2617360	1030	0.03391509	2617360
all_samples_bin.107	109	0.0044102753	1839341	946	0.0073189256	1839341	85	0.0044026636	1839341	366	0.018997021	1839341	388	0.021271748	1839341	1155	0.049095303	1839341	1220	0.06648577	1839341	1163	0.05963277	1839341	132552	0.9891874	1839341	12607	0.47507122	1839341	3707	0.16424361	1839341	906	0.052519355	1839341	434	0.026108807	1839341	25614	0.6870852	1839341	21511	0.6697986	1839341	394525	0.9954239	1839341	156	0.008204569	1839341	1491	0.07445928	1839341	258	0.01377613	1839341	148	0.0078930445	1839341	369	0.020464938	1839341	763	0.046197522	1839341	268	0.013172109	1839341	717	0.042542953	1839341	1790	0.08375771	1839341	39430	0.8445101	1839341	10308	0.40660867	1839341	132	0.0067796023	1839341	53	0.0024443537	1839341	11013	0.4423481	1839341	447	0.024684384	1839341	150	0.008002322	1839341
all_samples_bin.108	18270	0.50256866	2204467	1565	0.055753615	2204467	1044	0.019963102	2204467	1049	0.018992346	2204467	9565	0.08380484	2204467	5875	0.038047746	2204467	1543	0.03039964	2204467	5373	0.01833323	2204467	5318	0.024485284	2204467	2481	0.07602291	2204467	2720	0.0139725385	2204467	1392	0.028167807	2204467	501	0.012698761	2204467	536683	0.9874346	2204467	2643	0.01537696	2204467	146170	0.95450145	2204467	8692	0.02014319	2204467	7349	0.025578065	2204467	15986	0.101373255	2204467	7752	0.08366739	2204467	15351	0.29860234	2204467	38550	0.06134181	2204467	1819	0.07058623	2204467	39703	0.45745116	2204467	2521	0.024789665	2204467	70464	0.8730042	2204467	13433	0.07298181	2204467	31216	0.09896769	2204467	897	0.014149905	2204467	8338	0.03866921	2204467	4640	0.02484138	2204467	18989	0.48111358	2204467
all_samples_bin.109	4137	0.021352367	3325533	6656	0.025406454	3325533	62893	0.045943312	3325533	1297	0.015316643	3325533	502	0.009285729	3325533	740	0.018193474	3325533	1066	0.025305117	3325533	6024	0.0348281	3325533	3111	0.07352145	3325533	1907	0.026064994	3325533	418	0.011200911	3325533	40202	0.05022082	3325533	510	0.008948641	3325533	989	0.023701765	3325533	31480	0.046748597	3325533	305835	0.9950143	3325533	133	0.0035266527	3325533	4348	0.012398614	3325533	29130	0.035902515	3325533	61	0.0018715797	3325533	10451	0.021260051	3325533	1050	0.032989	3325533	30318	0.023424216	3325533	588	0.019151818	3325533	27717	0.027984988	3325533	629	0.016249124	3325533	2365	0.064371035	3325533	81	0.0023851816	3325533	83	0.0029273503	3325533	652	0.020771708	3325533	1695	0.049803443	3325533	8223	0.018124012	3325533
