Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_000146045.2	R64	Saccharomyces cerevisiae S288C		S288C					SGD R64-4-1	12071326	Complete Genome	2011-04-18	
GCF_000146045.2	R64	Saccharomyces cerevisiae S288C		S288C					SGD R64-4-1	12071326	Complete Genome	2014-12-17	
GCA_003013715.2	ASM301371v2	[Candida] auris		B11220					Annotation submitted by Centers for Disease Control and Prevention	12249773	Complete Genome	2019-09-10	
GCF_003013715.1	ASM301371v2	[Candida] auris		B11220					Annotation submitted by Centers for Disease Control and Prevention	12249773	Complete Genome	2019-09-10	
GCA_003054445.1	ASM305444v1	Pichia kudriavzevii		CBS573					Annotation submitted by University College Dublin	10812555	Complete Genome	2018-04-17	
GCF_003054445.1	ASM305444v1	Pichia kudriavzevii		CBS573					Annotation submitted by University College Dublin	10812555	Complete Genome	2018-04-17	
GCA_030384665.1	ASM3038466v1	Lodderomyces elongisporus		NRRL YB-4239					Annotation submitted by University of Illinois Urbana-Champaign	16086460	Complete Genome	2023-07-02	
GCF_030384665.1	ASM3038466v1	Lodderomyces elongisporus		NRRL YB-4239					Annotation submitted by University of Illinois Urbana-Champaign	16086460	Complete Genome	2023-07-02	
GCA_000026945.1	ASM2694v1	Candida dubliniensis CD36		CD36					Annotation submitted by Wellcome Trust Sanger Institute	14618422	Complete Genome	2009-02-16	
GCF_000026945.1	ASM2694v1	Candida dubliniensis CD36		CD36					Annotation submitted by Wellcome Trust Sanger Institute	14618422	Complete Genome	2009-02-16	
GCA_947243775.1	Skud-IFO1802	Saccharomyces kudriavzevii IFO 1802		IFO1802					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	11913776	Complete Genome	2022-11-01	
GCF_947243775.1	Skud-IFO1802	Saccharomyces kudriavzevii IFO 1802		IFO1802					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	11913776	Complete Genome	2022-11-01	
GCA_947241705.1	Smik-IFO1815	Saccharomyces mikatae IFO 1815		IFO1815					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	12104871	Complete Genome	2022-11-01	
GCF_947241705.1	Smik-IFO1815	Saccharomyces mikatae IFO 1815		IFO1815					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	12104871	Complete Genome	2022-11-01	
GCA_001640025.2	ASM164002v2	Sugiyamaella lignohabitans		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	15938258	Complete Genome	2016-05-06	
