user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
all_samples_bin.1.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG099;s__	N/A	N/A	N/A	N/A	N/A	GCA_012510935.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG099;s__RUG099 sp012510935	77.77	0.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG099;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018064645.1, s__RUG099 sp018064645, 95.0, 79.08, 0.23; GCA_018064755.1, s__RUG099 sp018064755, 95.0, 78.05, 0.15; GCA_017403955.1, s__RUG099 sp017403955, 95.0, 77.85, 0.12; GCA_017505405.1, s__RUG099 sp017505405, 95.0, 77.73, 0.06; GCA_017512145.1, s__RUG099 sp017512145, 95.0, 77.61, 0.17; GCA_017512365.1, s__RUG099 sp017512365, 95.0, 77.52, 0.06; GCA_015058275.1, s__RUG099 sp015058275, 95.0, 77.5, 0.09; GCA_018064665.1, s__RUG099 sp018064665, 95.0, 77.46, 0.15; GCA_017404265.1, s__RUG099 sp017404265, 95.0, 77.45, 0.08; GCA_902775345.1, s__RUG099 sp902775345, 95.0, 77.39, 0.06; GCA_017405845.1, s__RUG099 sp017405845, 95.0, 77.38, 0.1; GCA_017469325.1, s__RUG099 sp017469325, 95.0, 77.34, 0.05; GCA_902798745.1, s__RUG099 sp902798745, 95.0, 77.31, 0.05; GCA_902776285.1, s__RUG099 sp902776285, 95.0, 77.26, 0.06; GCA_902788245.1, s__RUG099 sp902788245, 95.0, 77.2, 0.05; GCA_902778585.1, s__RUG099 sp902778585, 95.0, 77.19, 0.07; GCA_017434685.1, s__RUG099 sp017434685, 95.0, 77.19, 0.04; GCA_902773835.1, s__RUG099 sp902773835, 95.0, 77.07, 0.08; GCA_017434025.1, s__RUG099 sp017434025, 95.0, 77.05, 0.08; GCA_015058065.1, s__RUG099 sp015058065, 95.0, 77.02, 0.05; GCA_902760855.1, s__RUG099 sp902760855, 95.0, 76.99, 0.04; GCA_900320285.1, s__RUG099 sp900320285, 95.0, 76.98, 0.06; GCA_902795265.1, s__RUG099 sp902795265, 95.0, 76.95, 0.06; GCA_900315485.1, s__RUG099 sp900315485, 95.0, 76.95, 0.12; GCA_902786355.1, s__RUG099 sp902786355, 95.0, 76.87, 0.13; GCA_902765035.1, s__RUG099 sp902765035, 95.0, 76.86, 0.09; GCA_012735145.1, s__RUG099 sp001513255, 95.0, 76.82, 0.06; GCA_017432075.1, s__RUG099 sp017432075, 95.0, 76.78, 0.08; GCA_017431685.1, s__RUG099 sp017431685, 95.0, 76.77, 0.08; GCA_902786855.1, s__RUG099 sp902786855, 95.0, 76.77, 0.08; GCA_902780815.1, s__RUG099 sp902780815, 95.0, 76.75, 0.06; GCA_902790885.1, s__RUG099 sp902790885, 95.0, 76.66, 0.04; GCA_902801255.1, s__RUG099 sp902801255, 95.0, 76.65, 0.07; GCA_017433945.1, s__RUG099 sp017433945, 95.0, 76.54, 0.04; GCA_900317675.1, s__RUG099 sp900317675, 95.0, 76.48, 0.1; GCA_902779185.1, s__RUG099 sp902779185, 95.0, 76.48, 0.06; GCA_017515425.1, s__RUG099 sp017515425, 95.0, 76.47, 0.04; GCA_902774195.1, s__RUG099 sp902774195, 95.0, 76.47, 0.04; GCA_902790965.1, s__RUG099 sp902790965, 95.0, 76.44, 0.04; GCA_902774265.1, s__RUG099 sp902774265, 95.0, 76.41, 0.08; GCA_012840975.1, s__RUG099 sp012840975, 95.0, 76.32, 0.06; GCA_902793875.1, s__RUG099 sp902793875, 95.0, 76.19, 0.05; GCA_017510725.1, s__RUG099 sp017510725, 95.0, 76.18, 0.06; GCA_015058265.1, s__RUG099 sp015058265, 95.0, 76.11, 0.05; GCA_900318105.1, s__RUG099 sp900318105, 95.0, 75.62, 0.03; GCA_017431175.1, s__RUG099 sp017431175, 95.0, 75.45, 0.05	92.43	11	0.9451542993123033	N/A
all_samples_bin.10.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	56.65	11	0.8571597488205294	N/A
all_samples_bin.100.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	N/A	N/A	N/A	N/A	N/A	GCA_017470115.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__Onthovivens sp017470115	78.61	0.21	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900545015.1, s__Onthovivens sp900545015, 95.0, 78.51, 0.32; GCA_900540395.1, s__Onthovivens sp900540395, 95.0, 77.8, 0.2; GCA_017477255.1, s__Onthovivens sp017477255, 95.0, 77.6, 0.13; GCA_905197045.1, s__Onthovivens sp905197045, 95.0, 77.41, 0.21; GCA_900540365.1, s__Onthovivens sp900540365, 95.0, 77.05, 0.16; GCA_016296775.1, s__Onthovivens sp016296775, 95.0, 77.0, 0.17; GCA_002438785.1, s__Onthovivens sp002438785, 95.0, 76.93, 0.11; GCA_002399785.1, s__Onthovivens sp002399785, 95.0, 76.92, 0.12; GCA_016302065.1, s__Onthovivens sp016302065, 95.0, 76.79, 0.13; GCA_002451465.1, s__Onthovivens sp002451465, 95.0, 76.61, 0.14; GCA_017694345.1, s__Onthovivens merdipullorum, 95.0, 76.26, 0.12	79.94	11	0.9550472153508196	N/A
all_samples_bin.101.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019115225.1, s__Evtepia faecigallinarum, 95.0, 85.77, 0.66; GCA_004554585.1, s__Evtepia sp004554585, 95.0, 85.62, 0.72; GCA_019115545.1, s__Evtepia faecavium, 95.0, 83.81, 0.61; GCA_004556345.1, s__Evtepia sp004556345, 95.0, 83.08, 0.55; GCA_900546255.1, s__Evtepia excrementipullorum, 95.0, 82.98, 0.62; GCA_004551945.1, s__Evtepia sp004551945, 95.0, 82.87, 0.64; GCA_016296565.1, s__Evtepia sp016296565, 95.0, 82.69, 0.55; GCF_003425665.1, s__Evtepia gabavorous, 95.0, 82.36, 0.65; GCA_016295225.1, s__Evtepia sp016295225, 95.0, 81.95, 0.52; GCA_902781745.1, s__Evtepia sp902781745, 95.0, 81.91, 0.5; GCA_017435425.1, s__Evtepia sp017435425, 95.0, 81.28, 0.52; GCA_910578575.1, s__Evtepia sp910578575, 95.0, 81.16, 0.52; GCA_017502545.1, s__Evtepia sp017502545, 95.0, 80.79, 0.43; GCA_017521345.1, s__Evtepia sp017521345, 95.0, 80.78, 0.45; GCA_017560855.1, s__Evtepia sp017560855, 95.0, 80.51, 0.44; GCA_017547425.1, s__Evtepia sp017547425, 95.0, 80.51, 0.47; GCA_910584805.1, s__Evtepia sp910584805, 95.0, 80.37, 0.46; GCA_900758955.1, s__Evtepia sp900758955, 95.0, 78.46, 0.18; GCA_017861415.1, s__Evtepia sp017861415, 95.0, 77.25, 0.13; GCA_000620945.1, s__Evtepia viridis, 95.0, 76.87, 0.1	85.58	11	0.9753564691033926	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
all_samples_bin.102.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	ANI	classification based on placement in class-level tree	GCF_004793765.1, s__Parabacteroides distasonis_A, 95.0, 79.52, 0.36; GCF_011038785.1, s__Parabacteroides sp011038785, 95.0, 79.39, 0.31; GCF_000012845.1, s__Parabacteroides distasonis, 95.0, 79.15, 0.37; GCA_017560165.1, s__Parabacteroides sp017560165, 95.0, 78.53, 0.08; GCF_014287585.1, s__Parabacteroides sp014287585, 95.0, 78.47, 0.18; GCF_900186615.1, s__Parabacteroides bouchesdurhonensis, 95.0, 78.41, 0.15; GCF_900155425.1, s__Parabacteroides massiliensis, 95.0, 78.27, 0.16; GCF_003473295.1, s__Parabacteroides sp003473295, 95.0, 78.26, 0.16; GCA_017481945.1, s__Parabacteroides sp017481945, 95.0, 78.23, 0.13; GCF_000969825.1, s__Parabacteroides gordonii, 95.0, 78.2, 0.17; GCF_003480915.1, s__Parabacteroides sp003480915, 95.0, 78.16, 0.18; GCA_900770835.1, s__Parabacteroides sp900770835, 95.0, 78.13, 0.18; GCF_000156495.1, s__Parabacteroides johnsonii, 95.0, 78.12, 0.18; GCF_000154105.1, s__Parabacteroides merdae, 95.0, 78.09, 0.18; GCF_015550595.1, s__Parabacteroides sp900540715, 95.0, 78.05, 0.17; GCA_900760525.1, s__Parabacteroides sp900760525, 95.0, 78.05, 0.15; GCA_905196875.1, s__Parabacteroides sp905196875, 95.0, 78.05, 0.15; GCF_900128505.1, s__Parabacteroides timonensis, 95.0, 78.01, 0.16; GCA_015060925.1, s__Parabacteroides distasonis_B, 95.0, 78.01, 0.12; GCF_900108035.1, s__Parabacteroides chinchillae, 95.0, 78.0, 0.18; GCF_014647375.1, s__Parabacteroides faecis, 95.0, 78.0, 0.18; GCF_003363715.1, s__Parabacteroides acidifaciens, 95.0, 77.93, 0.18; GCA_017937385.1, s__Parabacteroides sp017937385, 95.0, 77.92, 0.14; GCA_910577325.1, s__Parabacteroides sp910577325, 95.0, 77.84, 0.16; GCF_000969835.1, s__Parabacteroides goldsteinii, 95.0, 77.82, 0.18; GCA_900541965.1, s__Parabacteroides sp900541965, 95.0, 77.72, 0.15; GCA_019114945.1, s__Parabacteroides intestinigallinarum, 95.0, 77.71, 0.16; GCA_000436495.1, s__Parabacteroides faecavium, 95.0, 77.69, 0.11; GCF_002159645.1, s__Parabacteroides sp002159645, 95.0, 77.59, 0.09; GCA_900549585.1, s__Parabacteroides sp900549585, 95.0, 77.56, 0.09; GCA_900548175.1, s__Parabacteroides sp900548175, 95.0, 77.38, 0.1; GCA_900552415.1, s__Parabacteroides intestinipullorum, 95.0, 77.34, 0.13; GCA_900552465.1, s__Parabacteroides sp900552465, 95.0, 77.24, 0.16; GCA_004562445.1, s__Parabacteroides sp004562445, 95.0, 77.1, 0.09; GCA_019118725.1, s__Parabacteroides intestinavium, 95.0, 77.09, 0.07; GCA_900547435.1, s__Parabacteroides sp900547435, 95.0, 76.47, 0.07	96.41	11	0.9692418314148806	N/A
all_samples_bin.103.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	59.75	11	0.8861818963445136	N/A
all_samples_bin.104.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia alcalifaciens	GCF_000173415.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia alcalifaciens	98.82	0.86	GCF_000173415.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia alcalifaciens	98.82	0.86	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013702265.1, s__Providencia rettgeri_F, 95.0, 88.77, 0.8; GCF_000527275.1, s__Providencia alcalifaciens_A, 95.0, 88.52, 0.82; GCF_000156395.1, s__Providencia rustigianii, 95.0, 83.21, 0.72; GCF_002843235.3, s__Providencia huaxiensis, 95.0, 81.04, 0.52; GCF_013255915.1, s__Providencia rettgeri_D, 95.0, 81.0, 0.52; GCA_900455085.1, s__Providencia rettgeri, 95.0, 80.99, 0.55; GCF_017151615.1, s__Providencia stuartii_C, 95.0, 80.95, 0.55; GCF_003936755.2, s__Providencia rettgeri_E, 95.0, 80.8, 0.53; GCF_001655055.1, s__Providencia heimbachae, 95.0, 80.66, 0.55; GCF_001874625.1, s__Providencia rettgeri_A, 95.0, 80.64, 0.53; GCA_003533305.1, s__Providencia sp003533305, 95.0, 80.64, 0.54; GCF_000314895.2, s__Providencia sneebia, 95.0, 80.11, 0.35; GCA_016618195.1, s__Providencia stuartii_A, 95.0, 80.02, 0.43; GCF_010748935.1, s__Providencia vermicola_A, 95.0, 79.88, 0.45; GCA_900455155.1, s__Providencia stuartii, 95.0, 79.68, 0.48; GCF_000314855.2, s__Providencia burhodogranariea, 95.0, 79.62, 0.44	63.09	11	N/A	N/A
all_samples_bin.105.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__	N/A	N/A	N/A	N/A	N/A	GCA_016302545.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp016302545	78.06	0.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017436705.1, s__CAG-238 sp017436705, 95.0, 78.7, 0.15; GCA_000435615.1, s__CAG-238 sp000435615, 95.0, 78.53, 0.14; GCA_900754805.1, s__CAG-238 sp900754805, 95.0, 78.44, 0.1; GCA_900542245.1, s__CAG-238 sp900542245, 95.0, 78.26, 0.09; GCA_002439735.1, s__CAG-238 sp002439735, 95.0, 78.19, 0.07; GCA_017397825.1, s__CAG-238 sp017397825, 95.0, 78.13, 0.15; GCA_900551415.1, s__CAG-238 sp900551415, 95.0, 77.07, 0.07	94.32	11	0.9356850811476557	N/A
all_samples_bin.106.fa	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124;g__UMGS124;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124;g__UMGS124;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	85.23	11	0.8935837767783237	N/A
all_samples_bin.107.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus_B;s__Macrococcus_B caseolyticus	GCF_002902665.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus_B;s__Macrococcus_B caseolyticus	98.59	0.95	GCF_002902665.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus_B;s__Macrococcus_B caseolyticus	98.59	0.95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002119805.1, s__Macrococcus_B canis, 95.0, 88.09, 0.92; GCF_003259675.1, s__Macrococcus_B bohemicus, 95.0, 80.88, 0.42; GCF_003259695.1, s__Macrococcus_B epidermidis, 95.5758, 79.95, 0.41; GCF_002742385.2, s__Macrococcus_B goetzii, 95.5758, 79.68, 0.43; GCF_004117835.1, s__Macrococcus_B sp004117835, 95.0, 78.65, 0.31	89.61	11	N/A	N/A
